measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,power_factor__327,system_id
2011-05-25 00:00:00,0.1860999999999999,3.2039,123.0178,7.9579,13.5751,8.8146,-0.0025,1.8341,-0.0048999999999999,8.0349,6.9861,6.8517,7.1737,0.1272,4
2011-05-25 00:01:00,0.1862999999999999,3.1824,123.0229,7.949,13.5769,8.792199999999998,0.0095999999999999,1.7715,0.0167,8.0295,6.9771,6.82,7.1463,0.1264,4
2011-05-25 00:02:00,0.1867999999999999,3.2039,123.0229,7.948699999999999,13.5769,8.7755,0.005,1.8057,0.0097,8.0205,6.9539,6.8231,7.1543,0.1269,4
2011-05-25 00:03:00,0.1875999999999999,3.2254,123.0161,7.972699999999999,13.5779,8.750999999999998,0.0005,1.5835,0.0018,8.010199999999998,6.9279,6.7914,7.1035,0.1267,4
2011-05-25 00:04:00,0.1865999999999999,3.1824,123.0263,7.9578,13.5779,8.7453,0.0097999999999999,1.7145,0.0182,8.018,6.8959,6.7644,7.0679,0.1272,4
2011-05-25 00:05:00,0.1872,3.2039,123.081,7.8985,13.5792,8.718999999999998,0.005,1.6576,0.0102,7.9973,6.8809,6.7579,7.0344,0.127,4
2011-05-25 00:06:00,0.1874,3.2684,123.1323,7.8525,13.5797,8.7002,0.0045999999999999,1.3898,0.006,7.9905,6.8392,6.7098,6.9771,0.1259,4
2011-05-25 00:07:00,0.1865999999999999,3.2039,123.1084,7.7565,13.5792,8.6813,0.0051999999999999,1.7658,0.0088999999999999,7.9738,6.7939,6.6809,6.9262,0.1278,4
2011-05-25 00:08:00,0.1872,3.1609,123.1596,7.6249,13.5788,8.663999999999998,0.0066,1.7715,0.0132,7.947899999999998,6.7773,6.6564,6.8903,0.1265999999999999,4
2011-05-25 00:09:00,0.1872,3.1824,123.1152,7.614499999999999,13.5797,8.657199999999998,0.003,1.6974,0.0058999999999999,7.9412,6.7613,6.6354,6.8722,0.1272,4
2011-05-25 00:10:00,0.187,3.1824,123.0622,7.580199999999999,13.5788,8.6365,0.0035999999999999,1.6576,0.0082,7.924699999999999,6.6992,6.5733,6.823,0.1268,4
2011-05-25 00:11:00,0.185,3.1609,123.0383,7.5206,13.5801,8.612,0.0,1.7886,-0.0011999999999999,7.899499999999998,6.6455,6.5367,6.7735,0.1265999999999999,4
2011-05-25 00:12:00,0.1872,3.3114,123.0793,7.4591,13.5801,8.596999999999998,0.0082,1.7145,0.0149,7.8794,6.6033,6.4995,6.7207,0.1274,4
2011-05-25 00:13:00,0.1865999999999999,3.1824,123.1049,7.3792,13.5797,8.5744,0.003,1.6917,0.0054,7.8532,6.5721,6.4554,6.6816,0.1267,4
2011-05-25 00:14:00,0.1860999999999999,3.0964,123.0656,7.3371,13.5815,8.5652,-0.0027,1.7943,-0.0043,7.8419,6.5436,6.4177,6.6439,0.1264,4
