measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,inverter_temp__256,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_3__255,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,system_id
2010-05-07 00:00:00,,4.988,,0.115,,121.997,,1.18,374.531,,0.007,,3.148,,0.0219999999999999,,,6.421,,,,,,,,4
2010-05-07 00:01:00,,4.991,,0.0439999999999999,,122.058,,1.135,378.557,,0.006,,3.244,,0.02,,,6.41,,,,,,,,4
2010-05-07 00:02:00,,4.99,,-0.039,,122.017,,1.132,524.207,,0.006,,3.214,,0.0179999999999999,,,6.408,,,,,,,,4
2010-05-07 00:03:00,,4.985,,0.17,,122.01,,1.118,505.434,,0.005,,3.188,,0.0179999999999999,,,6.384,,,,,,,,4
2010-05-07 00:04:00,,4.989,,0.099,,122.039,,1.114,230.783,,0.006,,3.236,,0.02,,,6.377,,,,,,,,4
2010-05-07 00:05:00,,4.983,,0.0929999999999999,,122.035,,1.141,-1205.444,,0.007,,3.304,,0.024,,,6.369,,,,,,,,4
2010-05-07 00:06:00,,4.987,,0.0599999999999999,,122.009,,1.173,-2199.109,,0.007,,3.082,,0.02,,,6.368,,,,,,,,4
2010-05-07 00:07:00,,4.99,,-0.039,,121.981,,1.137,-4415.96,,0.005,,3.286,,0.0179999999999999,,,6.33,,,,,,,,4
2010-05-07 00:08:00,,4.993,,0.1759999999999999,,122.047,,1.078,-13009.557,,0.007,,3.164,,0.0219999999999999,,,6.309,,,,,,,,4
2010-05-07 00:09:00,,4.984,,0.0,,122.029,,1.055,-45608.301,,0.007,,3.08,,0.024,,,6.304,,,,,,,,4
2010-05-07 00:10:00,,4.988,,0.049,,122.021,,1.003,-48060.384,,0.007,,3.082,,0.0219999999999999,,,6.295,,,,,,,,4
2010-05-07 00:11:00,,4.992,,0.0439999999999999,,122.031,,1.02,-28521.979,,0.008,,3.23,,0.024,,,6.279,,,,,,,,4
2010-05-07 00:12:00,,4.991,,0.11,,122.081,,1.011,-62229.419,,0.006,,2.984,,0.0179999999999999,,,6.261,,,,,,,,4
2010-05-07 00:13:00,,4.986,,0.0219999999999999,,122.129,,0.968,-47949.771,,0.006,,3.062,,0.0179999999999999,,,6.238,,,,,,,,4
2010-05-07 00:14:00,,4.988,,0.1809999999999999,,122.088,,0.949,-62223.045,,0.006,,3.172,,0.0179999999999999,,,6.236,,,,,,,,4
2010-05-07 00:15:00,,4.989,,0.016,,122.134,,0.985,-62220.624,,0.008,,2.96,,0.0219999999999999,,,6.226,,,,,,,,4
2010-05-07 00:16:00,,5.003,,0.121,,122.102,,0.935,-62214.07,,0.006,,3.014,,0.0179999999999999,,,6.199,,,,,,,,4
2010-05-07 00:17:00,,4.998,,0.0599999999999999,,122.144,,0.901,-62209.686,,0.007,,3.244,,0.024,,,6.163,,,,,,,,4
2010-05-07 00:18:00,,4.999,,0.055,,122.152,,0.942,-62206.71,,0.007,,3.046,,0.02,,,6.165,,,,,,,,4
2010-05-07 00:19:00,,4.996,,0.0219999999999999,,122.121,,0.904,-62203.363,,0.007,,3.404,,0.024,,,6.135,,,,,,,,4
2010-05-07 00:20:00,,4.995,,0.0879999999999999,,122.163,,0.8319999999999999,-54698.223,,0.0089999999999999,,3.004,,0.0259999999999999,,,6.114,,,,,,,,4
2010-05-07 00:21:00,,4.992,,0.016,,122.105,,0.788,-54504.362,,0.006,,2.98,,0.0179999999999999,,,6.082,,,,,,,,4
2010-05-07 00:22:00,,4.99,,0.055,,122.093,,0.797,-38443.368,,0.004,,2.902,,0.012,,,6.078,,,,,,,,4
2010-05-07 00:23:00,,5.001,,0.049,,122.1,,0.768,-62185.019,,0.007,,3.016,,0.0219999999999999,,,6.04,,,,,,,,4
2010-05-07 00:24:00,,5.002,,0.027,,122.121,,0.763,-59127.398,,0.006,,3.044,,0.0179999999999999,,,6.015,,,,,,,,4
2010-05-07 00:25:00,,5.0,,-0.006,,122.166,,0.772,-62178.136,,0.006,,3.172,,0.0179999999999999,,,5.993,,,,,,,,4
