measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,power_factor__327,system_id
2011-06-06 00:00:00,0.1890999999999999,3.0523,122.861,19.6171,13.3282,18.5324,0.0141,1.3666,0.0207999999999999,18.8134,16.907,16.7558,17.2197,0.1317,4
2011-06-06 00:01:00,0.1882,3.1813,122.8337,19.5593,13.3278,18.5324,0.0137,1.2812,0.0181,18.8232,17.0129,16.8791,17.3651,0.1310999999999999,4
2011-06-06 00:02:00,0.1889,3.0953,122.7962,19.6813,13.3282,18.5324,0.0179999999999999,1.4748,0.0247,18.8516,17.1556,17.0163,17.4828,0.1312,4
2011-06-06 00:03:00,0.1884,3.1598,122.7859,19.7092,13.3287,18.5324,0.0189,1.2185,0.0224,18.8683,17.1912,16.9851,17.4654,0.1327,4
2011-06-06 00:04:00,0.1885999999999999,3.2458,122.7467,19.7858,13.3287,18.5324,0.0194,1.0591,0.0191999999999999,18.9043,17.3269,17.1745,17.6407,0.1322,4
2011-06-06 00:05:00,0.1885999999999999,3.2458,122.7313,20.0053,13.3287,18.5324,0.0247999999999999,1.173,0.0291,18.9806,17.6178,17.4891,17.9912,0.1323,4
2011-06-06 00:06:00,0.1893,3.1383,122.7689,20.098,13.3283,18.5324,0.0223,1.3495,0.0304,19.0417,17.7896,17.5531,18.0655,0.1318,4
2011-06-06 00:07:00,0.1893,3.0953,122.6801,20.0097,13.329,18.555,0.0129999999999999,1.2698,0.0162999999999999,19.0934,17.8963,17.6856,18.1549,0.1317,4
2011-06-06 00:08:00,0.1884,3.0738,122.7201,19.7529,13.3272,18.5595,0.0179999999999999,1.0249,0.0184999999999999,19.1083,17.9057,17.6623,18.1156,0.132,4
2011-06-06 00:09:00,0.1882,3.2027,122.6794,19.7021,13.3266,18.5595,0.0198,1.2527,0.0253999999999999,19.1097,17.9168,17.6839,18.1177,0.1322,4
2011-06-06 00:10:00,0.1889,3.0952,122.6848,19.7046,13.3262,18.5823,0.0178,1.1274,0.02,19.1318,17.9334,17.7164,18.146,0.132,4
2011-06-06 00:11:00,0.1882,3.2457,122.6495,19.8941,13.3274,18.5906,0.0129999999999999,1.1559,0.0142,19.1602,18.0167,17.8165,18.2426,0.1315999999999999,4
2011-06-06 00:12:00,0.1889,3.0952,122.7078,19.8779,13.3274,18.6092,0.0156999999999999,1.1217,0.0185999999999999,19.1857,18.0201,17.799,18.232,0.1313,4
2011-06-06 00:13:00,0.1890999999999999,3.2457,122.8158,19.8897,13.3267,18.6092,0.0213999999999999,1.1046,0.024,19.1954,18.0556,17.8623,18.2918,0.1317,4
2011-06-06 00:14:00,0.1885999999999999,3.2027,122.811,19.8978,13.3249,18.625,0.0228,1.3779,0.0308,19.2265,18.0811,17.9059,18.318,0.1322,4
2011-06-06 00:15:00,0.1889,3.3317,122.8164,20.0366,13.3255,18.6384,0.0114,1.2527,0.0152999999999999,19.2544,18.1007,17.9499,18.3092,0.1323999999999999,4
2011-06-06 00:16:00,0.1893,2.9663,122.8094,20.0377,13.3256,18.6612,0.0184,1.0705,0.0205,19.2855,18.1062,17.9359,18.2882,0.1317,4
2011-06-06 00:17:00,0.1890999999999999,3.2026,122.7973,19.8837,13.3252,18.6702,0.0146,1.0363,0.0183,19.2813,18.0742,17.9171,18.2778,0.1317,4
2011-06-06 00:18:00,0.1885999999999999,3.1382,122.7467,19.8368,13.3246,18.6924,0.0187,1.1957,0.0225999999999999,19.2938,18.0527,17.8949,18.2354,0.1321,4
2011-06-06 00:19:00,0.1884,3.0737,122.7933,19.9913,13.3245,18.7111,0.0179999999999999,1.1786,0.0216,19.3228,18.0699,17.9448,18.2826,0.1322,4
2011-06-06 00:20:00,0.1884,3.0952,122.7598,20.077,13.3238,18.7132,0.0273,1.1217,0.031,19.3228,18.0755,17.9142,18.2652,0.1315999999999999,4
2011-06-06 00:21:00,0.1893,3.2457,122.8233,20.0385,13.3242,18.729,0.0213999999999999,1.2868,0.0281999999999999,19.3358,18.0767,17.9175,18.2692,0.1328,4
2011-06-06 00:22:00,0.1885999999999999,3.1382,122.8171,20.1541,13.3241,18.7465,0.0156999999999999,1.1843,0.0190999999999999,19.3595,18.1123,17.9712,18.3305,0.1318999999999999,4
2011-06-06 00:23:00,0.1889,3.1597,122.8224,20.259,13.324,18.7651,0.0159,1.3893,0.0235999999999999,19.4024,18.14,18.0129,18.3429,0.1321,4
2011-06-06 00:24:00,0.1882,3.1812,122.8622,20.3146,13.3239,18.7719,0.0148,1.3438,0.0182,19.4189,18.2232,18.1121,18.449,0.1323,4
2011-06-06 00:25:00,0.1890999999999999,3.3102,122.8998,20.3028,13.3238,18.7943,0.0178,1.1046,0.0185999999999999,19.4544,18.2568,18.0956,18.4186,0.1327,4
2011-06-06 00:26:00,0.1893,3.2457,122.9583,20.1932,13.3233,18.8171,0.02,1.1388,0.0235999999999999,19.4744,18.2254,18.0809,18.3838,0.1325,4
2011-06-06 00:27:00,0.1893,3.2457,122.9584,20.1235,13.3232,18.8191,0.0159,1.1901,0.0194,19.4612,18.1698,17.9919,18.2858,0.132,4
2011-06-06 00:28:00,0.1884,3.1383,122.9656,20.0285,13.3227,18.8419,0.0164,1.1217,0.0207,19.4514,18.0502,17.9028,18.1732,0.1326,4
2011-06-06 00:29:00,0.1890999999999999,3.0308,122.9434,20.1748,13.3231,18.8623,0.0236999999999999,1.1388,0.0253999999999999,19.4703,18.0017,17.8919,18.1699,0.1315,4
2011-06-06 00:30:00,0.1889,3.2243,122.9728,20.3363,13.3231,18.869,0.0138999999999999,1.3096,0.0165,19.4806,17.9473,17.8534,18.1294,0.1323999999999999,4
