measured_on,ac_current__319,ac_meter_1_power_kw__1017,ac_meter_2_power_kw__1018,ac_power__315,ac_power_metered_1_2__1133,ac_power_metered_kw__1016,ac_voltage__318,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__1132,dc_power__314,inv1_ac_power_kw__1019,inv1_dc_current__1021,inv1_dc_power__1130,inv1_dc_voltage__1020,inv1_temp__1022,inv2_ac_power_kw__1023,inv2_dc_current__1025,inv2_dc_power__1131,inv2_dc_voltage__1024,inv2_temp__1026,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,poa_irradiance__313,power_factor__327,system_id
2013-05-25 00:00:00,0.1834,,,2.9413,,,122.9512,15.4505,13.2997,16.9538,0.0152999999999999,3.1157,,0.0490999999999999,,,,,,,,,,,16.0052,14.0271,14.067,14.3389,-3.5632,0.1288999999999999,4
2013-05-25 00:01:00,0.1834,,,2.9386,,,122.9502,15.3995,13.2993,16.9268,0.0129999999999999,2.9961,,0.0381999999999999,,,,,,,,,,,15.9922,14.0168,14.089,14.3377,-3.1475,0.1287,4
2013-05-25 00:02:00,0.1835,,,2.9218,,,122.9962,15.5717,13.3002,16.8916,0.0198,2.9847,,0.0577,,,,,,,,,,,15.9883,14.0816,14.2155,14.4823,-3.1475,0.1298,4
2013-05-25 00:03:00,0.1834,,,2.9347,,,122.9892,15.5664,13.3002,16.873,0.0184999999999999,3.0987,,0.0592,,,,,,,,,,,15.9955,14.1182,14.238,14.5028,-2.9099,0.1298,4
2013-05-25 00:04:00,0.1835,,,2.924,,,122.8821,15.3178,13.3006,16.8419,0.0125,2.7911,,0.0374,,,,,,,,,,,15.9678,14.1037,14.1752,14.4582,-2.7912,0.1293,4
2013-05-25 00:05:00,0.1832999999999999,,,2.9506,,,122.8859,15.2254,13.3011,16.8129,0.0161999999999999,2.6885,,0.0427999999999999,,,,,,,,,,,15.9353,14.1425,14.2091,14.4921,-2.6724,0.1295,4
2013-05-25 00:06:00,0.1832,,,2.921,,,122.8385,15.2716,13.3016,16.786,0.0121,2.6202,,0.0315,,,,,,,,,,,15.9118,14.1898,14.222,14.5071,-2.6724,0.1298,4
2013-05-25 00:07:00,0.1832,,,2.9178,,,122.8604,15.2727,13.3038,16.7653,0.0128,2.4436,,0.0288999999999999,,,,,,,,,,,15.8953,14.2482,14.2398,14.5437,-2.8506,0.1290999999999999,4
2013-05-25 00:08:00,0.1832,,,2.9269,,,122.8294,15.3991,13.3048,16.7363,0.0166,2.7341,,0.0439,,,,,,,,,,,15.8837,14.3038,14.2905,14.593,-2.8506,0.1292,4
2013-05-25 00:09:00,0.1832999999999999,,,2.9166,,,122.858,15.4826,13.3057,16.7073,0.0178,2.6487,,0.0485999999999999,,,,,,,,,,,15.8798,14.3076,14.2663,14.5639,-2.8506,0.1293999999999999,4
