measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,intsolirrad__16,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,module_temp_f__18,poa_irradiance__313,power_factor__327,wind_speed_mph__19,system_id
2011-05-09 00:00:00,0.1880999999999999,3.1179,122.3291,16.2535,,13.4156,14.2285,0.0134,1.1734,0.0155,,14.8342,12.6019,12.975,12.5773,,-3.4411,0.1292,,4
2011-05-09 00:01:00,0.1872,2.9889,122.3582,16.1033,,13.4161,14.2285,0.0156999999999999,1.0879,0.0176,,14.8181,12.5175,12.8745,12.7079,,-3.6826,0.1292,,4
2011-05-09 00:02:00,0.1883,3.1609,122.3923,15.9719,,13.4156,14.2306,0.0083999999999999,1.0993,0.0094,,14.8013,12.4612,12.7564,12.8203,,-4.1655,0.1308999999999999,,4
2011-05-09 00:03:00,0.1883,3.0964,122.4402,16.092,,13.4156,14.2285,0.0137,1.1734,0.0152999999999999,,14.7873,12.4599,12.7227,12.8787,,-4.3466,0.1307,,4
2011-05-09 00:04:00,0.1862999999999999,3.1394,122.4487,16.0428,,13.4161,14.2285,0.0088999999999999,1.1962,0.0102,,14.7621,12.2686,12.5091,12.6546,,-4.407,0.1300999999999999,,4
2011-05-09 00:05:00,0.1867999999999999,3.0749,122.4556,16.1405,,13.4161,14.2285,0.0077,1.2588,0.0073,,14.7453,12.1997,12.4592,12.6012,,-4.5881,0.1305,,4
2011-05-09 00:06:00,0.1887,3.0749,122.3428,16.2521,,13.4166,14.2285,0.0138999999999999,1.1164,0.0155,,14.7173,12.0625,12.2637,12.507,,-4.6485,0.1300999999999999,,4
2011-05-09 00:07:00,0.1875999999999999,3.0319,122.2983,16.4017,,13.4166,14.2285,0.0175,1.2133,0.0207999999999999,,14.6991,12.0266,12.2552,12.5098,,-4.7692,0.1290999999999999,,4
2011-05-09 00:08:00,0.1877999999999999,3.0104,122.2744,16.3462,,13.4175,14.2285,0.0172999999999999,1.0766,0.0184999999999999,,14.711,12.1117,12.3488,12.5962,,-4.7692,0.1298999999999999,,4
2011-05-09 00:09:00,0.187,2.9029,122.283,16.8297,,13.4189,14.2285,0.0141,1.0424,0.0138,,14.8258,12.3712,12.6054,13.0395,,-4.9503,0.1303,,4
