measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,inverter_temp__256,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_3__255,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,system_id
2010-04-20 00:00:00,,5.039,,0.066,,123.359,,11.102,12.792,,0.007,,1.428,,0.01,,,11.839,,,,,,,,4
2010-04-20 00:01:00,,5.038,,-0.11,,123.377,,11.003,12.007,,0.008,,1.72,,0.014,,,11.857,,,,,,,,4
2010-04-20 00:02:00,,5.038,,0.258,,123.324,,10.895,13.918,,0.0089999999999999,,1.71,,0.016,,,11.772,,,,,,,,4
2010-04-20 00:03:00,,5.035,,-0.066,,123.288,,10.814,11.809,,0.0089999999999999,,1.854,,0.016,,,11.73,,,,,,,,4
2010-04-20 00:04:00,,5.031,,0.203,,123.265,,10.713,11.796,,0.007,,1.756,,0.012,,,11.675,,,,,,,,4
2010-04-20 00:05:00,,5.032,,0.137,,123.328,,10.657,12.603,,0.008,,1.614,,0.012,,,11.704,,,,,,,,4
2010-04-20 00:06:00,,5.033,,0.137,,123.234,,10.61,13.393,,0.008,,1.818,,0.014,,,11.739,,,,,,,,4
2010-04-20 00:07:00,,5.035,,0.0879999999999999,,123.287,,10.612,12.0,,0.006,,1.794,,0.012,,,11.712,,,,,,,,4
2010-04-20 00:08:00,,5.028,,-0.017,,123.313,,10.695,12.014,,0.008,,1.638,,0.014,,,11.734,,,,,,,,4
2010-04-20 00:09:00,,5.034,,0.523,,123.338,,10.753,12.223,,0.01,,1.956,,0.0179999999999999,,,11.723,,,,,,,,4
2010-04-20 00:10:00,,5.044,,0.016,,123.441,,10.713,13.196,,0.0089999999999999,,1.566,,0.014,,,11.765,,,,,,,,4
2010-04-20 00:11:00,,5.019,,0.231,,122.789,,10.714,11.229,,0.008,,1.57,,0.012,,,11.803,,,,,,,,4
2010-04-20 00:12:00,,4.981,,-0.033,,122.027,,10.707,13.416,,0.007,,1.582,,0.012,,,11.787,,,,,,,,4
2010-04-20 00:13:00,,4.985,,0.132,,122.068,,10.661,13.434,,0.006,,1.74,,0.012,,,11.78,,,,,,,,4
2010-04-20 00:14:00,,4.992,,0.165,,122.135,,10.651,14.892,,0.0109999999999999,,1.608,,0.0179999999999999,,,11.748,,,,,,,,4
2010-04-20 00:15:00,,4.986,,0.28,,122.128,,10.59,13.743,,0.008,,1.612,,0.014,,,11.71,,,,,,,,4
2010-04-20 00:16:00,,4.986,,-0.16,,122.077,,10.49,14.174,,0.007,,1.642,,0.012,,,11.661,,,,,,,,4
2010-04-20 00:17:00,,4.982,,0.2359999999999999,,122.05,,10.454,16.649,,0.006,,1.786,,0.01,,,11.667,,,,,,,,4
2010-04-20 00:18:00,,4.979,,-0.127,,122.123,,10.35,16.879,,0.006,,1.542,,0.01,,,11.676,,,,,,,,4
2010-04-20 00:19:00,,4.985,,-0.138,,122.131,,10.444,15.879,,0.007,,1.674,,0.012,,,11.746,,,,,,,,4
2010-04-20 00:20:00,,4.983,,0.203,,122.136,,10.567,13.371,,0.007,,1.552,,0.012,,,11.795,,,,,,,,4
2010-04-20 00:21:00,,4.989,,0.335,,122.153,,10.808,13.718,,0.007,,1.698,,0.012,,,11.82,,,,,,,,4
2010-04-20 00:22:00,,4.982,,0.214,,122.173,,10.879,13.81,,0.008,,1.684,,0.014,,,11.803,,,,,,,,4
2010-04-20 00:23:00,,4.983,,0.0379999999999999,,122.167,,10.903,14.147,,0.008,,1.78,,0.014,,,11.8,,,,,,,,4
2010-04-20 00:24:00,,4.991,,0.1479999999999999,,122.19,,10.964,13.602,,0.008,,1.662,,0.014,,,11.79,,,,,,,,4
2010-04-20 00:25:00,,4.989,,-0.0109999999999999,,122.195,,11.174,12.906,,0.01,,1.536,,0.016,,,11.762,,,,,,,,4
2010-04-20 00:26:00,,4.987,,-0.028,,122.206,,11.15,13.146,,0.0089999999999999,,1.656,,0.016,,,11.636,,,,,,,,4
2010-04-20 00:27:00,,4.987,,-0.0109999999999999,,122.19,,11.141,11.981,,0.008,,1.858,,0.014,,,11.563,,,,,,,,4
2010-04-20 00:28:00,,4.984,,-0.099,,122.212,,11.166,12.009,,0.006,,1.9,,0.012,,,11.57,,,,,,,,4
2010-04-20 00:29:00,,4.987,,0.203,,122.185,,11.32,12.01,,0.006,,1.684,,0.01,,,11.582,,,,,,,,4
2010-04-20 00:30:00,,4.984,,-0.1769999999999999,,122.094,,11.301,13.51,,0.008,,1.848,,0.014,,,11.541,,,,,,,,4
2010-04-20 00:31:00,,4.994,,-0.0219999999999999,,122.151,,11.246,12.768,,0.007,,1.692,,0.012,,,11.504,,,,,,,,4
2010-04-20 00:32:00,,4.988,,0.264,,122.199,,11.259,13.169,,0.007,,1.716,,0.012,,,11.506,,,,,,,,4
2010-04-20 00:33:00,,4.986,,-0.166,,122.107,,11.238,13.01,,0.007,,1.684,,0.012,,,11.525,,,,,,,,4
2010-04-20 00:34:00,,4.99,,0.033,,122.212,,11.254,14.524,,0.008,,1.74,,0.014,,,11.504,,,,,,,,4
2010-04-20 00:35:00,,4.998,,0.027,,122.276,,11.24,16.235,,0.007,,1.816,,0.012,,,11.478,,,,,,,,4
2010-04-20 00:36:00,,4.996,,-0.16,,122.26,,11.192,15.596,,0.007,,1.938,,0.014,,,11.465,,,,,,,,4
2010-04-20 00:37:00,,4.986,,-0.083,,122.303,,11.367,14.62,,0.008,,1.632,,0.014,,,11.48,,,,,,,,4
