measured_on,ac_current__319,ac_current__633,ac_power__315,ac_power__629,ac_voltage__318,ac_voltage__632,ambient_temp__320,ambient_temp__634,das_battery_voltage__326,das_temp__325,das_temp__662,dc_current__631,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dc_power__628,dc_voltage__630,inv_temp__661,inverter_temp__324,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__321,module_temp_2__322,module_temp_3__323,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__313,power_factor__327,reflector_temp_1__638,system_id
2012-12-24 00:00:00,0.183,,2.7293,,121.7979,,-0.7246,,13.7972,-2.485,,,-0.0037,2.1275,-0.0074,,,,-2.1861,,,,,,,,,,,,,,,,,,,-3.9339,-4.2263,-3.2784,,,,,,,,,-2.8562,0.1217,,4
2012-12-24 00:01:00,0.1829,,2.7284,,121.8308,,-0.8404,,13.7985,-2.5057,,,0.0033999999999999,2.2131,0.0047999999999999,,,,-2.1735,,,,,,,,,,,,,,,,,,,-3.9132,-4.1846,-3.2222,,,,,,,,,-2.6777,0.1213999999999999,,4
2012-12-24 00:02:00,0.1827999999999999,,2.7157,,121.7491,,-0.9298,,13.798,-2.5057,,,-0.003,2.0819,-0.0038,,,,-2.1416,,,,,,,,,,,,,,,,,,,-3.9431,-4.3004,-3.2977,,,,,,,,,-2.5587,0.1221,,4
2012-12-24 00:03:00,0.1827999999999999,,2.7143,,121.704,,-1.4381,,13.7982,-2.5057,,,-0.008,2.1161,-0.0204,,,,-2.172,,,,,,,,,,,,,,,,,,,-3.9714,-4.3207,-3.3798,,,,,,,,,-2.6777,0.1212,,4
2012-12-24 00:04:00,0.1827,,2.7229,,121.6974,,-1.4316,,13.7984,-2.5057,,,-0.0027,2.2701,-0.0067,,,,-2.1844,,,,,,,,,,,,,,,,,,,-3.9728,-4.2632,-3.2941,,,,,,,,,-2.8563,0.1222,,4
2012-12-24 00:05:00,0.1827999999999999,,2.7326,,121.7254,,-1.4095,,13.799,-2.5193,,,-0.0082,2.1275,-0.0145,,,,-2.2066,,,,,,,,,,,,,,,,,,,-3.9959,-4.1894,-3.2619,,,,,,,,,-2.8563,0.1217,,4
2012-12-24 00:06:00,0.1827999999999999,,2.7273,,121.7582,,-1.3406,,13.7987,-2.5261,,,-0.0037,2.2872,-0.0092999999999999,,,,-2.2004,,,,,,,,,,,,,,,,,,,-4.058,-4.162,-3.1946,,,,,,,,,-2.8563,0.1222,,4
2012-12-24 00:07:00,0.1829,,2.7183,,121.7745,,-1.35,,13.8016,-2.5261,,,-0.0077999999999999,2.0477,-0.0162999999999999,,,,-2.2105,,,,,,,,,,,,,,,,,,,-4.1744,-4.4226,-3.4343,,,,,,,,,-2.8563,0.1216,,4
2012-12-24 00:08:00,0.1829,,2.719,,121.8098,,-1.7212,,13.8004,-2.5261,,,-0.0045999999999999,1.9735,-0.0106,,,,-2.254,,,,,,,,,,,,,,,,,,,-4.3949,-4.6593,-3.8209,,,,,,,,,-2.9158,0.1216,,4
2012-12-24 00:09:00,0.183,,2.7268,,121.831,,-2.1881,,13.8014,-2.5487,,,-0.0125,2.1732,-0.0316,,,,-2.3338,,,,,,,,,,,,,,,,,,,-4.6521,-4.8642,-4.1294,,,,,,,,,-3.0943,0.1212,,4
2012-12-24 00:10:00,0.183,,2.7415,,121.8462,,-2.358,,13.802,-2.5487,,,-0.0088999999999999,2.1447,-0.0181,,,,-2.3787,,,,,,,,,,,,,,,,,,,-4.8904,-5.0595,-4.39,,,,,,,,,-3.1538,0.1223,,4
2012-12-24 00:11:00,0.183,,2.7464,,121.7951,,-2.4775,,13.8034,-2.5537,,,-0.0051999999999999,2.1903,-0.0123,,,,-2.4258,,,,,,,,,,,,,,,,,,,-5.091,-5.2412,-4.6609,,,,,,,,,-3.8084,0.1222,,4
2012-12-24 00:12:00,0.1827,,2.7176,,121.6669,,-2.5351,,13.8035,-2.569,,,-0.0073,2.1104,-0.0112,,,,-2.4795,,,,,,,,,,,,,,,,,,,-5.2646,-5.4047,-4.8359,,,,,,,,,-3.9869,0.122,,4
2012-12-24 00:13:00,0.1827,,2.7292,,121.6623,,-2.619,,13.8036,-2.5822,,,-0.0066,2.0135,-0.0149,,,,-2.5282,,,,,,,,,,,,,,,,,,,-5.4011,-5.5025,-4.9999,,,,,,,,,-4.2844,0.1216,,4
2012-12-24 00:14:00,0.1826,,2.7433,,121.6542,,-2.7007,,13.8036,-2.5967,,,-0.0061999999999999,2.1161,-0.0143,,,,-2.5753,,,,,,,,,,,,,,,,,,,-5.4799,-5.5901,-5.064,,,,,,,,,-4.4034,0.1213999999999999,,4
2012-12-24 00:15:00,0.1827999999999999,,2.7251,,121.6833,,-2.4694,,13.8034,-2.6119,,,-0.0057,1.9564,-0.0123,,,,-2.6123,,,,,,,,,,,,,,,,,,,-5.3653,-5.4492,-4.8505,,,,,,,,,-4.2843,0.1217,,4
