measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,control_module_voltage__1371,control_module_voltage__1376,das_battery_voltage__1369,das_battery_voltage__326,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,hvps_1-1_current__1387,hvps_1-1_disabled__1378,hvps_1-1_mvcontrol__1384,hvps_1-1_vactual__1386,hvps_1-1_vtarget__1385,hvps_1-2_current__1391,hvps_1-2_disabled__1379,hvps_1-2_mvcontrol__1388,hvps_1-2_vactual__1390,hvps_1-2_vtarget__1389,hvps_1-3_current__1395,hvps_1-3_disabled__1380,hvps_1-3_mvcontrol__1392,hvps_1-3_vactual__1394,hvps_1-3_vtarget__1393,hvps_2-1_current__1399,hvps_2-1_disabled__1381,hvps_2-1_mvcontrol__1396,hvps_2-1_vactual__1398,hvps_2-1_vtarget__1397,hvps_2-2_current__1403,hvps_2-2_disabled__1382,hvps_2-2_mvcontrol__1400,hvps_2-2_vactual__1402,hvps_2-2_vtarget__1401,hvps_2-3_current__1407,hvps_2-3_disabled__1383,hvps_2-3_mvcontrol__1404,hvps_2-3_vactual__1406,hvps_2-3_vtarget__1405,interior_temp__1366,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,poa_irradiance__313,power_factor__327,program_codeset__1373,program_codeset__1377,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2011-03-20 00:00:00,0.1862,3.162,122.5481,8.264599999999998,,,,,13.5886,,8.156,0.0011,2.9914,0.0038999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1632,6.1614,5.7205,6.239,-3.6843,0.1285,,,,,4
2011-03-20 00:01:00,0.1872999999999999,3.205,122.5003,8.733499999999998,,,,,13.5888,,8.1399,0.0067999999999999,3.037,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.162,6.2497,5.8196,6.4078,-3.6843,0.1279,,,,,4
2011-03-20 00:02:00,0.187,3.1835,122.5739,9.186800000000002,,,,,13.5888,,8.1263,0.0014,2.6894,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2066,6.4062,5.9477,6.5813,-3.7447,0.1275999999999999,,,,,4
2011-03-20 00:03:00,0.1864,3.162,122.6013,9.746,,,,,13.589,,8.1188,0.0067999999999999,2.7521,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.298299999999998,6.6342,6.1624,6.8163,-3.5031,0.128,,,,,4
2011-03-20 00:04:00,0.187,3.205,122.5894,10.1478,,,,,13.589,,8.1037,0.0018,2.8319,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.378999999999998,6.8254,6.3167,7.065,-3.4427,0.1283999999999999,,,,,4
2011-03-20 00:05:00,0.1872999999999999,3.291,122.586,10.0954,,,,,13.5893,,8.0811,0.0045999999999999,2.7293,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3883,6.8113,6.1709,6.9414,-3.1407,0.1287,,,,,4
2011-03-20 00:06:00,0.1867999999999999,3.205,122.586,9.7034,,,,,13.5887,,8.0811,0.0008999999999999,2.8376,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3755,6.7565,6.1496,6.9009,-3.3823,0.1277,,,,,4
2011-03-20 00:07:00,0.1865999999999999,3.2695,122.5468,8.6227,,,,,13.5885,,8.0811,0.0016,3.0997,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333,6.642,6.1382,6.7629,-3.5031,0.1279,,,,,4
2011-03-20 00:08:00,0.186,3.162,122.516,8.7618,,,,,13.5885,,8.060399999999998,0.0054999999999999,2.906,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2981,6.6326,6.1622,6.8282,-3.6239,0.1292,,,,,4
2011-03-20 00:09:00,0.1872999999999999,3.162,122.5314,9.0115,,,,,13.5887,,8.0585,0.0033999999999999,2.7065,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.300499999999998,6.5767,6.0123,6.6948,-3.5031,0.128,,,,,4
2011-03-20 00:10:00,0.1872999999999999,3.248,122.5536,8.948,,,,,13.5892,,8.039899999999998,0.0074999999999999,2.7179,0.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2599,6.4712,5.9294,6.5651,-3.6239,0.1283,,,,,4
2011-03-20 00:11:00,0.1862,3.205,122.5315,9.0005,,,,,13.5885,,8.0382,-0.0005,2.9288,-0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2568,6.4879,6.0302,6.6046,-3.8655,0.129,,,,,4
2011-03-20 00:12:00,0.1875,3.162,122.5281,8.8682,,,,,13.5889,,8.0363,0.0025,2.9003,0.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2428,6.4085,5.8488,6.4362,-3.6843,0.128,,,,,4
2011-03-20 00:13:00,0.1867999999999999,3.0974,122.5007,8.754799999999998,,,,,13.5906,,8.0156,0.0033999999999999,2.8775,0.0109999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1845,6.2796,5.7647,6.3949,-4.2279,0.1283999999999999,,,,,4
2011-03-20 00:14:00,0.1864,3.205,122.5418,8.5301,,,,,13.591,,8.0005,0.005,2.8433,0.0106999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.151,6.246,5.7802,6.315,-4.1675,0.1288999999999999,,,,,4
2011-03-20 00:15:00,0.1855,3.1835,122.6273,8.769299999999998,,,,,13.594,,7.993,0.0047999999999999,2.7122,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1683,6.4035,5.975,6.5153,-4.0467,0.1280999999999999,,,,,4
2011-03-20 00:16:00,0.1864,3.162,122.617,8.8634,,,,,13.5936,,7.972299999999999,0.0033999999999999,2.9573,0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1668,6.3401,5.7561,6.3272,-3.8051,0.1287,,,,,4
2011-03-20 00:17:00,0.1864,3.248,122.6307,8.7855,,,,,13.5946,,7.966999999999999,0.0054999999999999,2.9117,0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1431,6.228,5.7415,6.2885,-3.7447,0.1282,,,,,4
2011-03-20 00:18:00,0.1865999999999999,3.2265,122.6615,8.691599999999998,,,,,13.5942,,7.9501,0.0058999999999999,2.849,0.0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.102,6.1362,5.6283,6.1889,-4.0467,0.1285,,,,,4
2011-03-20 00:19:00,0.1872999999999999,3.205,122.6632,8.5561,,,,,13.5947,,7.9501,0.0032,2.6895,0.0097999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0949,6.1305,5.6853,6.1704,-3.8655,0.1283999999999999,,,,,4
2011-03-20 00:20:00,0.1880999999999999,3.248,122.6546,8.697699999999998,,,,,13.5948,,7.9313,0.0011,2.6553,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0797,6.1913,5.8139,6.3472,-4.2279,0.1275999999999999,,,,,4
2011-03-20 00:21:00,0.1877,3.2265,122.6598,9.2992,,,,,13.5948,,7.9162,0.0061999999999999,2.7236,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.120599999999998,6.357,6.0715,6.6644,-4.1071,0.1278,,,,,4
2011-03-20 00:22:00,0.1865999999999999,3.205,122.6717,9.4958,,,,,13.5949,,7.904899999999999,0.0073,2.5812,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1498,6.3635,5.8814,6.5222,-3.624,0.1279,,,,,4
2011-03-20 00:23:00,0.1864,3.1189,122.6752,9.2936,,,,,13.5949,,7.8992,0.0074999999999999,2.4615,0.0172999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1165,6.1785,5.6449,6.3372,-3.8655,0.1283,,,,,4
2011-03-20 00:24:00,0.1872999999999999,3.162,122.7008,8.9711,,,,,13.595,,7.8823,0.0035999999999999,2.6325,0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.070399999999998,5.9763,5.439,6.0596,-3.8051,0.1277,,,,,4
2011-03-20 00:25:00,0.1865999999999999,3.2695,122.6649,8.6441,,,,,13.5955,,7.8654,0.003,2.6211,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0301,5.7584,5.2943,5.9094,-3.7448,0.1285,,,,,4
