measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,module_temp_1__321,poa_irradiance__313,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2007-08-28 00:00:00,5.019,19.013,119.463,16.391,,,,,18.651,0.007,2.112,0.016,,,,,17.314,15.0,,,,4
2007-08-28 00:15:00,5.028,19.063,119.549,15.996,,,,,18.378,0.007,2.572,0.019,,,,,16.946,14.0,,,,4
2007-08-28 00:30:00,5.023,19.05,119.597,16.081,,,,,18.024,0.008,2.549,0.019,,,,,16.581,13.0,,,,4
2007-08-28 00:45:00,5.027,19.068,119.684,15.749,,,,,17.751,0.007,2.573,0.019,,,,,15.879,13.0,,,,4
2007-08-28 01:00:00,5.03,19.077,119.694,15.396,,,,,17.396,0.007,2.594,0.019,,,,,15.786,12.0,,,,4
2007-08-28 01:15:00,5.021,19.026,119.572,15.648,,,,,17.306,0.007,2.529,0.0179999999999999,,,,,15.502,13.0,,,,4
2007-08-28 01:30:00,5.005,18.92,119.154,15.884,,,,,17.116,0.007,2.491,0.017,,,,,14.83,14.0,,,,4
2007-08-28 01:45:00,5.006,18.931,119.159,16.022,,,,,17.092,0.007,2.452,0.017,,,,,14.624,15.0,,,,4
2007-08-28 02:00:00,5.01,18.967,119.368,15.91,,,,,17.025,0.007,2.304,0.017,,,,,14.512,14.0,,,,4
2007-08-28 02:15:00,5.006,18.934,119.19,15.698,,,,,16.945,0.007,1.9,0.0129999999999999,,,,,14.523,15.0,,,,4
2007-08-28 02:30:00,5.011,18.968,119.346,15.52,,,,,16.851,0.007,1.429,0.01,,,,,14.546,14.0,,,,4
2007-08-28 02:45:00,5.012,18.955,119.261,15.916,,,,,16.784,0.007,1.14,0.008,,,,,14.601,14.0,,,,4
2007-08-28 03:00:00,5.021,19.022,119.474,15.968,,,,,16.808,0.007,1.023,0.007,,,,,14.385,15.0,,,,4
2007-08-28 03:15:00,5.014,18.993,119.369,15.831,,,,,16.798,0.007,1.129,0.008,,,,,14.496,14.0,,,,4
2007-08-28 03:30:00,5.013,18.991,119.416,16.028,,,,,16.845,0.007,0.981,0.007,,,,,14.39,15.0,,,,4
2007-08-28 03:45:00,5.005,18.93,119.148,16.067,,,,,16.963,0.007,1.102,0.008,,,,,14.564,15.0,,,,4
2007-08-28 04:00:00,4.992,18.835,118.933,15.779,,,,,16.97,0.007,1.125,0.008,,,,,14.521,13.0,,,,4
2007-08-28 04:15:00,4.964,18.639,118.369,15.866,,,,,16.942,0.007,1.097,0.008,,,,,14.689,13.0,,,,4
2007-08-28 04:30:00,4.955,18.584,118.207,15.747,,,,,16.849,0.007,1.152,0.008,,,,,14.705,14.0,,,,4
2007-08-28 04:45:00,4.955,18.569,118.134,15.463,,,,,16.809,0.007,1.374,0.01,,,,,14.66,14.0,,,,4
2007-08-28 05:00:00,4.987,18.771,118.8,16.729,,,,,16.864,0.007,3.441,0.024,,,,,14.977,14.0,,,,4
2007-08-28 05:15:00,4.97,18.712,118.659,16.762,,,,,17.204,0.0089999999999999,9.456,0.0859999999999999,,,,,15.274,14.0,,,,4
2007-08-28 05:30:00,5.026,19.828,118.676,17.008,,,,,17.496,0.0219999999999999,60.917,1.647,,,,,15.502,18.0,,,,4
2007-08-28 05:45:00,5.332,35.6,118.849,17.716,,,,,17.918,0.058,157.003,9.092,,,,,15.925,29.0,,,,4
2007-08-28 06:00:00,5.181,33.091,118.76,17.952,,,,,18.72,0.095,154.797,14.704,,,,,16.601,44.0,,,,4
2007-08-28 06:15:00,5.219,37.69,118.628,18.695,,,,,19.501,0.131,216.762,28.421,,,,,17.461,78.0,,,,4
2007-08-28 06:30:00,5.082,36.095,118.894,19.561,,,,,20.301,0.2379999999999999,219.063,52.075,,,,,18.728,125.0,,,,4
2007-08-28 06:45:00,4.917,35.092,118.847,20.067,,,,,21.101,0.4,230.967,92.828,,,,,20.437,181.0,,,,4
2007-08-28 07:00:00,4.87,40.463,119.903,20.373,,,,,22.037,0.5769999999999998,269.543,156.014,,,,,22.411,238.0,,,,4
2007-08-28 07:15:00,4.881,54.099,120.011,18.818,,,,,22.755,0.799,278.832,222.71,,,,,24.038,297.0,,,,4
2007-08-28 07:30:00,4.952,69.229,120.29,19.637,,,,,23.261,1.033,277.947,287.055,,,,,26.812,359.0,,,,4
2007-08-28 07:45:00,5.042,84.885,120.44,20.189,,,,,23.939,1.274,276.591,352.229,,,,,28.335,421.0,,,,4
2007-08-28 08:00:00,5.209,101.872,120.395,20.369,,,,,24.556,1.515,276.255,418.427,,,,,30.129,485.0,,,,4
2007-08-28 08:15:00,5.462,119.524,121.065,21.123,,,,,25.196,1.762,274.612,483.834,,,,,33.042,550.0,,,,4
2007-08-28 08:30:00,5.877,143.187,121.408,21.959,,,,,26.019,2.107,272.148,573.412,,,,,35.793,637.0,,,,4
2007-08-28 08:45:00,6.382,170.557,122.61,22.388,,,,,27.025,2.566,265.572,681.306,,,,,39.341,771.0,,,,4
2007-08-28 09:00:00,5.748,133.573,121.917,22.533,,,,,28.106,2.033,265.549,540.098,,,,,39.059,634.0,,,,4
2007-08-28 09:15:00,5.206,99.124,121.206,22.676,,,,,28.728,1.547,265.106,409.642,,,,,36.171,460.0,,,,4
2007-08-28 09:30:00,5.03,84.075,121.183,22.037,,,,,28.684,1.277,272.348,347.78,,,,,34.255,397.0,,,,4
2007-08-28 09:45:00,5.112,92.133,120.966,22.307,,,,,28.609,1.401,272.494,381.736,,,,,34.957,411.0,,,,4
2007-08-28 10:00:00,5.156,93.888,121.082,22.787,,,,,28.79,1.441,271.779,392.02,,,,,36.944,438.0,,,,4
2007-08-28 10:15:00,5.054,86.976,121.003,23.258,,,,,29.541,1.331,272.856,363.294,,,,,36.246,400.0,,,,4
2007-08-28 10:30:00,5.195,100.285,121.397,23.334,,,,,30.212,1.512,272.96,412.878,,,,,37.164,442.0,,,,4
2007-08-28 10:45:00,5.787,136.962,122.092,23.478,,,,,30.763,2.001,276.17,552.553,,,,,39.862,599.0,,,,4
2007-08-28 11:00:00,5.527,124.061,121.561,23.722,,,,,31.504,1.844,271.82,501.186,,,,,40.215,546.0,,,,4
2007-08-28 11:15:00,6.538,173.909,122.486,24.171,,,,,32.281,2.631,266.679,698.998,,,,,44.598,764.0,,,,4
2007-08-28 11:30:00,5.832,140.119,121.726,25.049,,,,,33.295,2.129,265.878,566.492,,,,,46.088,633.0,,,,4
2007-08-28 11:45:00,5.539,123.528,121.467,25.508,,,,,33.908,1.886,266.178,502.34,,,,,43.4,539.0,,,,4
2007-08-28 12:00:00,5.735,134.627,121.671,26.021,,,,,34.348,2.022,268.795,544.246,,,,,45.469,608.0,,,,4
2007-08-28 12:15:00,5.157,94.09500000000001,120.523,26.258,,,,,34.7,1.472,264.162,389.149,,,,,43.005,453.0,,,,4
2007-08-28 12:30:00,7.38,782.3329999999999,121.296,23.638,,,,,29.51,3.209,265.223,849.075,,,,,44.483,,,,,4
2007-08-28 12:45:00,4.789,4.362,117.459,25.752,,,,,33.698,0.4899999999999999,294.927,130.143,,,,,39.959,301.0,,,,4
2007-08-28 13:00:00,4.844,238.442,117.843,25.76,,,,,33.118,1.001,265.774,265.503,,,,,38.683,292.0,,,,4
2007-08-28 13:15:00,4.779,163.374,117.583,25.72,,,,,33.036,0.697,267.237,186.274,,,,,36.511,205.0,,,,4
2007-08-28 13:30:00,4.863,252.125,118.181,26.296,,,,,32.947,1.059,265.323,279.347,,,,,37.45,297.0,,,,4
2007-08-28 13:45:00,4.882,271.349,118.062,25.919,,,,,33.113,1.143,262.412,299.763,,,,,38.36,336.0,,,,4
2007-08-28 14:00:00,5.096,353.822,118.529,26.082,,,,,33.265,1.42,272.493,386.903,,,,,39.118,408.0,,,,4
2007-08-28 14:15:00,6.951,717.864,120.386,26.647,,,,,33.53,2.895,268.948,777.206,,,,,45.218,799.0,,,,4
2007-08-28 14:30:00,6.908,719.281,120.765,28.034,26.16311,0.06662397,13.09884,17.79138,34.538,2.971,261.845,777.6939999999998,24.09914,24.16656,18.48803,17.7577,51.914,863.0,1.0,8.698439,0.0,4
2007-08-28 14:45:00,6.612,670.315,120.539,27.754,,,,,35.441,2.786,260.261,724.962,,,,,50.965,798.0,,,,4
2007-08-28 15:00:00,5.913,528.291,119.688,28.522,,,,,35.971,2.128,270.64,573.72,,,,,49.788,665.0,,,,4
2007-08-28 15:15:00,4.973,249.388,118.027,28.117,,,,,36.209,1.19,231.061,274.949,,,,,44.999,361.0,,,,4
2007-08-28 15:30:00,4.765,143.382,117.899,27.619,,,,,35.644,0.64,258.452,165.09,,,,,39.313,192.0,,,,4
2007-08-28 15:45:00,5.27,343.542,119.078,26.852,,,,,34.764,1.424,261.877,375.665,,,,,40.093,376.0,,,,4
2007-08-28 16:00:00,5.162,324.544,118.964,27.087,,,,,35.237,1.346,265.399,356.677,,,,,43.194,398.0,,,,4
2007-08-28 16:15:00,5.135,325.506,119.255,27.218,,,,,35.824,1.332,265.419,356.181,,,,,43.102,424.0,,,,4
2007-08-28 16:30:00,4.838,200.588,118.562,26.954,,,,,35.968,0.896,250.915,224.799,,,,,39.996,237.0,,,,4
2007-08-28 16:45:00,4.977,283.564,119.222,27.124,,,,,35.949,1.181,265.089,312.378,,,,,42.514,354.0,,,,4
2007-08-28 17:00:00,4.859,167.896,118.79,27.002,,,,,35.593,0.7229999999999999,264.202,190.997,,,,,39.919,238.0,,,,4
2007-08-28 17:15:00,4.906,90.682,118.046,26.626,,,,,34.331,0.406,271.538,110.359,,,,,36.671,150.0,,,,4
2007-08-28 17:30:00,4.925,59.467,117.639,26.074,,,,,32.766,0.2889999999999999,268.613,77.811,,,,,34.16,110.0,,,,4
2007-08-28 17:45:00,5.062,34.73,117.752,24.816,,,,,31.132,0.188,272.493,51.266,,,,,32.447,82.0,,,,4
2007-08-28 18:00:00,5.203,14.971,118.488,23.207,,,,,29.019,0.11,272.452,29.841,,,,,30.051,50.0,,,,4
2007-08-28 18:15:00,5.217,3.806,118.115,22.473,,,,,27.4,0.0739999999999999,207.625,15.802,,,,,27.904,33.0,,,,4
2007-08-28 18:30:00,5.172,-2.182,118.168,22.159,,,,,26.139,0.034,179.718,5.96,,,,,25.472,19.0,,,,4
2007-08-28 18:45:00,4.943,-0.095,118.581,21.619,,,,,25.163,0.016,54.97,1.021,,,,,23.898,13.0,,,,4
2007-08-28 19:00:00,4.93,-0.095,118.193,20.498,,,,,24.241,0.0089999999999999,8.39,0.0749999999999999,,,,,23.124,12.0,,,,4
