measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__326,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,intsolirrad__16,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,module_temp_f__18,poa_irradiance__313,power_factor__327,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,wind_speed_mph__19,system_id
2012-03-13 00:00:00,0.1865999999999999,3.1622,121.374,9.3749,,,,,13.5733,,8.8824,0.0002,1.4759,0.0016999999999999,,,,,,8.8938,7.0978,6.7117,7.1426,,-3.5063,0.1307,,,,,4
2012-03-13 00:01:00,0.1867999999999999,3.1838,121.3646,9.352,,,,,13.5733,,8.872999999999998,0.0018,1.5044,0.0057999999999999,,,,,,8.885799999999998,7.0806,6.7001,7.1118,,-3.6252,0.13,,,,,4
2012-03-13 00:02:00,0.1872999999999999,3.2053,121.3402,9.3243,,,,,13.5733,,8.856,0.0077999999999999,1.4474,0.0094,,,,,,8.864599999999998,7.0302,6.6469,7.0935,,-3.6846,0.1305,,,,,4
2012-03-13 00:03:00,0.1870999999999999,3.2268,121.348,9.4653,,,,,13.5737,,8.856,0.0025,1.5158,0.004,,,,,,8.8788,7.1269,6.7856,7.1901,,-3.7441,0.131,,,,,4
2012-03-13 00:04:00,0.1869,3.1408,121.4258,9.5752,,,,,13.5733,,8.8334,0.0074999999999999,1.476,0.0111,,,,,,8.9044,7.2087,6.8611,7.2542,,-3.6846,0.1303999999999999,,,,,4
2012-03-13 00:05:00,0.1870999999999999,3.1839,121.394,9.5096,,,,,13.5737,,8.8184,0.0109,1.4931,0.0167,,,,,,8.9155,7.2156,6.7855,7.222699999999999,,-3.5658,0.1303999999999999,,,,,4
2012-03-13 00:06:00,0.1870999999999999,3.2054,121.3724,9.3426,,,,,13.5751,,8.8109,0.0097999999999999,1.3905,0.0161,,,,,,8.9045,7.1939,6.7637,7.1896,,-3.5658,0.131,,,,,4
2012-03-13 00:07:00,0.1865999999999999,3.1409,121.42,9.1606,,,,,13.5756,,8.7956,0.008,1.5102,0.0114,,,,,,8.875,7.1593,6.7214,7.1309,,-3.5658,0.13,,,,,4
2012-03-13 00:08:00,0.1864,3.1625,121.3811,9.0312,,,,,13.576,,8.782999999999998,0.0064,1.6698,0.0109999999999999,,,,,,8.8426,7.0856,6.6404,7.06,,-3.4469,0.131,,,,,4
2012-03-13 00:09:00,0.1864,3.184,121.3726,8.892799999999998,,,,,13.5769,,8.7679,0.0051999999999999,1.4304,0.0061999999999999,,,,,,8.7985,7.0426,6.5882,7.0483,,-3.5064,0.1308999999999999,,,,,4
2012-03-13 00:10:00,0.1870999999999999,3.1195,121.4171,8.912599999999998,,,,,13.5783,,8.758499999999998,0.0035999999999999,1.4475,0.0067999999999999,,,,,,8.7714,7.0374,6.5915,7.0438,,-3.5658,0.1313999999999999,,,,,4
2012-03-13 00:11:00,0.1870999999999999,3.2055,121.4718,9.0126,,,,,13.5788,,8.7416,0.0054999999999999,1.4589,0.0088,,,,,,8.750199999999998,7.0233,6.5781,7.024,,-3.5658,0.1310999999999999,,,,,4
2012-03-13 00:12:00,0.1865999999999999,3.2486,121.5231,8.999499999999998,,,,,13.5788,,8.722699999999998,0.0063,1.4133,0.0061999999999999,,,,,,8.722799999999998,6.971,6.5208,6.981,,-3.5064,0.1312,,,,,4
2012-03-13 00:13:00,0.1870999999999999,3.098,121.4787,8.9503,,,,,13.5788,,8.702,0.0051999999999999,1.5786,0.0077999999999999,,,,,,8.6986,6.9673,6.5242,6.963,,-3.5659,0.131,,,,,4
2012-03-13 00:14:00,0.1875,3.1195,121.4753,9.0131,,,,,13.5788,,8.6715,0.0041,1.3621,0.0061999999999999,,,,,,8.6723,6.9964,6.5903,7.0306,,-3.5064,0.1313,,,,,4
