measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp__403,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_current__402,dc_pos_voltage__316,dc_pos_voltage__401,dc_power__314,dc_power__400,inverter_temp__324,module_temp_1__321,module_temp_1__404,module_temp_2__322,module_temp_3__323,poa_irradiance__313,poa_irradiance__399,power_factor__327,system_id
2013-04-27 00:00:00,0.1835,2.8634,122.8078,10.1697,,13.4759,9.2149,0.0097999999999999,,2.7018,,0.0276,,9.7974,8.353199999999998,,7.9885,8.4305,-2.1993,,0.126,4
2013-04-27 00:01:00,0.1835,2.8526,122.8263,10.1929,,13.4735,9.2375,0.0035999999999999,,2.4396,,0.0085,,9.7995,8.3602,,7.994799999999999,8.4482,-2.1399,,0.1254,4
2013-04-27 00:02:00,0.1836,2.8527,122.8291,10.1932,,13.4726,9.2563,0.0067999999999999,,2.5251,,0.0167999999999999,,9.7907,8.257099999999998,,7.861799999999999,8.3075,-2.3776,,0.1249,4
2013-04-27 00:03:00,0.1836,2.836,122.8343,10.2111,,13.472,9.2734,0.0045999999999999,,2.5935,,0.0092999999999999,,9.7774,8.0763,,7.697199999999999,8.125299999999998,-2.8532,,0.1246,4
2013-04-27 00:04:00,0.1836,2.845,122.8125,10.3412,,13.4718,9.2898,0.008,,2.6562,,0.0208999999999999,,9.7881,7.9962,,7.6767,8.0842,-2.556,,0.125,4
2013-04-27 00:05:00,0.1835,2.8477,122.8245,10.4116,,13.4713,9.301100000000002,0.005,,2.5764,,0.0134,,9.81,7.9968,,7.7554,8.1096,-2.6154,,0.1259,4
2013-04-27 00:06:00,0.1836,2.8368,122.8308,10.5031,,13.4713,9.3181,0.0054999999999999,,2.4966,,0.0129,,9.8283,7.971199999999999,,7.660199999999999,8.0571,-2.6154,,0.1254,4
2013-04-27 00:07:00,0.1837,2.8267,122.7989,10.3538,,13.4713,9.3331,0.0095999999999999,,2.7702,,0.0258999999999999,,9.8193,7.8366,,7.5255,7.8891,-2.7343,,0.1245,4
2013-04-27 00:08:00,0.1837999999999999,2.8455,122.8508,10.1842,,13.471,9.3463,0.0064,,2.6733,,0.0195999999999999,,9.8014,7.7099,,7.418,7.761,-2.7937,,0.1255999999999999,4
2013-04-27 00:09:00,0.1837999999999999,2.8587,122.9057,10.0798,,13.4708,9.3614,0.0027,,2.5137,,0.0043,,9.7804,7.5979,,7.3329,7.647599999999999,-2.9126,,0.1259,4
2013-04-27 00:10:00,0.1837,2.8404,122.9046,10.2046,,13.4705,9.3745,0.0054999999999999,,2.622,,0.0145,,9.778,7.6246,,7.388,7.689199999999999,-2.972,,0.125,4
2013-04-27 00:11:00,0.1837,2.8572,122.9107,10.1803,,13.4703,9.3915,0.0067999999999999,,2.622,,0.0155999999999999,,9.7793,7.643,,7.4008,7.746699999999999,-3.5069,,0.1260999999999999,4
2013-04-27 00:12:00,0.1836,2.8261,122.8987,10.6097,,13.4704,9.3915,0.0128,,2.5479,,0.0310999999999999,,9.8303,7.8028,,7.5748,7.9192,-3.4474,,0.1249,4
2013-04-27 00:13:00,0.1837,2.849,122.8839,10.6627,,13.4705,9.4047,0.0074999999999999,,2.7759,,0.0206,,9.8562,7.8735,,7.6314,8.026099999999998,-3.1502,,0.1254,4
2013-04-27 00:14:00,0.1836,2.8405,122.8738,10.6522,,13.4702,9.4141,0.0048999999999999,,2.4168,,0.0145,,9.8635,7.8857,,7.5797,8.027699999999998,-2.853,,0.1255999999999999,4
2013-04-27 00:15:00,0.1835,2.8417,122.8382,10.7432,,13.4701,9.4348,0.0041,,2.5764,,0.0080999999999999,,9.8863,7.922799999999999,,7.6828,8.0889,-2.4369,,0.1257,4
