measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,inverter_temp__256,inverter_temp__324,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_2__322,module_temp_3__255,module_temp_3__323,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__313,power_factor__327,system_id
2012-03-04 00:00:00,,0.1869,,3.12,,122.6488,,6.808,13.6627,5.5711,,-0.0008999999999999,,1.7955,,-0.0012999999999999,,6.0552,,4.2011,,4.1796,,4.3169,,,,,,-2.6751,0.1249,4
2012-03-04 00:01:00,,0.1867,,3.2276,,122.659,,6.8903,13.6627,5.5711,,0.0025,,2.1318,,0.0041999999999999,,6.1072,,4.3412,,4.2347,,4.4505,,,,,,-2.4968,0.1244,4
2012-03-04 00:02:00,,0.1869,,3.2491,,122.6522,,6.727,13.6632,5.5711,,0.0033999999999999,,1.9665,,0.0061,,6.1015,,4.3083,,4.1725,,4.4055,,,,,,-2.4373,0.1244,4
2012-03-04 00:03:00,,0.1867,,3.1846,,122.6676,,6.5229,13.6632,5.5711,,-0.0023,,2.166,,-0.0045999999999999,,6.0894,,4.3426,,4.1911,,4.3448,,,,,,-2.3184,0.1255,4
2012-03-04 00:04:00,,0.1862,,3.163,,122.6573,,6.5005,13.6604,5.5745,,0.0038999999999999,,1.9608,,0.007,,6.0856,,4.421,,4.2874,,4.4561,,,,,,-2.3779,0.1239,4
2012-03-04 00:05:00,,0.1870999999999999,,3.2276,,122.6642,,6.5983,13.6604,5.5914,,-0.0018,,2.0634,,-0.0055999999999999,,6.1125,,4.5852,,4.4259,,4.6016,,,,,,-2.4373,0.1247,4
2012-03-04 00:06:00,,0.186,,3.1846,,122.6761,,6.5042,13.6604,5.5933,,-0.0064,,1.9437,,-0.0132,,6.1152,,4.7185,,4.5228,,4.7049,,,,,,-2.4373,0.1247,4
2012-03-04 00:07:00,,0.1865,,3.2276,,122.6847,,6.6145,13.6604,5.614,,-0.0033999999999999,,1.8411,,-0.0086999999999999,,6.1209,,4.7407,,4.4928,,4.7028,,,,,,-2.4374,0.1247999999999999,4
2012-03-04 00:08:00,,0.1867,,3.2491,,122.6898,,6.5521,13.6604,5.614,,-0.0038999999999999,,1.9038,,-0.0091,,6.1202,,4.8678,,4.6864,,4.8671,,,,,,-2.259,0.1244,4
2012-03-04 00:09:00,,0.1869,,3.2276,,122.6761,,6.7674,13.6604,5.631,,-0.0005,,1.9608,,-0.0006999999999999,,6.1741,,4.9312,,4.6734,,4.8734,,,,,,-2.3779,0.1249,4
2012-03-04 00:10:00,,0.1869,,3.2276,,122.6984,,6.6902,13.6604,5.6383,,0.0033999999999999,,1.8468,,0.0054999999999999,,6.1665,,4.8907,,4.6458,,4.8043,,,,,,-2.3779,0.1249,4
2012-03-04 00:11:00,,0.1865,,3.2276,,122.6881,,6.6078,13.6604,5.6569,,0.0011,,2.1261,,0.002,,6.1801,,4.9415,,4.753,,4.8872,,,,,,-2.259,0.1244,4
2012-03-04 00:12:00,,0.1867,,3.1846,,122.6693,,6.5455,13.6604,5.6569,,-0.0064,,2.0292,,-0.0129999999999999,,6.1823,,5.0257,,4.8194,,4.9636,,,,,,-2.3185,0.1246,4
2012-03-04 00:13:00,,0.1865,,3.2061,,122.7274,,6.4554,13.6604,5.6758,,0.0047999999999999,,1.9437,,0.0088,,6.1683,,5.0139,,4.7404,,4.9061,,,,,,-2.3779,0.1254,4
2012-03-04 00:14:00,,0.1867,,3.2276,,122.8386,,6.527,13.6604,5.6829,,-0.0006999999999999,,1.8411,,-0.0011999999999999,,6.1669,,5.0946,,4.889,,5.061,,,,,,-2.4374,0.1257,4
2012-03-04 00:15:00,,0.1865,,3.2491,,122.8317,,6.5561,13.6604,5.6999,,0.0014,,1.9551,,0.0030999999999999,,6.1967,,5.1786,,4.9402,,5.1044,,,,,,-2.2591,0.1250999999999999,4
2012-03-04 00:16:00,,0.1862,,3.1846,,122.8505,,6.6231,13.6604,5.713,,0.0018,,1.8012,,0.0016999999999999,,6.2191,,5.2268,,5.0512,,5.1932,,,,,,-2.1402,0.125,4
