measured_on,ac_current__319,ac_current_a__3647,ac_current_b__3648,ac_current_c__3649,ac_power__315,ac_va__3652,ac_vars__3651,ac_voltage__318,ac_voltage_a-bn__3644,ac_voltage_a-n__3641,ac_voltage_b-c__3645,ac_voltage_b-n__3642,ac_voltage_c-a__3646,ac_voltage_c-n__3643,ac_w_total__3650,ambient_temp__320,ambient_temp__3603,das_battery_voltage__326,das_battery_voltage__3656,das_temp__325,das_temp__3657,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,frequency__3654,inv1_string1_dc_current__3614,inv1_string1_dc_voltage__3627,inv1_string2_dc_current__3615,inv1_string2_dc_voltage__3628,inv2_string1_dc_current__3616,inv2_string1_dc_voltage__3629,inv2_string2_dc_current__3617,inv2_string2_dc_voltage__3630,inv3_string1_dc_current__3618,inv3_string1_dc_voltage__3631,inv3_string2_dc_current__3619,inv3_string2_dc_voltage__3632,inv4_string1_dc_current__3620,inv4_string1_dc_voltage__3633,inv4_string2_dc_current__3621,inv4_string2_dc_voltage__3634,inv5_string1_dc_current__3622,inv5_string1_dc_voltage__3635,inv5_string2_dc_current__3623,inv5_string2_dc_voltage__3636,inv6_string1_dc_current__3624,inv6_string2_dc_current__3625,inv6_string2_dc_voltage__3638,inv7_string1_dc_current__3626,inv7_string1_dc_voltage__3639,inv7_string2_dc_voltage__3640,inverter_temp__324,licor1_irradiance__3605,licor2_irradiance__3606,licor3_irradiance__3607,licor4_irradiance__3608,licor5_irradiance__3609,module_temp_10__3668,module_temp_11__3669,module_temp_13__3670,module_temp_14__3671,module_temp_15__3672,module_temp_18__3675,module_temp_19__3676,module_temp_1__321,module_temp_1__3658,module_temp_2__322,module_temp_2__3659,module_temp_3__323,module_temp_3__3660,module_temp_4__3661,module_temp_5__3662,module_temp_6__3663,module_temp_7__3664,module_temp_8__3666,module_temp_9__3667,neutral_current__3655,poa_irradiance__313,poa_irradiance__3604,power_factor__327,power_factor__3653,referencemodule1_irradiance__3610,referencemodule1_temp__3611,referencemodule2_irradiance__3612,referencemodule2_temp__3613,system_id
2011-08-03 00:00:00,0.1885999999999999,,,,3.2887,,,122.7261,,,,,,,,18.7337,,13.314,,19.8112,,0.0246,1.5829,0.0383,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3323,,,,,,,,,,,,,17.1563,,17.3805,,17.5148,,,,,,,,,-3.5025,,0.1323,,,,,,4
2011-08-03 00:01:00,0.1889,,,,3.3962,,,122.8087,,,,,,,,18.7129,,13.3172,,19.7953,,0.0179999999999999,1.5601,0.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3109,,,,,,,,,,,,,17.1349,,17.3695,,17.4808,,,,,,,,,-3.3838,,0.1331,,,,,,4
2011-08-03 00:02:00,0.1884,,,,3.1167,,,122.8225,,,,,,,,18.6939,,13.3168,,19.784,,0.0138999999999999,1.5317,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.294,,,,,,,,,,,,,17.1116,,17.3455,,17.4318,,,,,,,,,-3.4432,,0.1323999999999999,,,,,,4
2011-08-03 00:03:00,0.1893,,,,3.2457,,,122.7683,,,,,,,,18.6616,,13.3168,,19.7637,,0.023,1.3779,0.0296,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.273,,,,,,,,,,,,,17.0605,,17.3167,,17.38,,,,,,,,,-3.4432,,0.133,,,,,,4
2011-08-03 00:04:00,0.1885999999999999,,,,3.1167,,,122.7582,,,,,,,,18.6639,,13.3172,,19.7569,,0.0221,1.452,0.0328999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2648,,,,,,,,,,,,,17.0614,,17.2814,,17.3865,,,,,,,,,-3.3244,,0.1327,,,,,,4
2011-08-03 00:05:00,0.1884,,,,3.2671,,,122.727,,,,,,,,18.6514,,13.3177,,19.7569,,0.02,1.6,0.0323999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2635,,,,,,,,,,,,,17.0322,,17.2376,,17.3385,,,,,,,,,-3.3244,,0.1328,,,,,,4
2011-08-03 00:06:00,0.1885999999999999,,,,3.2456,,,122.7084,,,,,,,,18.6556,,13.3177,,19.7569,,0.0198,1.395,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2628,,,,,,,,,,,,,17.0336,,17.2738,,17.3539,,,,,,,,,-3.3838,,0.1326,,,,,,4
2011-08-03 00:07:00,0.1889,,,,3.31,,,122.7087,,,,,,,,18.6342,,13.3172,,19.7341,,0.0187,1.5828,0.0297,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2386,,,,,,,,,,,,,17.0044,,17.2447,,17.3707,,,,,,,,,-3.3244,,0.1321,,,,,,4
2011-08-03 00:08:00,0.1885999999999999,,,,3.3101,,,122.7181,,,,,,,,18.6237,,13.3177,,19.7321,,0.0159,1.4975,0.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2261,,,,,,,,,,,,,17.0031,,17.2245,,17.3261,,,,,,,,,-3.3244,,0.1333999999999999,,,,,,4
2011-08-03 00:09:00,0.1890999999999999,,,,3.0521,,,122.6746,,,,,,,,18.5869,,13.3177,,19.7163,,0.0155,1.674,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2103,,,,,,,,,,,,,16.9781,,17.2051,,17.3054,,,,,,,,,-3.5618,,0.1322,,,,,,4
