measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,poa_irradiance__313,power_factor__327,system_id
2011-03-06 00:00:00,0.1857999999999999,3.2276,121.7339,4.7557,13.6895,4.7958,0.0074999999999999,1.596,0.0104,4.491,1.6026,1.3642,1.724,-3.504,0.1268,4
2011-03-06 00:01:00,0.1872999999999999,3.2706,121.751,4.7015,13.6896,4.7696,0.0057,1.6473,0.0077999999999999,4.4613,1.5002,1.3673,1.6374,-3.5644,0.1272,4
2011-03-06 00:02:00,0.1867,3.2706,121.751,4.7809,13.6907,4.747,-0.0006999999999999,1.6758,-0.0020999999999999,4.4394,1.4653,1.4811,1.5651,-3.3832,0.1272,4
2011-03-06 00:03:00,0.1869,3.2491,121.8109,4.692,13.6908,4.7199,-0.0028999999999999,1.6302,-0.0045999999999999,4.4137,1.4387,1.3712,1.5299,-3.2623,0.1272,4
2011-03-06 00:04:00,0.1869,3.2491,121.9032,4.6654,13.6934,4.6911,-0.0025,1.6131,-0.0041,4.3848,1.3422,1.2668,1.5419,-3.3832,0.1273,4
2011-03-06 00:05:00,0.1869,3.2706,121.8673,4.6962,13.6946,4.6702,0.0005,1.7043,-0.0016,4.3732,1.304,1.2285,1.3959,-3.0811,0.1274,4
2011-03-06 00:06:00,0.1867,3.2061,121.8331,4.6836,13.6954,4.6375,0.0032,1.767,0.0054999999999999,4.3447,1.2372,1.1819,1.4326,-3.1415,0.1273,4
2011-03-06 00:07:00,0.1875,3.2922,121.91,4.532,13.6969,4.6109,-0.005,1.5846,-0.0086999999999999,4.3075,1.2399,1.1357,1.3685,-3.3832,0.1267,4
2011-03-06 00:08:00,0.1865,3.2706,121.8536,4.5834,13.6969,4.5911,-0.0016,1.5903,-0.0032,4.2863,1.1914,1.1044,1.338,-3.3832,0.1270999999999999,4
2011-03-06 00:09:00,0.1877999999999999,3.3137,121.8126,4.6598,13.6969,4.5604,0.0035999999999999,1.5903,0.0085,4.2641,1.2166,1.1656,1.5068,-3.5645,0.1274,4
2011-03-06 00:10:00,0.1869,3.3137,121.7801,4.8555,13.6972,4.5305,0.0032,1.5105,0.006,4.2649,1.3618,1.328,1.6411,-3.5645,0.1277,4
