measured_on,ac_current__319,ac_current__3979,ac_current_a__3978,ac_power__315,ac_va__3982,ac_vars__3981,ac_volage_c-a__3977,ac_voltage__318,ac_voltage_a-n__3975,ac_voltage_c_n__3976,ac_w__3980,ambient_temp__320,ambient_temp__3969,das_batt_vdc__3986,das_battery_voltage__326,das_temp__325,dc_current__3973,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dc_power__3971,dc_voltage__3972,frequency__3984,inverter_temp__324,mod_temperature__3974,module_temp_1__321,module_temp_2__322,module_temp_3__323,neutral_current__3985,panel_temperatuer__3987,poa_irradiance__313,poa_irradiance__3970,power_factor__327,power_factor__3983,system_id
2012-07-12 00:00:00,0.1885999999999999,,,3.3531,,,,122.442,,,,21.3588,,,13.2792,21.2616,,0.0189,1.2526,0.025,,,,21.0205,,19.4165,19.6223,20.0538,,,-2.9681,,0.1335,,4
2012-07-12 00:01:00,0.1890999999999999,,,3.3961,,,,122.4309,,,,21.5913,,,13.2797,21.2322,,0.0207,1.116,0.0224999999999999,,,,21.0187,,19.4717,19.595,20.1213,,,-2.9681,,0.1335,,4
2012-07-12 00:02:00,0.1890999999999999,,,3.2027,,,,122.4415,,,,21.4539,,,13.2815,21.2164,,0.0166,1.1388,0.0194,,,,21.0209,,19.4711,19.575,20.0224,,,-2.79,,0.1341,,4
2012-07-12 00:03:00,0.1890999999999999,,,3.2457,,,,122.4405,,,,21.2019,,,13.2801,21.1916,,0.0221,1.1445,0.0253999999999999,,,,21.0098,,19.4676,19.5508,20.0251,,,-2.79,,0.1337,,4
2012-07-12 00:04:00,0.1895,,,3.2672,,,,122.4492,,,,21.0715,,,13.2838,21.178,,0.0148,1.1445,0.0179999999999999,,,,20.9997,,19.4422,19.5413,19.9783,,,-2.8494,,0.1343,,4
2012-07-12 00:05:00,0.1889,,,3.2887,,,,122.443,,,,20.9918,,,13.2833,21.1622,,0.0228,1.3039,0.031,,,,20.9804,,19.4305,19.5358,19.9763,,,-2.8494,,0.1337,,4
2012-07-12 00:06:00,0.1893,,,3.5036,,,,122.45,,,,20.873,,,13.2847,21.1373,,0.021,1.2413,0.0258,,,,20.9528,,19.3695,19.4749,19.8925,,,-2.9681,,0.1332,,4
2012-07-12 00:07:00,0.1890999999999999,,,3.2887,,,,122.4625,,,,20.8782,,,13.2842,21.1238,,0.0190999999999999,1.3267,0.0276,,,,20.9365,,19.3469,19.48,19.8935,,,-2.9681,,0.1343,,4
2012-07-12 00:08:00,0.1889,,,3.2242,,,,122.4301,,,,20.9716,,,13.2847,21.0989,,0.0182,1.3495,0.0252,,,,20.9172,,19.3234,19.4322,19.8769,,,-3.0275,,0.134,,4
2012-07-12 00:09:00,0.1890999999999999,,,3.2457,,,,122.4255,,,,21.1482,,,13.2842,21.0718,,0.0213999999999999,1.1673,0.0263,,,,20.9135,,19.33,19.4756,19.8884,,,-3.0868,,0.1338,,4
2012-07-12 00:10:00,0.1884,,,3.2672,,,,122.4648,,,,21.3392,,,13.2847,21.0696,,0.0164,1.1217,0.02,,,,20.9562,,19.3708,19.4456,19.9914,,,-2.9681,,0.1343999999999999,,4
2012-07-12 00:11:00,0.1890999999999999,,,3.3102,,,,122.4788,,,,21.335,,,13.2847,21.0424,,0.0205,1.0648,0.0241,,,,20.947,,19.3492,19.3776,19.9685,,,-3.0275,,0.1342,,4
2012-07-12 00:12:00,0.1884,,,3.4177,,,,122.484,,,,21.1435,,,13.2847,21.0198,,0.0273,1.1957,0.0333,,,,20.9258,,19.2759,19.339,19.8953,,,-3.3836,,0.1337,,4
2012-07-12 00:13:00,0.1895,,,3.3102,,,,122.5338,,,,20.8702,,,13.2861,21.0018,,0.023,1.2185,0.0298,,,,20.887,,19.1607,19.2287,19.7096,,,-3.2055,,0.1343,,4
2012-07-12 00:14:00,0.1889,,,3.1813,,,,122.5936,,,,20.7158,,,13.287,20.9837,,0.0257,1.1445,0.0302,,,,20.8392,,19.0739,19.2459,19.6353,,,-3.3243,,0.1336,,4
2012-07-12 00:15:00,0.1890999999999999,,,3.4392,,,,122.5426,,,,21.0869,,,13.2861,20.9611,,0.0205,1.1217,0.0235,,,,20.8277,,19.0678,19.2148,19.6778,,,-3.5617,,0.1345,,4
2012-07-12 00:16:00,0.1885999999999999,,,3.1168,,,,122.5273,,,,20.989,,,13.2875,20.9543,,0.0187,1.3267,0.0233,,,,20.8119,,18.9597,19.0437,19.4278,,,-3.443,,0.1332,,4
2012-07-12 00:17:00,0.1885999999999999,,,3.3747,,,,122.6094,,,,20.5163,,,13.2893,20.9317,,0.0178,1.0477,0.0185999999999999,,,,20.7561,,18.808,18.9475,19.2533,,,-3.7992,,0.1338,,4
2012-07-12 00:18:00,0.1889,,,3.2888,,,,122.6231,,,,20.412,,,13.2893,20.9069,,0.0253,1.1844,0.0293,,,,20.7008,,18.7712,18.8822,19.2193,,,-4.1554,,0.1342,,4
2012-07-12 00:19:00,0.1889,,,3.2888,,,,122.613,,,,20.5535,,,13.2879,20.8911,,0.0213999999999999,1.3096,0.0286,,,,20.6588,,18.7921,18.8788,19.1902,,,-3.9179,,0.1336,,4
2012-07-12 00:20:00,0.1893,,,3.5252,,,,122.5447,,,,20.4705,,,13.2902,20.8617,,0.0223,0.968,0.0208999999999999,,,,20.6169,,18.6883,18.7293,19.0394,,,-3.9179,,0.1336,,4
2012-07-12 00:21:00,0.1889,,,3.1813,,,,122.5465,,,,20.417,,,13.2902,20.8527,,0.0224999999999999,1.1844,0.0299999999999999,,,,20.5934,,18.6266,18.678,18.9957,,,-4.0366,,0.1332,,4
