measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__326,das_temp__1368,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,inverter_temp__256,inverter_temp__324,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_2__322,module_temp_3__255,module_temp_3__323,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__313,power_factor__327,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2011-03-12 00:00:00,,0.186,,3.2061,,122.7114,,5.1821,,,,13.6718,,4.9005,,-0.0091,,1.2825,,-0.0115,,,,,,4.7892,,1.7279,,2.01,,1.537,,,,,,-3.4434,0.1255999999999999,,,,4
2011-03-12 00:01:00,,0.1865,,3.2706,,122.8022,,5.1616,,,,13.6709,,4.8713,,0.003,,1.4706,,0.0064999999999999,,,,,,4.7601,,1.657,,1.8738,,1.4653,,,,,,-3.3226,0.1258,,,,4
2011-03-12 00:02:00,,0.1865,,3.2706,,122.7338,,5.1254,,,,13.6714,,4.8538,,0.0005,,1.7556,,0.0014,,,,,,4.7418,,1.564,,1.7679,,1.3643,,,,,,-3.383,0.1257,,,,4
2011-03-12 00:03:00,,0.1862,,3.2491,,122.7663,,5.086,,,,13.6723,,4.8216,,-0.0045999999999999,,1.5333,,-0.0067,,,,,,4.7096,,1.4375,,1.6565,,1.3089,,,,,,-3.5643,0.1267,,,,4
2011-03-12 00:04:00,,0.1875,,3.2706,,122.7493,,5.0187,,,,13.6732,,4.7901,,0.0018,,1.5732,,0.0035999999999999,,,,,,4.6653,,1.3606,,1.5675,,1.2356,,,,,,-3.8059,0.1260999999999999,,,,4
2011-03-12 00:05:00,,0.1870999999999999,,3.2491,,122.7647,,4.9814,,,,13.6746,,4.7679,,0.0023,,1.3908,,0.0032,,,,,,4.6395,,1.2657,,1.4618,,1.127,,,,,,-3.9871,0.1263,,,,4
2011-03-12 00:06:00,,0.1867,,3.2706,,122.8366,,4.9237,,,,13.6764,,4.7397,,0.0023,,1.4991,,0.0025999999999999,,,,,,4.6013,,1.1553,,1.3845,,1.0446,,,,,,-4.0475,0.1258,,,,4
2011-03-12 00:07:00,,0.1870999999999999,,3.2061,,122.7631,,4.9059,,,,13.6773,,4.7075,,0.0045999999999999,,1.7043,,0.0079,,,,,,4.5655,,1.1473,,1.3722,,1.0783,,,,,,-4.41,0.1263,,,,4
2011-03-12 00:08:00,,0.1862,,3.3567,,122.7392,,4.8942,,,,13.6778,,4.6821,,0.0008999999999999,,1.5162,,0.0023999999999999,,,,,,4.5387,,1.1145,,1.361,,0.9672,,,,,,-4.3496,0.1255999999999999,,,,4
2011-03-12 00:09:00,,0.1867,,3.2706,,122.6982,,4.8904,,,,13.6773,,4.6538,,-0.0071,,1.425,,-0.0091999999999999,,,,,,4.5154,,1.1508,,1.4152,,1.007,,,,,,-4.4704,0.1259,,,,4
2011-03-12 00:10:00,,0.1862,,3.3137,,122.7512,,4.9084,,,,13.6781,,4.6237,,-0.0054999999999999,,1.6302,,-0.0108,,,,,,4.4874,,1.1565,,1.3799,,1.002,,,,,,-4.41,0.1255999999999999,,,,4
2011-03-12 00:11:00,,0.1857999999999999,,3.12,,122.8076,,4.942,,,,13.6783,,4.5962,,-0.0045999999999999,,1.5561,,-0.0071999999999999,,,,,,4.4621,,1.2007,,1.4119,,1.0124,,,,,,-4.4704,0.1250999999999999,,,,4
2011-03-12 00:12:00,,0.1857999999999999,,3.163,,122.8504,,4.9798,,,,13.6785,,4.568,,0.0023,,1.4307,,0.0025999999999999,,,,,,4.4403,,1.2722,,1.4985,,1.0638,,,,,,-4.5309,0.1265,,,,4
2011-03-12 00:13:00,,0.1862,,3.2276,,122.7957,,4.9818,,,,13.6786,,4.5412,,0.0002,,1.4763,,0.0008,,,,,,4.4171,,1.2568,,1.5183,,1.0413,,,,,,-4.4705,0.1257,,,,4
2011-03-12 00:14:00,,0.1862,,3.2491,,122.7855,,5.0303,,,,13.6789,,4.5121,,0.0006999999999999,,1.3908,,-0.001,,,,,,4.3986,,1.3323,,1.5213,,1.1146,,,,,,-4.3497,0.126,,,,4
2011-03-12 00:15:00,,0.1855999999999999,,3.163,,122.8316,,5.0417,,,,13.6794,,4.484,,0.0025,,1.5504,,0.0064,,,,,,4.377,,1.4083,,1.6065,,1.1288,,,,,,-4.2893,0.1258,,,,4
2011-03-12 00:16:00,,0.1865,,3.2061,,122.871,,5.0751,,,,13.6796,,4.4556,,-0.0057,,1.3965,,-0.0083,,,,,,4.3657,,1.514,,1.7122,,1.1821,,,,,,-3.9872,0.1257,,,,4
2011-03-12 00:17:00,,0.1870999999999999,,3.163,,122.9069,,5.1553,,,,13.6792,,4.4317,,0.0054999999999999,,1.311,,0.0073,,,,,,4.3561,,1.5187,,1.6767,,1.1688,,,,,,-4.2893,0.1252999999999999,,,,4
2011-03-12 00:18:00,,0.1862,,3.2706,,122.9514,,5.1805,,,,13.6817,,4.4072,,-0.0027,,1.5675,,-0.0028999999999999,,,,,,4.3445,,1.5191,,1.6721,,1.1764,,,,,,-4.1685,0.1255999999999999,,,,4
2011-03-12 00:19:00,,0.1862,,3.1415,,122.9514,,5.1719,,,,13.6835,,4.3799,,-0.0023,,1.4136,,-0.0067,,,,,,4.32,,1.4385,,1.5685,,1.0879,,,,,,-4.0477,0.1259,,,,4
2011-03-12 00:20:00,,0.186,,3.1846,,122.9052,,5.1611,,,,13.6846,,4.3534,,-0.0016,,1.2597,,-0.0041999999999999,,,,,,4.2978,,1.4191,,1.6331,,1.1483,,,,,,-4.229,0.1254,,,,4
2011-03-12 00:21:00,,0.1862,,3.1846,,122.9343,,5.1656,,,,13.6841,,4.3319,,0.0005,,1.3794,,0.0020999999999999,,,,,,4.2842,,1.4162,,1.5936,,1.1209,,,,,,-3.9269,0.1255,,,,4
2011-03-12 00:22:00,,0.1857999999999999,,3.3352,,122.8556,,5.1863,,,,13.6856,,4.3067,,0.0016,,1.6473,,0.0025,,,,,,4.2639,,1.4836,,1.6523,,1.179,,,,,,-3.7457,0.126,,,,4
2011-03-12 00:23:00,,0.1870999999999999,,3.2922,,122.842,,5.2207,,,,13.6857,,4.2822,,0.0035999999999999,,1.4421,,0.0061,,,,,,4.2552,,1.4913,,1.6471,,1.1141,,,,,,-4.1082,0.1257,,,,4
2011-03-12 00:24:00,,0.186,,3.2276,,122.8676,,5.1819,,,,13.6861,,4.2562,,-0.0006999999999999,,1.425,,-0.0018,,,,,,4.2292,,1.384,,1.5327,,1.0219,,,,,,-3.927,0.1267,,,,4
2011-03-12 00:25:00,,0.1862,,3.12,,122.8676,,5.1118,,,,13.6862,,4.2393,,0.0002,,1.5675,,0.0012999999999999,,,,,,4.213,,1.2024,,1.4675,,0.8991,,,,,,-3.927,0.1258,,,,4
2011-03-12 00:26:00,,0.1854,,3.2061,,122.8471,,5.0263,,,,13.6869,,4.2133,,0.0038999999999999,,1.4421,,0.0054999999999999,,,,,,4.1784,,1.1088,,1.3516,,0.8507,,,,,,-3.927,0.1247,,,,4
2011-03-12 00:27:00,,0.186,,3.3352,,122.8317,,4.9666,,,,13.687,,4.1873,,0.0006999999999999,,1.2825,,0.0012999999999999,,,,,,4.1467,,1.0395,,1.2867,,0.7956999999999999,,,,,,-4.1687,0.1252,,,,4
2011-03-12 00:28:00,,0.1867,,3.3137,,122.8386,,4.8943,,,,13.6877,,4.1653,,0.0051999999999999,,1.4421,,0.007,,,,,,4.1218,,0.9626,,1.2178,,0.7296,,,,,,-4.2291,0.1255,,,,4
2011-03-12 00:29:00,,0.186,,3.163,,122.8317,,4.8348,,,,13.69,,4.1387,,0.0067999999999999,,1.5504,,0.0106,,,,,,4.086,,0.9007,,1.1976,,0.7130999999999998,,,,,,-4.4104,0.1263,,,,4
2011-03-12 00:30:00,,0.186,,3.2491,,122.7856,,4.8112,,,,13.6911,,4.1173,,0.0008999999999999,,1.4364,,0.0019,,,,,,4.0574,,0.8518999999999999,,1.1409,,0.639,,,,,,-4.35,0.1258,,,,4
2011-03-12 00:31:00,,0.186,,3.3352,,122.7326,,4.7369,,,,13.6926,,4.0883,,0.0008999999999999,,1.3965,,0.0019,,,,,,4.0241,,0.7709,,1.0887,,0.5968999999999999,,,,,,-4.4708,0.1255999999999999,,,,4
2011-03-12 00:32:00,,0.1869,,3.2706,,122.7445,,4.6562,,,,13.6922,,4.0743,,0.0035999999999999,,1.4022,,0.0038,,,,,,4.0058,,0.6339,,1.0042,,0.503,,,,,,-4.5312,0.1259,,,,4
2011-03-12 00:33:00,,0.1865,,3.2491,,122.8061,,4.5671,,,,13.6923,,4.0435,,-0.0032,,1.5219,,-0.0041,,,,,,3.9707,,0.5344999999999999,,0.9329,,0.4309,,,,,,-4.4104,0.1257,,,,4
2011-03-12 00:34:00,,0.1857999999999999,,3.2491,,122.8317,,4.4547,,,,13.6924,,4.0173,,-0.0023,,1.5789,,-0.0038,,,,,,3.9373,,0.4758,,0.8361,,0.4786,,,,,,-4.35,0.1259,,,,4
2011-03-12 00:35:00,,0.1854,,3.2706,,122.8591,,4.2601,,,,13.6929,,3.9953,,-0.0025,,1.5162,,-0.0071999999999999,,,,,,3.9082,,0.4824,,0.8111,,0.5342,,,,,,-4.1084,0.1260999999999999,,,,4
2011-03-12 00:36:00,,0.1865,,3.163,,122.8608,,4.0789,,,,13.6948,,3.9708,,0.0011,,1.5276,,0.0027,,,,,,3.8751,,0.5425999999999999,,0.8640999999999999,,0.6231999999999999,,,,,,-3.8667,0.1247,,,,4
2011-03-12 00:37:00,,0.1867,,3.2922,,122.842,,4.0057,,,,13.6962,,3.9473,,0.0,,1.4535,,-0.0001,,,,,,3.8365,,0.7432999999999998,,0.9669,,0.8489999999999999,,,,,,-3.7459,0.1247999999999999,,,,4
2011-03-12 00:38:00,,0.1862,,3.163,,122.8745,,4.043,,,,13.6985,,3.9241,,-0.0020999999999999,,1.4307,,-0.0038999999999999,,,,,,3.8213,,0.9422,,1.0205,,1.0083,,,,,,-3.6251,0.1258,,,,4
2011-03-12 00:39:00,,0.186,,3.3137,,122.8745,,4.0325,,,,13.6981,,3.9043,,0.0002,,1.2825,,0.002,,,,,,3.7979,,1.1222,,1.115,,1.2328,,,,,,-3.4439,0.1255999999999999,,,,4
2011-03-12 00:40:00,,0.1862,,3.2491,,122.8625,,4.2976,,,,13.6982,,3.8831,,0.0002,,1.5447,,-0.0027,,,,,,3.8074,,1.3207,,1.2158,,1.4751,,,,,,-3.3834,0.1260999999999999,,,,4
2011-03-12 00:41:00,,0.1865,,3.2491,,122.8557,,4.3407,,,,13.6987,,3.8665,,0.0047999999999999,,1.3509,,0.0057,,,,,,3.8051,,1.4814,,1.327,,1.6818,,,,,,-3.2626,0.1255,,,,4
2011-03-12 00:42:00,,0.1865,,3.2061,,122.8505,,4.4586,,,,13.7005,,3.842,,0.0011,,1.4763,,0.003,,,,,,3.8085,,1.6759,,1.3922,,1.8503,,,,,,-3.0814,0.1255999999999999,,,,4
2011-03-12 00:43:00,,0.1857999999999999,,3.2061,,122.8625,,4.6355,,,,13.702,,3.8269,,0.0016,,1.5675,,0.0023999999999999,,,,,,3.8342,,1.8697,,1.4985,,2.0433,,,,,,-2.9001,0.1258,,,,4
2011-03-12 00:44:00,,0.1867,,3.2276,,122.8694,,4.6318,,,,13.7033,,3.8117,,0.0014,,1.5048,,0.0023999999999999,,,,,,3.8476,,1.9541,,1.6182,,2.211,,,,,,-2.9001,0.1260999999999999,,,,4
2011-03-12 00:45:00,,0.1849,,3.1846,,122.8608,,4.4036,,,,13.7034,,3.7934,,0.0,,1.3338,,0.0004,,,,,,3.8286,,1.9695,,1.6458,,2.2888,,,,,,-2.598,0.126,,,,4
2011-03-12 00:46:00,,0.1865,,3.2491,,122.8676,,4.3631,,,,13.7035,,3.7823,,-0.003,,1.5846,,-0.004,,,,,,3.8361,,2.0789,,1.7093,,2.3651,,,,,,-2.7793,0.1260999999999999,,,,4
