measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,intsolirrad__16,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,module_temp_f__18,poa_irradiance__313,power_factor__327,wind_speed_mph__19,system_id
2012-07-17 00:00:00,0.1889,3.2889,122.9957,20.311,,13.3102,20.4483,0.0221,1.3268,0.0308,,20.2656,19.1018,19.0963,19.1961,,-2.5526,0.1322,,4
2012-07-17 00:01:00,0.1882,3.1814,123.0105,20.2708,,13.3111,20.4276,0.0247999999999999,1.1388,0.0302,,20.2344,19.0692,19.038,19.1628,,-2.612,0.1323999999999999,,4
2012-07-17 00:02:00,0.1887,3.2888,123.019,20.1517,,13.3093,20.4234,0.0198,1.2356,0.0256,,20.2033,18.9617,18.9256,19.0331,,-2.5526,0.132,,4
2012-07-17 00:03:00,0.1889,3.3748,123.0237,20.1057,,13.3125,20.4234,0.0213999999999999,1.2641,0.0261,,20.1791,18.9028,18.8979,19.0027,,-2.612,0.1317,,4
2012-07-17 00:04:00,0.1887,3.3533,123.009,20.1259,,13.3107,20.4234,0.0216,1.2072,0.0262,,20.1618,18.8674,18.8646,18.975,,-2.7307,0.1323,,4
2012-07-17 00:05:00,0.1884,3.1814,123.0207,20.1439,,13.3116,20.4211,0.0156999999999999,1.3325,0.0218999999999999,,20.1422,18.8422,18.8499,18.9588,,-2.612,0.1323999999999999,,4
2012-07-17 00:06:00,0.1893,3.2029,123.0069,20.2374,,13.3135,20.4053,0.02,1.2983,0.0257,,20.125,18.8666,18.9013,19.0005,,-2.7307,0.1315999999999999,,4
2012-07-17 00:07:00,0.1882,3.3319,123.0623,20.2959,,13.3139,20.3963,0.0257,1.378,0.0323999999999999,,20.1298,18.9027,18.9214,19.0088,,-2.612,0.1331,,4
2012-07-17 00:08:00,0.1889,3.3319,123.0478,20.2108,,13.3139,20.385,0.021,1.1218,0.0252,,20.1082,18.8379,18.8157,18.9337,,-2.5526,0.1332,,4
2012-07-17 00:09:00,0.1895,3.332,123.0588,20.2243,,13.3135,20.3692,0.0189,1.3268,0.027,,20.0916,18.8422,18.8547,18.9518,,-2.612,0.1313999999999999,,4
2012-07-17 00:10:00,0.188,3.289,123.0651,20.2835,,13.3144,20.3692,0.0216,1.2756,0.0270999999999999,,20.0972,18.8894,18.9081,19.0094,,-2.6714,0.1318999999999999,,4
2012-07-17 00:11:00,0.1882,3.203,123.0913,20.3606,,13.3135,20.3579,0.0194,1.2699,0.0261,,20.1025,18.9092,18.8974,19.0368,,-2.7307,0.1327,,4
2012-07-17 00:12:00,0.1884,3.5469,123.0925,20.3888,,13.3135,20.3443,0.0224999999999999,1.2186,0.0293999999999999,,20.1041,18.9151,18.9192,19.0545,,-2.3746,0.132,,4
2012-07-17 00:13:00,0.1882,3.3534,123.1226,20.3949,,13.3121,20.3421,0.0182,1.2072,0.0212,,20.1213,18.9683,19.0009,19.1077,,-2.3152,0.1318999999999999,,4
2012-07-17 00:14:00,0.1887,3.4824,123.1613,20.4074,,13.3135,20.3421,0.0231999999999999,1.1958,0.0276999999999999,,20.142,19.0328,19.037,19.1667,,-2.3746,0.1327,,4
2012-07-17 00:15:00,0.1887,3.1814,123.1796,20.3751,,13.3126,20.3376,0.0171,1.2072,0.0205,,20.15,19.0491,19.0248,19.1358,,-2.1965,0.1321,,4
2012-07-17 00:16:00,0.1889,3.2889,123.1365,20.3053,,13.3135,20.3172,0.0168999999999999,1.2869,0.0245,,20.1262,19.0065,18.9773,19.1223,,-2.1371,0.1325,,4
2012-07-17 00:17:00,0.1890999999999999,3.3104,123.1566,20.3406,,13.3135,20.315,0.0273,1.2812,0.0347,,20.1343,19.0715,19.0548,19.1977,,-2.2558,0.1325,,4
2012-07-17 00:18:00,0.1884,3.2459,123.1682,20.3267,,13.3135,20.315,0.02,1.2129,0.0241999999999999,,20.146,19.0944,19.0652,19.1859,,-2.1371,0.1326,,4
2012-07-17 00:19:00,0.1882,3.4823,123.1423,20.2452,,13.3126,20.315,0.0149999999999999,1.2869,0.0205,,20.1329,19.059,19.0209,19.1457,,-2.1965,0.1322,,4
2012-07-17 00:20:00,0.1884,3.3534,123.1431,20.3546,,13.314,20.315,0.0207,1.378,0.0273,,20.1481,19.1436,19.1679,19.2816,,-2.2558,0.1328,,4
2012-07-17 00:21:00,0.1889,3.3534,123.146,20.4249,,13.3126,20.315,0.023,1.4065,0.032,,20.182,19.2247,19.2164,19.319,,-2.0777,0.1326,,4
2012-07-17 00:22:00,0.1889,3.031,123.1041,20.3365,,13.3131,20.315,0.0178,1.2641,0.0253,,20.1862,19.2019,19.1818,19.2775,,-2.0184,0.1323,,4
2012-07-17 00:23:00,0.1887,3.3104,123.1191,20.2738,,13.3131,20.315,0.0216,1.304,0.0300999999999999,,20.1813,19.1714,19.1339,19.231,,-1.8997,0.1313,,4
2012-07-17 00:24:00,0.1889,3.3964,123.1678,20.2507,,13.314,20.3037,0.0213999999999999,1.4179,0.0307,,20.1583,19.1538,19.1178,19.2356,,-1.8403,0.1317,,4
2012-07-17 00:25:00,0.1890999999999999,3.2244,123.1574,20.3128,,13.3135,20.2879,0.0112,1.5147,0.0158,,20.1459,19.1553,19.147,19.2531,,-2.0184,0.1318,,4
2012-07-17 00:26:00,0.1884,3.3534,123.1483,20.356,,13.3144,20.2879,0.021,1.1446,0.0261,,20.1528,19.1796,19.1616,19.2552,,-1.8403,0.1321,,4
2012-07-17 00:27:00,0.1884,3.117,123.1762,20.3713,,13.3135,20.2879,0.023,1.1389,0.0273,,20.1563,19.2066,19.2108,19.2884,,-1.7215,0.1322,,4
2012-07-17 00:28:00,0.1882,3.203,123.1202,20.4556,,13.3126,20.2879,0.0189,1.2869,0.0224999999999999,,20.1798,19.2614,19.2552,19.337,,-1.8996,0.1313999999999999,,4
2012-07-17 00:29:00,0.1890999999999999,3.2459,123.1081,20.4458,,13.3131,20.2879,0.0172999999999999,1.2471,0.0219999999999999,,20.1951,19.2774,19.2898,19.3494,,-1.8403,0.1318,,4
2012-07-17 00:30:00,0.1889,3.3319,123.1155,20.528,,13.314,20.2879,0.0172999999999999,1.378,0.0246,,20.2151,19.3425,19.3342,19.4159,,-1.7215,0.1327,,4
2012-07-17 00:31:00,0.1884,3.4824,123.1735,20.5676,,13.3126,20.2879,0.0207,1.1047,0.0246,,20.2317,19.4007,19.3986,19.4873,,-1.6028,0.1325,,4
2012-07-17 00:32:00,0.1882,3.3749,123.1777,20.6525,,13.3135,20.2879,0.0218999999999999,1.4634,0.0345,,20.2601,19.4513,19.4347,19.5373,,-1.7215,0.1326,,4
2012-07-17 00:33:00,0.188,3.3319,123.1861,20.5565,,13.3131,20.2879,0.0223,1.4463,0.0318999999999999,,20.2622,19.4527,19.4236,19.5262,,-1.6028,0.1333,,4
