measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,inverter_temp__256,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_3__255,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,system_id
2010-04-25 00:00:00,,5.024,,0.0379999999999999,,122.668,,7.585,180.814,,0.005,,2.476,,0.014,,,7.554999999999999,,,,,,,,4
2010-04-25 00:01:00,,5.027,,0.005,,122.64,,7.589,182.766,,0.0089999999999999,,2.71,,0.024,,,7.434,,,,,,,,4
2010-04-25 00:02:00,,5.028,,-0.033,,122.573,,7.514999999999999,172.818,,0.006,,2.612,,0.016,,,7.304999999999999,,,,,,,,4
2010-04-25 00:03:00,,5.026,,0.0219999999999999,,122.628,,7.48,166.272,,0.006,,2.636,,0.016,,,7.199,,,,,,,,4
2010-04-25 00:04:00,,5.03,,0.0439999999999999,,122.647,,7.511,170.513,,0.007,,2.698,,0.02,,,7.114,,,,,,,,4
2010-04-25 00:05:00,,5.022,,0.0879999999999999,,122.611,,7.418,173.833,,0.006,,2.326,,0.014,,,7.01,,,,,,,,4
2010-04-25 00:06:00,,5.021,,-0.006,,122.545,,7.251,173.55,,0.005,,2.308,,0.012,,,6.95,,,,,,,,4
2010-04-25 00:07:00,,5.02,,0.0219999999999999,,122.505,,7.243,169.744,,0.006,,2.612,,0.014,,,6.976,,,,,,,,4
2010-04-25 00:08:00,,5.019,,-0.0439999999999999,,122.577,,7.164,169.714,,0.005,,2.398,,0.012,,,6.965,,,,,,,,4
2010-04-25 00:09:00,,5.024,,-0.094,,122.598,,7.06,165.009,,0.006,,2.414,,0.014,,,6.98,,,,,,,,4
2010-04-25 00:10:00,,5.023,,0.1809999999999999,,122.643,,7.089,166.864,,0.007,,2.572,,0.0179999999999999,,,6.94,,,,,,,,4
2010-04-25 00:11:00,,5.031,,0.0439999999999999,,122.587,,7.071,162.682,,0.007,,2.56,,0.0179999999999999,,,7.0,,,,,,,,4
2010-04-25 00:12:00,,5.021,,0.0379999999999999,,122.627,,7.173,157.203,,0.006,,2.414,,0.016,,,7.114,,,,,,,,4
2010-04-25 00:13:00,,5.023,,-0.0879999999999999,,122.606,,7.222,163.039,,0.007,,2.306,,0.016,,,7.008,,,,,,,,4
2010-04-25 00:14:00,,5.029,,0.0709999999999999,,122.728,,7.215,160.252,,0.005,,2.338,,0.012,,,7.007,,,,,,,,4
2010-04-25 00:15:00,,5.031,,0.027,,122.725,,7.503,166.262,,0.007,,2.194,,0.014,,,7.123,,,,,,,,4
2010-04-25 00:16:00,,5.02,,-0.039,,122.618,,7.42,169.34,,0.005,,2.536,,0.014,,,7.059,,,,,,,,4
2010-04-25 00:17:00,,5.026,,0.0769999999999999,,122.656,,7.221,172.758,,0.006,,2.59,,0.016,,,6.913,,,,,,,,4
2010-04-25 00:18:00,,5.026,,0.137,,122.67,,7.127,177.222,,0.005,,2.27,,0.012,,,6.916,,,,,,,,4
2010-04-25 00:19:00,,5.026,,0.154,,122.667,,7.245,178.727,,0.005,,2.74,,0.014,,,6.89,,,,,,,,4
2010-04-25 00:20:00,,5.029,,0.1809999999999999,,122.632,,7.271,173.59,,0.007,,2.408,,0.016,,,6.991,,,,,,,,4
2010-04-25 00:21:00,,5.023,,-0.006,,122.633,,7.079,157.591,,0.007,,2.512,,0.016,,,7.049,,,,,,,,4
