measured_on,ac_current__319,ac_current__633,ac_power__315,ac_power__629,ac_voltage__318,ac_voltage__632,ambient_temp__320,ambient_temp__634,das_battery_voltage__326,das_temp__325,das_temp__662,dc_current__631,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dc_power__628,dc_voltage__630,inv_temp__661,inverter_temp__324,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__321,module_temp_2__322,module_temp_3__323,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__313,power_factor__327,reflector_temp_1__638,system_id
2012-12-08 00:00:00,0.1824,,2.7355,,121.5106,,-2.1369,,13.7908,-2.1934,,,-0.008,1.7796,-0.0144,,,,-2.751,,,,,,,,,,,,,,,,,,,-4.2,-4.5108,-3.9716,,,,,,,,,-2.1419,0.1221,,4
2012-12-08 00:01:00,0.1825,,2.7378,,121.5033,,-2.1327,,13.7913,-2.2053,,,-0.0137,1.8309,-0.0244,,,,-2.7629,,,,,,,,,,,,,,,,,,,-4.2832,-4.6021,-4.0781,,,,,,,,,-2.5584,0.1226,,4
2012-12-08 00:02:00,0.1826,,2.7434,,121.4797,,-2.1597,,13.7913,-2.2053,,,-0.0112,1.9963,-0.0246,,,,-2.7578,,,,,,,,,,,,,,,,,,,-4.3051,-4.5883,-4.1094,,,,,,,,,-2.2014,0.1225,,4
2012-12-08 00:03:00,0.1825,,2.7352,,121.5082,,-2.2125,,13.7917,-2.226,,,-0.0121,1.8309,-0.0216,,,,-2.7749,,,,,,,,,,,,,,,,,,,-4.2714,-4.6033,-4.0829,,,,,,,,,-2.5584,0.1223999999999999,,4
2012-12-08 00:04:00,0.1826,,2.7333,,121.5244,,-1.9195,,13.7945,-2.2295,,,0.0005,1.7967,0.0038,,,,-2.7582,,,,,,,,,,,,,,,,,,,-4.184,-4.5566,-3.9832,,,,,,,,,-2.3204,0.1231,,4
2012-12-08 00:05:00,0.1826,,2.7408,,121.563,,-1.7219,,13.7926,-2.2482,,,-0.0083999999999999,1.9108,-0.0184999999999999,,,,-2.7616,,,,,,,,,,,,,,,,,,,-4.194,-4.5907,-3.9111,,,,,,,,,-2.2609,0.1227,,4
2012-12-08 00:06:00,0.1827,,2.7667,,121.5691,,-1.8661,,13.794,-2.2482,,,-0.0041,1.7568,-0.0058999999999999,,,,-2.7653,,,,,,,,,,,,,,,,,,,-4.2763,-4.6724,-4.0086,,,,,,,,,-2.6179,0.1234,,4
2012-12-08 00:07:00,0.1826,,2.7428,,121.5921,,-2.0188,,13.7954,-2.2632,,,-0.0091,1.7682,-0.0193,,,,-2.7855,,,,,,,,,,,,,,,,,,,-4.3744,-4.7247,-4.0688,,,,,,,,,-2.7369,0.1235,,4
2012-12-08 00:08:00,0.1827,,2.7255,,121.6048,,-1.9658,,13.7954,-2.2708,,,-0.0083999999999999,1.734,-0.0156999999999999,,,,-2.7952,,,,,,,,,,,,,,,,,,,-4.4343,-4.7314,-4.1243,,,,,,,,,-2.6774,0.1223,,4
2012-12-08 00:09:00,0.1827,,2.7532,,121.6173,,-1.9522,,13.7963,-2.2775,,,-0.0086999999999999,2.0363,-0.0175,,,,-2.8114,,,,,,,,,,,,,,,,,,,-4.5562,-4.8614,-4.3014,,,,,,,,,-2.142,0.1228,,4
