measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,control_module_voltage__1371,das_battery_voltage__1369,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,interior_temp__1366,module_temp_1__321,program_codeset__1373,resistor_box_3_temp__1370,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,vcm_above_threshold__1372,system_id
2010-05-24 00:29:00,5.048,-0.083,123.141,13.433,,,,,,,,,,,,,,,,,,,370.658,0.007,1.768,0.012,,,,,,,,14.792,,,,,,,,,,4
2010-05-24 00:30:00,5.049,0.0379999999999999,123.134,13.419,,,,,,,,,,,,,,,,,,,414.794,0.007,2.032,0.014,,,,,,,,14.758,,,,,,,,,,4
2010-05-24 00:31:00,5.049,0.104,123.151,13.272,,,,,,,,,,,,,,,,,,,414.643,0.008,1.816,0.014,,,,,,,,14.765,,,,,,,,,,4
2010-05-24 00:32:00,5.044,-0.033,123.158,13.151,,,,,,,,,,,,,,,,,,,364.224,0.007,1.96,0.014,,,,,,,,14.73,,,,,,,,,,4
2010-05-24 00:33:00,5.05,0.22,123.294,13.1,,,,,,,,,,,,,,,,,,,317.191,0.007,2.02,0.016,,,,,,,,14.744,,,,,,,,,,4
2010-05-24 00:34:00,5.051,0.2089999999999999,123.301,12.949,,,,,,,,,,,,,,,,,,,335.569,0.007,1.812,0.012,,,,,,,,14.754,,,,,,,,,,4
2010-05-24 00:35:00,5.053,0.115,123.26,12.915,,,,,,,,,,,,,,,,,,,351.413,0.007,1.828,0.012,,,,,,,,14.776,,,,,,,,,,4
2010-05-24 00:36:00,5.056,0.137,123.315,13.19,,,,,,,,,,,,,,,,,,,344.289,0.006,1.978,0.012,,,,,,,,14.823,,,,,,,,,,4
2010-05-24 00:37:00,5.06,-0.0879999999999999,123.304,13.368,,,,,,,,,,,,,,,,,,,378.991,0.008,1.954,0.016,,,,,,,,14.786,,,,,,,,,,4
2010-05-24 00:38:00,5.065,-0.055,123.365,13.318,,,,,,,,,,,,,,,,,,,368.423,0.006,1.882,0.012,,,,,,,,14.78,,,,,,,,,,4
2010-05-24 00:39:00,5.061,-0.2099999999999999,123.466,13.322,,,,,,,,,,,,,,,,,,,280.366,0.008,1.896,0.016,,,,,,,,14.784,,,,,,,,,,4
2010-05-24 00:40:00,5.061,-0.0609999999999999,123.425,13.36,,,,,,,,,,,,,,,,,,,285.4,0.005,1.93,0.008,,,,,,,,14.773,,,,,,,,,,4
2010-05-24 00:41:00,5.059,-0.017,123.362,13.364,,,,,,,,,,,,,,,,,,,333.317,0.008,1.684,0.014,,,,,,,,14.768,,,,,,,,,,4
2010-05-24 00:42:00,5.053,-0.116,123.359,13.375,,,,,,,,,,,,,,,,,,,361.887,0.008,1.98,0.016,,,,,,,,14.782,,,,,,,,,,4
2010-05-24 00:43:00,5.05,-0.099,123.347,13.32,,,,,,,,,,,,,,,,,,,390.047,0.008,2.01,0.016,,,,,,,,14.696,,,,,,,,,,4
2010-05-24 00:44:00,5.055,0.203,123.326,13.223,,-0.01683025,-0.06900401,0.06631117,0.1888353999999999,-0.1608971999999999,-0.1302661,0.652677,0.1844595,0.1033377,0.2265350999999999,-0.5102931,-0.3692556,-0.1975870999999999,-1.376044,,,,365.714,0.007,1.78,0.012,,,,24.22779,19.08486,19.03466,,14.591,,,0.09660562,0.1807569,0.2467313999999999,18.73337,18.75848,18.78359,,4
2010-05-24 00:45:00,5.058,0.016,123.308,13.162,,,,,,,,,,,,,,,,,,,356.689,0.007,1.864,0.014,,,,,,,,14.503,,,,,,,,,,4
2010-05-24 00:46:00,5.058,0.0879999999999999,123.294,13.125,,,,,,,,,,,,,,,,,,,352.471,0.007,2.022,0.014,,,,,,,,14.431,,,,,,,,,,4
2010-05-24 00:47:00,5.049,0.0109999999999999,123.295,13.032,,,,,,,,,,,,,,,,,,,317.319,0.007,1.866,0.014,,,,,,,,14.412,,,,,,,,,,4
2010-05-24 00:48:00,5.053,-0.171,123.301,12.992,,,,,,,,,,,,,,,,,,,334.93,0.007,1.822,0.012,,,,,,,,14.438,,,,,,,,,,4
2010-05-24 00:49:00,5.053,0.0,123.284,12.883,,,,,,,,,,,,,,,,,,,296.107,0.007,1.936,0.014,,,,,,,,14.414,,,,,,,,,,4
2010-05-24 00:50:00,5.057,0.0,123.342,12.758,,,,,,,,,,,,,,,,,,,315.689,0.008,1.83,0.014,,,,,,,,14.397,,,,,,,,,,4
2010-05-24 00:51:00,5.055,0.396,123.288,12.805,,,,,,,,,,,,,,,,,,,337.297,0.006,2.248,0.014,,,,,,,,14.423,,,,,,,,,,4
2010-05-24 00:52:00,5.049,-0.055,123.29,12.848,,,,,,,,,,,,,,,,,,,374.366,0.006,1.99,0.012,,,,,,,,14.427,,,,,,,,,,4
2010-05-24 00:53:00,5.05,-0.182,123.275,12.721,,,,,,,,,,,,,,,,,,,376.988,0.007,2.062,0.016,,,,,,,,14.437,,,,,,,,,,4
2010-05-24 00:54:00,5.05,0.049,123.253,12.663,,,,,,,,,,,,,,,,,,,395.833,0.01,1.87,0.0179999999999999,,,,,,,,14.453,,,,,,,,,,4
2010-05-24 00:55:00,5.048,0.17,123.302,12.59,,,,,,,,,,,,,,,,,,,381.882,0.006,1.914,0.012,,,,,,,,14.466,,,,,,,,,,4
2010-05-24 00:56:00,5.056,-0.27,123.322,12.813,,,,,,,,,,,,,,,,,,,366.422,0.007,1.89,0.014,,,,,,,,14.584,,,,,,,,,,4
2010-05-24 00:57:00,5.052,-0.05,123.346,13.072,,,,,,,,,,,,,,,,,,,352.657,0.008,1.708,0.012,,,,,,,,14.636,,,,,,,,,,4
2010-05-24 00:58:00,5.05,0.0,123.341,13.075,,,,,,,,,,,,,,,,,,,354.987,0.006,1.764,0.01,,,,,,,,14.576,,,,,,,,,,4
2010-05-24 00:59:00,5.053,-0.0219999999999999,123.266,13.083,,,,,,,,,,,,,,,,,,,356.877,0.007,1.756,0.012,,,,,,,,14.554,,,,,,,,,,4
2010-05-24 01:00:00,5.051,-0.1439999999999999,123.28,13.275,,,,,,,,,,,,,,,,,,,351.416,0.007,2.216,0.014,,,,,,,,14.535,,,,,,,,,,4
2010-05-24 01:01:00,5.05,0.104,123.267,13.406,,,,,,,,,,,,,,,,,,,370.157,0.007,2.11,0.014,,,,,,,,14.484,,,,,,,,,,4
2010-05-24 01:02:00,5.05,0.1429999999999999,123.278,13.421,,,,,,,,,,,,,,,,,,,360.184,0.006,1.938,0.012,,,,,,,,14.453,,,,,,,,,,4
2010-05-24 01:03:00,5.046,0.115,123.306,13.395,,,,,,,,,,,,,,,,,,,344.2,0.006,1.776,0.012,,,,,,,,14.425,,,,,,,,,,4
2010-05-24 01:04:00,5.05,-0.325,123.382,13.363,,,,,,,,,,,,,,,,,,,330.452,0.0089999999999999,2.128,0.0179999999999999,,,,,,,,14.441,,,,,,,,,,4
2010-05-24 01:05:00,5.054,0.159,123.379,13.357,,,,,,,,,,,,,,,,,,,309.323,0.0089999999999999,1.81,0.016,,,,,,,,14.477,,,,,,,,,,4
2010-05-24 01:06:00,5.051,0.099,123.398,13.28,,,,,,,,,,,,,,,,,,,314.198,0.0089999999999999,1.962,0.0179999999999999,,,,,,,,14.461,,,,,,,,,,4
2010-05-24 01:07:00,5.058,0.269,123.395,13.218,,,,,,,,,,,,,,,,,,,278.438,0.006,1.638,0.01,,,,,,,,14.445,,,,,,,,,,4
2010-05-24 01:08:00,5.058,0.0109999999999999,123.418,13.584,,,,,,,,,,,,,,,,,,,264.614,0.007,1.78,0.012,,,,,,,,14.579,,,,,,,,,,4
2010-05-24 01:09:00,5.053,0.016,123.347,14.118,,,,,,,,,,,,,,,,,,,318.763,0.006,1.84,0.012,,,,,,,,14.569,,,,,,,,,,4
2010-05-24 01:10:00,5.055,-0.2979999999999999,123.404,14.098,,,,,,,,,,,,,,,,,,,382.885,0.007,2.008,0.014,,,,,,,,14.318,,,,,,,,,,4
