measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,module_temp_1__321,system_id
2010-07-02 00:00:00,4.987,-0.133,122.105,21.258,138.003,0.008,1.528,0.012,23.882,4
2010-07-02 00:01:00,4.991,0.231,122.102,21.227,178.836,0.007,1.372,0.01,23.889,4
2010-07-02 00:02:00,4.995,0.154,122.14,21.213,225.081,0.008,1.546,0.014,23.888,4
2010-07-02 00:03:00,4.99,0.005,122.189,21.211,187.277,0.006,1.528,0.01,23.913,4
2010-07-02 00:04:00,4.99,0.066,122.115,21.221,154.161,0.0089999999999999,1.582,0.014,23.943,4
2010-07-02 00:05:00,4.986,-0.2979999999999999,122.167,21.299,141.158,0.007,1.464,0.01,23.951,4
2010-07-02 00:06:00,4.983,-0.11,122.147,21.302,157.797,0.007,1.434,0.01,23.928,4
2010-07-02 00:07:00,4.986,0.0219999999999999,122.189,21.347,170.741,0.008,1.678,0.014,23.89,4
2010-07-02 00:08:00,4.983,-0.171,122.174,21.391,208.394,0.006,1.548,0.01,23.864,4
2010-07-02 00:09:00,4.986,0.341,122.115,21.395,230.572,0.005,1.444,0.008,23.813,4
2010-07-02 00:10:00,4.985,0.066,122.199,21.374,302.544,0.007,1.47,0.01,23.769,4
2010-07-02 00:11:00,4.991,0.154,122.184,21.354,266.692,0.008,1.494,0.012,23.733,4
2010-07-02 00:12:00,4.986,0.2359999999999999,122.15,21.309,249.113,0.008,1.686,0.014,23.734,4
2010-07-02 00:13:00,4.995,-0.05,122.199,21.298,248.262,0.0089999999999999,1.494,0.014,23.729,4
2010-07-02 00:14:00,4.985,0.005,122.189,21.343,232.67,0.006,1.462,0.01,23.742,4
2010-07-02 00:15:00,4.982,0.126,122.16,21.378,218.149,0.008,1.468,0.01,23.758,4
2010-07-02 00:16:00,4.988,-0.188,122.217,21.462,206.994,0.008,1.63,0.012,23.776,4
2010-07-02 00:17:00,4.987,-0.248,122.197,21.571,234.34,0.005,1.672,0.008,23.82,4
2010-07-02 00:18:00,4.991,-0.1489999999999999,122.259,21.654,262.111,0.007,1.528,0.01,23.823,4
2010-07-02 00:19:00,4.985,0.033,122.255,21.744,273.478,0.007,1.584,0.012,23.904,4
2010-07-02 00:20:00,4.986,-0.0609999999999999,122.268,21.933,281.535,0.008,1.686,0.014,23.887,4
2010-07-02 00:21:00,4.994,0.0109999999999999,122.282,21.755,206.144,0.006,1.582,0.01,23.808,4
2010-07-02 00:22:00,4.989,0.066,122.299,21.589,208.052,0.006,1.47,0.008,23.822,4
2010-07-02 00:23:00,4.997,0.0929999999999999,122.381,21.515,217.589,0.008,1.488,0.012,23.838,4
2010-07-02 00:24:00,4.999,-0.138,122.316,21.42,217.714,0.008,1.56,0.012,23.865,4
2010-07-02 00:25:00,4.985,0.027,122.315,21.303,215.011,0.008,1.522,0.014,23.898,4
2010-07-02 00:26:00,4.992,-0.3579999999999999,122.264,21.253,192.862,0.006,1.608,0.008,23.916,4
2010-07-02 00:27:00,4.987,-0.221,122.236,21.275,266.938,0.006,1.368,0.008,23.932,4
2010-07-02 00:28:00,4.988,0.033,122.237,21.27,257.788,0.005,1.626,0.008,24.003,4
2010-07-02 00:29:00,4.991,-0.182,122.292,21.285,201.43,0.007,1.608,0.012,24.018,4
2010-07-02 00:30:00,4.994,0.0439999999999999,122.304,21.237,155.945,0.008,1.75,0.016,24.021,4
2010-07-02 00:31:00,4.99,0.0879999999999999,122.332,21.279,176.409,0.006,1.504,0.008,24.028,4
2010-07-02 00:32:00,4.99,0.192,122.298,21.399,149.711,0.006,1.528,0.01,24.044,4
2010-07-02 00:33:00,4.997,-0.2039999999999999,122.326,21.486,147.818,0.007,1.528,0.01,24.037,4
2010-07-02 00:34:00,5.0,0.0879999999999999,122.306,21.551,216.198,0.003,1.324,0.004,24.083,4
2010-07-02 00:35:00,4.996,0.033,122.299,21.664,200.643,0.006,1.644,0.01,24.145,4
2010-07-02 00:36:00,4.995,0.154,122.296,21.656,186.447,0.01,1.548,0.016,24.151,4
2010-07-02 00:37:00,4.996,-0.2099999999999999,122.276,21.592,197.485,0.01,1.774,0.0179999999999999,24.106,4
2010-07-02 00:38:00,4.99,-0.138,122.321,21.405,235.583,0.01,1.672,0.016,24.067,4
2010-07-02 00:39:00,4.994,0.225,122.335,21.328,216.856,0.007,1.408,0.01,24.08,4
2010-07-02 00:40:00,4.998,0.033,122.371,21.289,250.652,0.006,1.75,0.012,24.061,4
2010-07-02 00:41:00,4.997,0.0219999999999999,122.333,21.246,270.521,0.008,1.444,0.012,24.033,4
2010-07-02 00:42:00,4.992,-0.171,122.351,21.254,266.258,0.007,1.54,0.01,23.98,4
2010-07-02 00:43:00,4.995,-0.232,122.354,21.256,221.987,0.007,1.468,0.01,23.887,4
