measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,module_temp_1__321,system_id
2010-05-06 00:00:00,5.019,0.066,122.763,7.891,339.341,0.006,1.93,0.012,9.668,4
2010-05-06 00:01:00,5.012,0.0599999999999999,122.702,7.804999999999999,323.939,0.007,2.014,0.014,9.639,4
2010-05-06 00:02:00,5.009,0.016,122.633,7.706,310.789,0.007,1.924,0.014,9.647,4
2010-05-06 00:03:00,5.013,0.0709999999999999,122.654,7.625,324.289,0.005,2.064,0.01,9.604,4
2010-05-06 00:04:00,5.011,0.0379999999999999,122.621,7.513,328.988,0.007,1.98,0.014,9.572,4
2010-05-06 00:05:00,5.011,0.082,122.606,7.372,299.904,0.007,1.864,0.012,9.53,4
2010-05-06 00:06:00,5.014,0.033,122.68,7.258,328.302,0.007,2.076,0.016,9.513000000000002,4
2010-05-06 00:07:00,5.007,0.0109999999999999,122.672,7.168,330.081,0.008,1.824,0.014,9.468,4
2010-05-06 00:08:00,5.013,0.082,122.724,7.133,319.4,0.006,1.786,0.01,9.404000000000002,4
2010-05-06 00:09:00,5.013,0.132,122.691,7.37,297.9,0.008,1.92,0.014,9.368,4
2010-05-06 00:10:00,5.014,0.055,122.722,7.772,266.321,0.008,1.936,0.016,9.249,4
2010-05-06 00:11:00,5.016,0.11,122.728,7.973,264.824,0.007,1.786,0.012,9.108,4
2010-05-06 00:12:00,5.016,-0.055,122.722,7.703999999999998,297.739,0.007,1.692,0.01,9.022,4
2010-05-06 00:13:00,5.019,0.005,122.721,7.532,311.204,0.006,1.692,0.01,8.965999999999998,4
2010-05-06 00:14:00,5.015,0.0769999999999999,122.687,7.408,353.106,0.005,1.978,0.01,8.886,4
2010-05-06 00:15:00,5.017,0.1479999999999999,122.701,7.452,354.883,0.0089999999999999,1.734,0.014,8.9,4
2010-05-06 00:16:00,5.012,0.0439999999999999,122.694,7.381,339.986,0.007,1.908,0.014,8.897,4
2010-05-06 00:17:00,5.016,0.066,122.694,7.391,353.778,0.007,1.738,0.012,8.854,4
2010-05-06 00:18:00,5.016,-0.0219999999999999,122.683,7.423,342.424,0.008,1.8,0.014,8.807,4
2010-05-06 00:19:00,5.018,-0.006,122.751,7.474,367.153,0.008,1.81,0.014,8.763999999999998,4
2010-05-06 00:20:00,5.015,0.082,122.678,7.558,344.328,0.007,1.882,0.014,8.76,4
2010-05-06 00:21:00,5.013,0.0879999999999999,122.74,7.614,286.976,0.007,1.716,0.012,8.74,4
2010-05-06 00:22:00,5.023,0.082,122.756,7.713,296.647,0.007,1.822,0.014,8.750999999999998,4
2010-05-06 00:23:00,5.026,0.033,122.796,7.808,304.069,0.007,1.644,0.012,8.8,4
2010-05-06 00:24:00,5.02,0.0879999999999999,122.774,7.714,304.081,0.007,1.866,0.014,8.84,4
2010-05-06 00:25:00,5.017,0.005,122.767,7.809999999999999,278.264,0.006,1.8,0.012,8.875,4
