measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__326,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,poa_irradiance__313,power_factor__327,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2011-10-11 00:00:00,0.1864,3.1405,122.306,10.3314,,,,13.5526,,9.7055,0.0023,2.3875,0.0041,,,,,9.883,8.8358,8.6155,8.8677,-2.0796,0.1315999999999999,,,,4
2011-10-11 00:01:00,0.1865999999999999,3.334,122.3299,10.4757,,,,13.5517,,9.7055,0.0025,2.4501,0.0058999999999999,,,,,9.9014,8.9442,8.7338,9.0192,-2.139,0.132,,,,4
2011-10-11 00:02:00,0.1865999999999999,3.205,122.376,10.6176,,,,13.5517,,9.7281,0.0057,2.1311,0.0122,,,,,9.9608,9.0723,8.8273,9.1282,-2.0201,0.1321,,,,4
2011-10-11 00:03:00,0.187,3.2695,122.3265,10.4698,,,,13.553,,9.7338,0.0082,2.2678,0.0178999999999999,,,,,9.9615,9.061000000000002,8.8138,9.0893,-1.7825,0.1322,,,,4
2011-10-11 00:04:00,0.1867999999999999,3.2695,122.3675,10.495,,,,13.5514,,9.7469,0.0067999999999999,2.1823,0.0164,,,,,9.9753,9.0954,8.8567,9.1676,-1.9607,0.1322,,,,4
2011-10-11 00:05:00,0.1880999999999999,3.3125,122.3572,10.7077,,,,13.5512,,9.7507,0.0051999999999999,2.1709,0.0094999999999999,,,,,10.001,9.165,8.9632,9.2556,-1.7231,0.1315999999999999,,,,4
2011-10-11 00:06:00,0.187,3.2695,122.3709,10.796,,,,13.551,,9.7524,0.0061999999999999,2.188,0.0148,,,,,10.0169,9.1879,8.9358,9.2396,-1.6636,0.1313999999999999,,,,4
2011-10-11 00:07:00,0.1875,3.291,122.3743,10.7585,,,,13.5509,,9.771,0.01,2.1994,0.0213999999999999,,,,,10.0192,9.1287,8.917,9.1931,-1.6042,0.1323999999999999,,,,4
2011-10-11 00:08:00,0.1865999999999999,3.162,122.4205,10.5939,,,,13.5505,,9.7748,0.0115999999999999,2.3533,0.0264999999999999,,,,,10.011,9.0249,8.788299999999998,9.0397,-2.0201,0.1318,,,,4
2011-10-11 00:09:00,0.1857,3.2265,122.3931,10.3498,,,,13.5506,,9.7936,0.0033999999999999,2.1538,0.0080999999999999,,,,,9.993,8.8766,8.653399999999998,8.8978,-2.0795,0.1323999999999999,,,,4
