measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,intsolirrad__16,module_temp_1__321,module_temp_f__18,poa_irradiance__313,wind_speed_mph__19,system_id
2008-09-18 00:00:00,5.042,-0.095,120.999,16.216,,17.573,0.008,1.789,0.014,,16.067,,27.375,,4
2008-09-18 00:15:00,5.047,-0.0919999999999999,121.136,16.088,,17.348,0.008,1.765,0.0129999999999999,,16.095,,27.686,,4
2008-09-18 00:30:00,5.048,-0.0929999999999999,121.136,16.272,,17.249,0.007,1.775,0.0129999999999999,,16.13,,27.552,,4
2008-09-18 00:45:00,5.054,-0.0889999999999999,121.256,16.198,,17.244,0.007,1.876,0.014,,16.084,,27.564,,4
2008-09-18 01:00:00,5.054,-0.0919999999999999,121.256,16.493,,17.282,0.007,1.826,0.0129999999999999,,16.151,,27.619,,4
2008-09-18 01:15:00,5.059,-0.0899999999999999,121.347,16.495,,17.407,0.007,1.911,0.014,,16.226,,28.317,,4
2008-09-18 01:30:00,5.058,-0.0869999999999999,121.34,16.389,,17.478,0.007,1.949,0.014,,16.129,,27.452,,4
2008-09-18 01:45:00,5.049,-0.094,121.16,16.37,,17.472,0.008,1.977,0.0149999999999999,,16.063,,27.746,,4
2008-09-18 02:00:00,5.056,-0.094,121.277,16.273,,17.449,0.008,2.083,0.016,,16.04,,26.664,,4
2008-09-18 02:15:00,5.057,-0.0899999999999999,121.27,16.219,,17.381,0.008,2.267,0.017,,15.931,,26.773,,4
2008-09-18 02:30:00,5.059,-0.0919999999999999,121.33,16.143,,17.312,0.007,2.186,0.016,,15.81,,27.741,,4
2008-09-18 02:45:00,5.06,-0.0909999999999999,121.343,16.243,,17.236,0.008,2.081,0.016,,15.791,,27.547,,4
2008-09-18 03:00:00,5.059,-0.0929999999999999,121.329,16.1,,17.156,0.008,2.124,0.016,,15.597,,27.266,,4
2008-09-18 03:15:00,5.052,-0.094,121.195,15.716,,17.082,0.008,2.133,0.016,,14.99,,27.008,,4
2008-09-18 03:30:00,5.049,-0.095,121.119,14.991,,16.81,0.007,2.056,0.0149999999999999,,13.938,,25.682,,4
2008-09-18 03:45:00,5.051,-0.095,121.216,14.412,,16.34,0.007,2.118,0.0149999999999999,,13.682,,25.706,,4
2008-09-18 04:00:00,5.037,-0.095,120.923,13.75,,15.826,0.007,2.06,0.0149999999999999,,13.662,,25.897,,4
2008-09-18 04:15:00,5.024,-0.095,120.494,13.781,264.63,15.315,0.007,2.092,0.0149999999999999,0.02,13.613,54.36,26.429,0.4899999999999999,4
2008-09-18 04:30:00,5.053,-0.095,121.163,13.524,,15.012,0.007,1.982,0.0149999999999999,,13.176,,26.907,,4
2008-09-18 04:45:00,5.042,-0.095,120.942,13.231,,14.699,0.007,2.073,0.0149999999999999,,12.764,,27.289,,4
2008-09-18 05:00:00,5.01,-0.095,120.328,13.432,,14.45,0.007,2.115,0.0149999999999999,,12.32,,27.017,,4
2008-09-18 05:15:00,4.983,-0.095,119.877,13.788,,14.43,0.007,3.159,0.023,,12.548,,27.758,,4
2008-09-18 05:30:00,4.977,-0.095,119.73,13.93,,14.486,0.0089999999999999,8.809,0.078,,12.505,,28.417,,4
2008-09-18 05:45:00,4.982,-0.095,119.94,14.068,,14.614,0.02,34.314,0.771,,12.666,,31.862,,4
2008-09-18 06:00:00,5.269,-1.608,119.788,14.054,,14.772,0.058,159.029,9.111,,12.71,,48.562,,4
2008-09-18 06:15:00,5.114,9.07,119.669,14.408,,14.963,0.1409999999999999,156.211,22.034,,13.267,,87.286,,4
2008-09-18 06:30:00,5.068,42.788,120.594,14.963,,15.374,0.259,225.71,58.915,,14.479,,142.859,,4
2008-09-18 06:45:00,4.882,97.616,121.024,15.532,,16.068,0.435,270.475,118.096,,15.987,,203.104,,4
2008-09-18 07:00:00,4.839,157.212,121.753,16.114,,16.898,0.665,270.738,180.098,,17.877,,268.1,,4
2008-09-18 07:15:00,4.859,221.44,121.949,16.723,,17.869,0.906,273.445,247.685,,20.068,,334.401,,4
2008-09-18 07:30:00,4.974,285.709,122.104,17.321,,18.918,1.148,274.555,315.116,,22.526,,399.866,,4
2008-09-18 07:45:00,5.103,348.13,122.22,18.269,,19.935,1.409,270.609,381.099,,25.317,,464.934,,4
2008-09-18 08:00:00,5.252,407.537,122.32,19.103,,20.968,1.652,268.497,443.486,,28.304,,528.48,,4
2008-09-18 08:15:00,5.478,466.477,123.206,20.033,,21.989,1.909,264.828,505.32,,30.675,,592.922,,4
2008-09-18 08:30:00,5.722,520.875,123.376,20.468,,23.038,2.12,265.82,563.288,,33.162,,655.976,,4
