measured_on,ac_current__758,ac_power__752,ac_volts__757,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,system_id
2018-09-10 02:12:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:13:00,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:14:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:15:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:16:00,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,50
2018-09-10 02:17:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:18:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:19:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:20:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:21:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:22:00,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,50
2018-09-10 02:23:00,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,50
2018-09-10 02:24:00,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,50
2018-09-10 02:25:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:26:00,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,50
2018-09-10 02:27:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:28:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:29:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:30:00,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,50
