measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,system_id
2018-10-03 00:00:00,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,50
2018-10-03 00:01:00,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,50
2018-10-03 00:02:00,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-03 00:03:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:04:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:05:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:06:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:07:00,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,50
2018-10-03 00:08:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:09:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:10:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:11:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:12:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:13:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:14:00,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-03 00:15:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:16:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:17:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:18:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:19:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:20:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:21:00,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,,50
2018-10-03 00:22:00,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-03 00:23:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:24:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-10-03 00:25:00,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,50
2018-10-03 00:26:00,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,50
