measured_on,ac_current__758,ac_power_1__767,ac_power__752,ac_volts__757,das_battery_voltage__769,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_2__761,poa_irradiance__750,system_id
2018-10-12 00:44:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:45:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:46:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 00:47:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 00:48:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:49:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 00:50:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:51:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:52:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:53:00,0.0,,,0.0,,,,0.0,0.0,,,,,,50
2018-10-12 00:54:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 00:55:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 00:56:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:57:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 00:58:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 00:59:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:01:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:02:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:03:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:04:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:05:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:06:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:07:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:08:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:09:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:10:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:11:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:12:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:13:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:14:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:15:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:16:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:17:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:18:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1261.0,50
2018-10-12 01:19:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:20:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:21:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:22:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:23:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:24:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:25:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:26:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:27:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:28:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:29:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:30:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:31:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:32:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:33:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:34:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:35:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:36:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
