measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_1__760,module_temp_2__761,module_temp_3__762,system_id
2021-03-26 00:00:00,0.0,-2.5496,0.0,4.6316,0.0011199999999999,13.867,0.00479,0.23308,-0.0001399999999999,-0.0021199999999999,0.0,0.58662,0.0011199999999999,-3.1362,21.471,21.418,3.6816,50
2021-03-26 00:01:00,0.0,-2.5044,0.0,4.5656,0.0011199999999999,13.867,0.0049399999999999,0.22672,-0.00042,-0.0021199999999999,0.0,0.56406,0.0011199999999999,-3.0685,21.519,21.472,3.6388,50
2021-03-26 00:02:00,0.0,-2.5947,0.0,4.4917,0.0011,13.867,0.0049399999999999,0.22248,0.0,-0.0084799999999999,0.0,0.56406,0.0011,-3.1588,21.542,21.51,3.6271,50
2021-03-26 00:03:00,0.0,-2.5721,0.0,4.4154,0.00111,13.866,0.00508,0.21825,-0.00042,-0.0021199999999999,0.0,0.4963699999999999,0.00111,-3.0685,21.542,21.512,3.5956,50
2021-03-26 00:04:00,0.0,-2.5044,0.0,4.3747,0.0010499999999999,13.867,0.0049399999999999,0.21189,-0.0002799999999999,0.0,0.0,0.51893,0.0010499999999999,-3.0234,21.533,21.507,3.5697,50
2021-03-26 00:05:00,0.0,-2.527,0.0,4.3697,0.00103,13.866,0.00508,0.20341,-0.0001399999999999,-0.00636,0.0,0.58662,0.0010399999999999,-3.1136,21.525,21.517,3.5763,50
2021-03-26 00:06:00,0.0,-2.4819,0.0,4.3794,0.0010499999999999,13.866,0.00508,0.20765,0.0,-0.0021199999999999,0.0,0.56406,0.0010499999999999,-3.0459,21.47,21.495,3.552,50
2021-03-26 00:07:00,0.0,-2.527,0.0,4.3782,0.0011199999999999,13.866,0.00508,0.22037,-0.0001399999999999,0.0,0.0,0.58662,0.0011199999999999,-3.1136,21.42,21.433,3.5347,50
2021-03-26 00:08:00,0.0,-2.5721,0.0,4.409,0.0011,13.865,0.00508,0.2161299999999999,0.0,-0.0042399999999999,0.0,0.56406,0.0011,-3.1362,21.366,21.342,3.5226,50
2021-03-26 00:09:00,0.0,-2.4368,0.0,4.426,0.00103,13.865,0.00479,0.21401,0.0,-0.00636,0.0,0.56406,0.00103,-3.0008,21.325,21.292,3.5087,50
2021-03-26 00:10:00,0.0,-2.5947,0.0,4.4604,0.001,13.865,0.0049399999999999,0.20341,-0.00042,-0.0042399999999999,0.0,0.56406,0.00101,-3.1588,21.331,21.291,3.4812,50
2021-03-26 00:11:00,0.0,-2.527,0.0,4.4922,0.0009799999999999,13.865,0.0049399999999999,0.19918,-0.00042,-0.0021199999999999,0.0,0.56406,0.0009799999999999,-3.0911,21.394,21.353,3.4438,50
2021-03-26 00:12:00,0.0,-2.5721,0.0,4.4977,0.0008999999999999,13.865,0.0046499999999999,0.19494,-0.0001399999999999,-0.0042399999999999,0.0,0.6768699999999999,0.0008999999999999,-3.249,21.495,21.459,3.4455,50
2021-03-26 00:13:00,0.0,-2.6173,0.0,4.5017,0.0008899999999999,13.865,0.00479,0.1864599999999999,0.0,-0.0042399999999999,0.0,0.65431,0.0008899999999999,-3.2716,21.563,21.521,3.4396,50
2021-03-26 00:14:00,0.0,-2.6173,0.0,4.5033,0.0008599999999999,13.865,0.00479,0.1801099999999999,-0.0001399999999999,0.0,0.0,0.63175,0.0008599999999999,-3.249,21.583,21.535,3.4103,50
2021-03-26 00:15:00,0.0,-2.4368,0.0,4.4833,0.00088,13.864,0.0049399999999999,0.17799,0.0001399999999999,-0.0021199999999999,0.0,0.51893,0.00088,-2.9557,21.591,21.563,3.393,50
2021-03-26 00:16:00,0.0,-2.6173,0.0,4.4756,0.0008099999999999,13.864,0.00508,0.15892,-0.0008499999999999,0.0021199999999999,0.0,0.5414999999999999,0.0008099999999999,-3.1588,21.606,21.588,3.4084,50
