measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2001-06-07 00:00:00,5.4632,-12.85,123.62,16.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.244,25.711,14.408,8.5233,14.256,30.715,50
2001-06-07 00:15:00,5.4689,-17.608,123.71,15.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.905,25.316,14.042,9.3818,13.844,30.519,50
2001-06-07 00:30:00,5.4822,-16.012,123.87,15.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.636,24.964,13.589,12.631,13.461,30.161,50
2001-06-07 00:45:00,5.4919,-18.931,124.04,15.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.457,24.635,13.163,12.439,13.414,29.396,50
2001-06-07 01:00:00,5.4977,-17.211,124.11,15.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.152,24.324,13.221,12.108,13.305,29.441,50
2001-06-07 01:15:00,5.5003,-15.094,124.2,15.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.921,24.031,13.207,12.533,13.38,29.615,50
2001-06-07 01:30:00,5.4733,-16.589,123.51,15.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.687,23.757,13.424,12.88,13.46,30.166,50
2001-06-07 01:45:00,5.4766,-22.388,123.52,15.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.543,23.535,14.159,13.578,13.914,30.485,50
2001-06-07 02:00:00,5.4764,-20.213,123.48,15.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.382,23.335,14.383,14.199,14.378,30.509,50
2001-06-07 02:15:00,5.4789,-17.035,123.51,15.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.217,23.105,14.379,14.292,14.359,30.207,50
2001-06-07 02:30:00,5.4828,-19.134,123.57,15.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.974,22.846,13.956,13.676,13.966,29.187,50
2001-06-07 02:45:00,5.4875,-18.31,123.65,14.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.816,22.67,12.701,12.505,12.711,27.714,50
2001-06-07 03:00:00,5.4881,-15.454,123.68,13.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.648,22.437,11.847,11.643,11.954,27.327,50
2001-06-07 03:15:00,5.4838,-18.236,123.49,13.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.274,22.064,11.557,11.557,11.557,27.11,50
2001-06-07 03:30:00,5.4743,-16.709,123.26,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.123,21.873,10.99,10.928,10.93,25.017,50
2001-06-07 03:45:00,5.4751,-19.092,123.23,12.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.095,21.814,9.6708,7.6411,9.710400000000002,24.261,50
2001-06-07 04:00:00,5.4787,-24.26,123.27,12.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.988,21.627,10.046,9.7958,9.9547,25.47,50
2001-06-07 04:15:00,5.4768,-19.179,123.26,12.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.688,21.327,10.335,10.21,10.346,25.778,50
2001-06-07 04:30:00,5.4852,-20.545,123.42,12.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.415,21.076,10.569,9.7176,10.569,27.492,50
