measured_on,ac_current__758,ac_meter_1_power_kw__1017,ac_meter_2_power_kw__1018,ac_power_1__767,ac_power_2__768,ac_power__752,ac_power_metered_1_2__1133,ac_power_metered_kw__1016,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__1132,dc_power__751,inv1_ac_power_kw__1019,inv1_dc_current__1021,inv1_dc_power__1130,inv1_dc_voltage__1020,inv1_temp__1022,inv2_ac_power_kw__1023,inv2_dc_current__1025,inv2_dc_power__1131,inv2_dc_voltage__1024,inv2_temp__1026,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2013-04-16 00:00:00,0.0,,,0.4062,-0.0451,0.3610999999999999,,,0.0,-4.5921,13.898,20.21,0.0086999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.326,20.206,-99999.0,0.0504,50
2013-04-16 00:01:00,0.0,,,0.3159,-0.2707999999999999,0.0451,,,0.0,-4.5659,13.897,20.209,0.0089999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.349,20.274,-99999.0,0.1007,50
2013-04-16 00:02:00,0.0,,,0.3610999999999999,-0.2482,0.1128,,,0.0,-4.5599,13.901,20.214,0.0086999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.259,20.146,-99999.0,0.0335999999999999,50
2013-04-16 00:03:00,0.0,,,0.4738999999999999,-0.1128,0.3610999999999999,,,0.0,-4.581,13.899,20.217,0.0077999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.146,20.004,-99999.0,0.0504,50
2013-04-16 00:04:00,0.0,,,0.3836,-0.0676999999999999,0.3159,,,0.0,-4.5815,13.9,20.213,0.0086,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.124,19.946,-99999.0,0.0671,50
2013-04-16 00:05:00,0.0,,,0.3836,-0.2482,0.1353999999999999,,,0.0,-4.5662,13.9,20.218,0.0092999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.144,19.972,-99999.0,0.0839,50
2013-04-16 00:06:00,0.0,,,0.3836,-0.0676999999999999,0.3159,,,0.0,-4.5598,13.9,20.218,0.0086999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.177,20.002,-99999.0,0.1007,50
2013-04-16 00:07:00,0.0,,,0.3610999999999999,-0.4738999999999999,-0.1128,,,0.0,-4.5601,13.9,20.218,0.0083,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.239,20.026,-99999.0,0.0839,50
2013-04-16 00:08:00,0.0,,,0.3836,-0.0903,0.2933999999999999,,,0.0,-4.5634,13.901,20.218,0.0086999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.258,20.062,-99999.0,0.0839,50
2013-04-16 00:09:00,0.0,,,0.4062,-0.0676999999999999,0.3385,,,0.0,-4.5708,13.9,20.218,0.0086999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.333,20.188,-99999.0,0.0504,50
