measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_1__760,module_temp_2__761,module_temp_3__762,system_id
2020-09-11 00:00:00,0.0,-2.863,0.0,7.5853,0.0,13.779,0.0021099999999999,0.0021199999999999,0.0,-0.0126999999999999,0.0,0.24798,0.0,-3.111,24.083,23.883,5.1389,50
2020-09-11 00:01:00,0.0,-2.9982,0.0,7.412099999999999,0.0,13.779,0.00183,-0.00423,0.0,0.00423,0.0,0.3155999999999999,0.0,-3.3137,24.089,23.883,5.0938,50
2020-09-11 00:02:00,0.0,-2.66,0.0,7.282899999999999,0.0,13.779,0.00169,-0.0021199999999999,0.0,-0.00423,0.0,0.3155999999999999,0.0,-2.9756,24.085,23.874,5.0345,50
2020-09-11 00:03:00,0.0,-2.9757,0.0,7.2823,0.0,13.781,0.00197,0.0021199999999999,0.0,0.0063499999999999,0.0,0.33814,0.0,-3.3138,24.071,23.851,4.9899,50
2020-09-11 00:04:00,0.0,-2.9306,0.0,7.255899999999999,0.0,13.779,0.00183,-0.00423,0.0,-0.0021199999999999,0.0,0.2930599999999999,0.0,-3.2237,24.056,23.828,4.9578,50
2020-09-11 00:05:00,0.0,-2.9531,0.0,7.251699999999999,0.0,13.78,0.00183,0.0021199999999999,0.0,-0.00423,0.0,0.31561,0.0,-3.2687,24.037,23.799,4.9005,50
2020-09-11 00:06:00,0.0,-3.0658,0.0,7.2245,0.0,13.78,0.00254,-0.0021199999999999,0.0,-0.00423,0.0,0.2705199999999999,0.0,-3.3362,24.038,23.798,4.8674,50
2020-09-11 00:07:00,0.0,-2.863,0.0,7.1713,0.0,13.78,0.0022499999999999,-0.0021199999999999,0.0,-0.00423,0.0,0.36069,0.0,-3.2237,24.045,23.808,4.8317,50
2020-09-11 00:08:00,0.0,-2.8179,0.0,7.1297,0.0,13.78,0.00183,0.0,0.0,0.00847,0.0,0.31561,0.0,-3.1335,24.048,23.809,4.8396,50
2020-09-11 00:09:00,0.0,-2.7728,0.0,7.0926,-1e-05,13.78,0.00169,-0.0063499999999999,0.0,0.00423,0.0,0.2930599999999999,-1e-05,-3.0659,24.041,23.804,4.8613,50
2020-09-11 00:10:00,0.0,-2.8405,0.0,7.0824,0.0,13.781,0.00183,-0.0021199999999999,0.0,0.0,0.0,0.3155999999999999,0.0,-3.1561,24.04,23.808,4.8821,50
2020-09-11 00:11:00,0.0,-2.9757,0.0,7.0913,-2e-05,13.78,0.0021099999999999,-0.01059,0.0,-0.0063499999999999,0.0,0.2930599999999999,-2e-05,-3.2688,24.043,23.809,4.9535,50
2020-09-11 00:12:00,0.0,-3.2688,0.0,7.0878,0.0,13.78,0.00338,0.0,0.0,-0.00423,0.0,0.33815,0.0,-3.6069,24.044,23.794,5.0157,50
2020-09-11 00:13:00,0.0,-2.9081,0.0,7.0493,0.0,13.781,0.00197,-0.0021199999999999,0.0,0.00423,0.0,0.31561,0.0,-3.2237,24.028,23.773,5.0211,50
