measured_on,ac_current__427,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__423,ac_power__752,ac_voltage__426,ac_volts__757,ambient_temp__428,ambient_temp__759,das_battery_voltage__434,das_battery_voltage__769,das_temp__433,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__425,dc_pos_current__754,dc_pos_voltage__424,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__422,dc_power__751,inverter_temp_2__770,inverter_temp__432,inveter_temp__763,module_temp_1__429,module_temp_1__760,module_temp_2__430,module_temp_2__761,module_temp_3__431,module_temp_3__762,poa_irradiance__421,poa_irradiance__750,system_id
2012-05-12 00:00:00,,0.0,0.3163,-0.7003,,-0.384,,0.0,,4.4678,,14.032,,15.809,0.0114,0.270828,,0.0,,-0.0020999999999999,0.0,0.0030874392,,0.0030874392,0.0,,-99999.0,,15.547,,15.16,,4.3445,,0.084,50
2012-05-12 00:01:00,,0.0,0.5196,-0.2937,,0.2258999999999999,,0.0,,4.4428,,14.028,,15.805,0.0112,0.255782,,0.0,,0.0020999999999999,0.0,0.0028647583999999,,0.0028647583999999,0.0,,-99999.0,,15.545,,15.141,,4.43,,0.0,50
2012-05-12 00:02:00,,0.0,0.4743999999999999,0.0903999999999999,,0.5646999999999999,,0.0,,4.4284,,14.033,,15.805,0.0119,0.270828,,0.0,,-0.0020999999999999,0.0,0.0032228532,,0.0032228532,0.0,,-99999.0,,15.546,,15.146,,4.4827,,0.0,50
2012-05-12 00:03:00,,0.0,0.4292,-0.384,,0.0451999999999999,,0.0,,4.6709,,14.032,,15.805,0.0114,0.255782,,0.0,,0.0064,0.0,0.0029159148,,0.0029159148,0.0,,-99999.0,,15.545,,15.16,,4.4752,,0.084,50
2012-05-12 00:04:00,,0.0,0.5196,-0.2258999999999999,,0.2937,,0.0,,4.4967,,14.033,,15.805,0.0112,0.255782,,0.0,,-0.0020999999999999,0.0,0.0028647583999999,,0.0028647583999999,0.0,,-99999.0,,15.543,,15.155,,4.4541,,0.1008,50
2012-05-12 00:05:00,,0.0,0.4743999999999999,-0.4517999999999999,,0.0225999999999999,,0.0,,4.2755,,14.032,,15.797,0.0103,0.255782,,0.0,,-0.0041999999999999,0.0,0.0026345546,,0.0026345546,0.0,,-99999.0,,15.536,,15.117,,4.4026,,0.0,50
2012-05-12 00:06:00,,0.0,0.5196,0.2711,,0.7905999999999999,,0.0,,4.2772,,14.033,,15.793,0.0114,0.255782,,0.0,,0.0,0.0,0.0029159148,,0.0029159148,0.0,,-99999.0,,15.522,,15.093,,4.4305,,0.0335999999999999,50
2012-05-12 00:07:00,,0.0,0.3163,-0.7455,,-0.4292,,0.0,,4.3936,,14.032,,15.793,0.0114,0.270828,,0.0,,0.0,0.0,0.0030874392,,0.0030874392,0.0,,-99999.0,,15.514,,15.056,,4.4418,,0.0,50
2012-05-12 00:08:00,,0.0,0.5421,-0.0451999999999999,,0.497,,0.0,,4.6504,,14.032,,15.793,0.0109,0.270828,,0.0,,0.0,0.0,0.0029520252,,0.0029520252,0.0,,-99999.0,,15.52,,15.068,,4.4339,,0.1176,50
2012-05-12 00:09:00,,0.0,0.4517999999999999,0.113,,0.5646999999999999,,0.0,,4.5609,,14.033,,15.786,0.0112999999999999,0.255782,,0.0,,0.0020999999999999,0.0,0.0028903366,,0.0028903366,0.0,,-99999.0,,15.535,,15.097,,4.419,,0.1176,50
