measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_1__760,module_temp_2__761,system_id
2018-12-14 00:54:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 00:55:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 00:56:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 00:57:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 00:58:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 00:59:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:00:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,20.0,,50
2018-12-14 01:01:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:02:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:03:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:04:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:05:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:06:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:07:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:08:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:09:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:10:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:11:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:12:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:13:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:14:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:15:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:16:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:17:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:18:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:19:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:20:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:21:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:22:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:23:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:24:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:25:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:26:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:27:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:28:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:29:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:30:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:31:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:32:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:33:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:34:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:35:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:36:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:37:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:38:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-12-14 01:39:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:40:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
