measured_on,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2004-10-18 00:00:00,5.183,0.0,0.0,-14.479,114.688,6.494,0.005,159.427,0.0,159.197,0.0,0.7971399999999998,0.8409999999999999,17.415,17.782,16.783,0.0,0.0,-6.022,50
2004-10-18 00:15:00,5.188,0.0,0.0,-14.467,114.779,6.946,0.005,159.559,0.0,159.331,0.0,0.7978,0.969,17.164,17.579,16.721,0.0,0.0,-5.404,50
2004-10-18 00:30:00,5.19,0.0,0.0,-14.477,114.808,6.771,0.005,159.588,0.0,159.353,0.0,0.7979399999999999,0.972,16.99,17.405,16.744,0.0,0.0,-6.217,50
2004-10-18 00:45:00,5.189,0.0,0.0,-14.481,114.761,6.517,0.006,159.502,0.0,159.27,0.0,0.95701,1.009,16.892,17.244,16.495,0.0,0.0,-6.241,50
2004-10-18 01:00:00,5.194,0.0,0.0,-14.426,114.826,6.56,0.006,159.571,0.0,159.335,0.0,0.95743,1.016,16.774,17.074,16.255,0.0,0.0,-5.76,50
2004-10-18 01:15:00,5.195,0.0,0.0,-14.451,114.859,6.6,0.006,159.603,0.0,159.367,0.0,0.95762,1.023,16.639,16.942,16.141,0.0,0.0,-5.462,50
2004-10-18 01:30:00,5.197,0.0,0.0,-14.498,114.897,6.274,0.006,159.705,0.0,159.472,0.0,0.95823,1.021,16.486,16.784,16.015,0.0,0.0,-6.202,50
2004-10-18 01:45:00,5.197,0.0,0.0,-14.413,114.877,6.428,0.006,159.669,0.0,159.437,0.0,0.95801,1.03,16.393,16.667,15.898,0.0,0.0,-6.251,50
2004-10-18 02:00:00,5.2,0.0,0.0,-14.418,114.893,6.475,0.006,159.676,0.0,159.437,0.0,0.95806,1.046,16.303,16.555,15.835,0.0,0.0,-5.221,50
2004-10-18 02:15:00,5.202,0.0,0.0,-14.442,114.963,6.63,0.006,159.749,0.0,159.517,0.0,0.95849,1.059,16.187,16.459,15.798,0.0,0.0,-5.812,50
2004-10-18 02:30:00,5.206,0.0,0.0,-14.442,114.999,6.476,0.006,159.822,0.0,159.584,0.0,0.95893,1.096,16.06,16.374,15.894,0.0,0.0,-6.812,50
2004-10-18 02:45:00,5.205,0.0,0.0,-14.402,114.971,5.433,0.006,159.747,0.0,159.515,0.0,0.95848,1.114,16.009,16.238,15.669,0.0,0.0,-7.005,50
2004-10-18 03:00:00,5.204,0.0,0.0,-14.392,114.925,5.671,0.006,159.695,0.0,159.458,0.0,0.95817,1.115,15.898,16.144,15.457,0.0,0.0,-6.454,50
2004-10-18 03:15:00,5.192,0.0,0.0,-14.371,114.697,5.429,0.006,159.43,0.0,159.196,0.0,0.95658,1.104,15.805,16.029,15.368,0.0,0.0,-6.659,50
2004-10-18 03:30:00,5.184,0.0,0.0,-14.384,114.506,5.625,0.006,159.212,0.0,158.97,0.0,0.95527,1.118,15.717,15.924,15.221,0.0,0.0,-6.415,50
2004-10-18 03:45:00,5.179,0.0,0.0,-14.372,114.424,5.324,0.006,159.105,0.0,158.865,0.0,0.95463,1.129,15.605,15.822,15.105,0.0,0.0,-7.025,50
2004-10-18 04:00:00,5.175,0.0,0.0,-14.414,114.28,5.758,0.006,158.888,0.0,158.656,0.0,0.95333,1.136,15.51,15.726,15.024,0.0,0.0,-6.503,50
2004-10-18 04:15:00,5.168,0.0,0.0,-14.315,114.018,5.535,0.006,158.279,0.0,158.042,0.0,0.94967,1.129,15.449,15.651,14.935,0.0,0.0,-7.63,50
2004-10-18 04:30:00,5.153,0.0,0.0,-14.309,113.676,4.667,0.006,157.74,0.0,157.492,0.0,0.94644,1.128,15.346,15.551,14.809,0.0,0.0,-7.476,50
2004-10-18 04:45:00,5.148,0.0,0.0,-14.292,113.534,5.201,0.006,157.317,0.0,157.067,0.0,0.9439,1.131,15.25,15.441,14.735,0.0,0.0,-6.422,50
