measured_on,ac_current__251,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__247,ac_power__752,ac_voltage__250,ac_volts__757,ambient_temp__252,ambient_temp__759,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__769,das_temp__1368,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__249,dc_pos_current__754,dc_pos_voltage__248,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__246,dc_power__751,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,inverter_temp_2__770,inverter_temp__256,inveter_temp__763,module_temp_1__253,module_temp_1__760,module_temp_2__254,module_temp_2__761,module_temp_3__255,module_temp_3__762,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__750,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2012-12-20 00:00:00,,0.0,0.7928,0.7022,,1.4949,,0.0,,-5.3856,,,,14.369,,4.3358,0.0201999999999999,0.120368,,0.0,,0.0,0.0,0.0024314336,,0.0024314336,,,,,0.0,,19.572,,4.0538,,3.7824,,-1.9047,,,,,,-1.6173,,,,50
2012-12-20 00:01:00,,0.0,0.69,-0.1045,,0.5854,,0.0,,-5.4837,,,,14.368,,4.3439,0.0202999999999999,0.105322,,0.0,,0.0,0.0,0.0021380366,,0.0021380366,,,,,0.0,,-99999.0,,4.095,,3.8292,,-1.1097,,,,,,-1.8505,,,,50
2012-12-20 00:02:00,,0.0,0.5888999999999999,-0.2039,,0.3851,,0.0,,-5.5698,,,,14.369,,4.3464,0.0204,0.105322,,0.0,,0.0,0.0,0.0021485687999999,,0.0021485687999999,,,,,0.0,,-99999.0,,4.0882,,3.8219,,2.9168,,,,,,-1.9542,,,,50
2012-12-20 00:03:00,,0.0,0.8380999999999998,0.2492,,1.0872,,0.0,,-5.6621,,,,14.369,,4.3534,0.0201999999999999,0.105322,,0.0,,0.0,0.0,0.0021275043999999,,0.0021275043999999,,,,,0.0,,-99999.0,,4.0916,,3.8412,,-0.8964999999999999,,,,,,-1.9373,,,,50
2012-12-20 00:04:00,,0.0,0.5888999999999999,-0.2265,,0.3624,,0.0,,-5.6356,,,,14.369,,4.3569,0.0204,0.105322,,0.0,,0.0,0.0,0.0021485687999999,,0.0021485687999999,,,,,0.0,,-99999.0,,4.015,,3.7444,,3.8646,,,,,,-1.8531,,,,50
2012-12-20 00:05:00,,0.0,0.7022,-0.2492,,0.453,,0.0,,-5.6959,,,,14.368,,4.3666,0.0204,0.105322,,0.0,,0.0,0.0,0.0021485687999999,,0.0021485687999999,,,,,0.0,,-99999.0,,3.9425,,3.666,,2.4957,,,,,,-2.0216,,,,50
2012-12-20 00:06:00,,0.0,0.5888999999999999,-0.521,,0.068,,0.0,,-5.7225,,,,14.368,,4.3675,0.0204,0.105322,,0.0,,0.0,0.0,0.0021485687999999,,0.0021485687999999,,,,,0.0,,-99999.0,,3.9737,,3.6878,,3.8841,,,,,,-1.8868,,,,50
2012-12-20 00:07:00,,0.0,0.7701,0.2944999999999999,,1.0646,,0.0,,-5.7725,,,,14.367,,4.378,0.0201999999999999,0.105322,,0.0,,0.0,0.0,0.0021275043999999,,0.0021275043999999,,,,,0.0,,-99999.0,,3.9611,,3.6882,,-0.7285,,,,,,-1.9037,,,,50
2012-12-20 00:08:00,,0.0,0.5435999999999999,-0.6116,,-0.068,,0.0,,-5.8295,,,,14.367,,4.3798,0.0204,0.105322,,0.0,,0.0,0.0,0.0021485687999999,,0.0021485687999999,,,,,0.0,,-99999.0,,3.9867,,3.7001,,4.5469,,,,,,-1.971,,,,50
2012-12-20 00:09:00,,0.0,0.7475,0.068,,0.8154,,0.0,,-5.8073,,,,14.367,,4.3886,0.0204,0.105322,,0.0,,0.0,0.0,0.0021485687999999,,0.0021485687999999,,,,,0.0,,-99999.0,,3.9717,,3.7335,,0.2233,,,,,,-2.0047,,,,50
