measured_on,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2004-10-25 00:00:00,5.175,0.0,0.0,-14.324,113.983,1.946,0.007,158.351,0.0,158.085,0.0,1.10846,1.18,14.058,14.357,12.903,0.0,0.0,-7.147,50
2004-10-25 00:15:00,5.178,0.0,0.0,-14.329,114.04,1.194,0.006,158.436,0.0,158.173,0.0,0.95062,1.167,13.923,14.218,12.67,0.0,0.0,-6.732,50
2004-10-25 00:30:00,5.177,0.0,0.0,-14.312,113.997,1.1,0.006,158.386,0.0,158.113,0.0,0.95032,1.161,13.807,14.066,12.465,0.0,0.0,-7.072,50
2004-10-25 00:45:00,5.175,0.0,0.0,-14.31,113.963,1.14,0.007,158.383,0.0,158.113,0.0,1.10868,1.231,13.757,13.964,12.336,0.0,0.0,-5.674,50
2004-10-25 01:00:00,5.175,0.0,0.0,-14.328,113.991,1.716,0.007,158.402,0.0,158.13,0.0,1.10881,1.226,13.757,13.982,12.311,0.0,0.0,-5.402,50
2004-10-25 01:15:00,5.175,0.0,0.0,-14.33,113.986,1.469,0.007,158.388,0.0,158.116,0.0,1.10872,1.246,13.719,13.89,12.331,0.0,0.0,-5.812,50
2004-10-25 01:30:00,5.178,0.0,0.0,-14.327,114.05,1.321,0.007,158.493,0.0,158.219,0.0,1.10945,1.231,13.597,13.779,12.221,0.0,0.0,-7.279,50
2004-10-25 01:45:00,5.181,0.0,0.0,-14.307,114.094,0.92,0.007,158.571,0.0,158.298,0.0,1.11,1.255,13.572,13.714,12.101,0.0,0.0,-6.003,50
2004-10-25 02:00:00,5.183,0.0,0.0,-14.317,114.111,0.561,0.007,158.563,0.0,158.283,0.0,1.10994,1.271,13.536,13.63,11.951,0.0,0.0,-5.656,50
2004-10-25 02:15:00,5.177,0.0,0.0,-14.302,114.024,1.921,0.007,158.438,0.0,158.161,0.0,1.10907,1.266,13.648,13.696,12.13,0.0,0.0,-5.879,50
2004-10-25 02:30:00,5.175,0.0,0.0,-14.35,114.002,0.903,0.007,158.371,0.0,158.101,0.0,1.1086,1.265,13.521,13.595,12.097,0.0,0.0,-7.157,50
2004-10-25 02:45:00,5.174,0.0,0.0,-14.293,113.97,0.277,0.007,158.341,0.0,158.065,0.0,1.10839,1.268,13.414,13.51,11.9,0.0,0.0,-6.495,50
2004-10-25 03:00:00,5.172,0.0,0.0,-14.309,113.927,0.444,0.007,158.29,0.0,158.02,0.0,1.10803,1.265,13.442,13.502,11.798,0.0,0.0,-5.871,50
2004-10-25 03:15:00,5.163,0.0,0.0,-14.336,113.779,0.497,0.007,158.158,0.0,157.883,0.0,1.10711,1.259,13.372,13.438,11.687,0.0,0.0,-6.289,50
2004-10-25 03:30:00,5.159,0.0,0.0,-14.298,113.706,1.552,0.007,158.083,0.0,157.802,0.0,1.10658,1.256,13.542,13.56,11.88,0.0,0.0,-6.472,50
2004-10-25 03:45:00,5.158,0.0,0.0,-14.285,113.716,1.596,0.007,158.098,0.0,157.827,0.0,1.10669,1.265,13.68,13.603,12.304,0.0,0.0,-5.355,50
