measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2005-08-12 00:00:00,0.002,0.1759999999999999,0.003,14.925,24.375,0.0509999999999999,0.0,0.007,0.0,1.24313,1.325,20.844,20.899,22.081,0.0,0.0,-3.448,50
2005-08-12 00:15:00,0.002,0.165,0.003,14.912,24.375,0.0259999999999999,0.0,0.007,0.0,0.63375,0.672,20.722,20.76,21.947,0.0,0.0,-3.2,50
2005-08-12 00:30:00,0.002,0.16,0.002,14.819,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.154,20.676,20.724,21.878,0.0,0.0,-4.061,50
2005-08-12 00:45:00,0.002,0.1739999999999999,0.002,14.602,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.157,20.533,20.602,21.769,0.0,0.0,-3.87,50
2005-08-12 01:00:00,0.002,0.16,0.003,14.467,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.157,20.495,20.584,21.699,0.0,0.0,-4.203,50
2005-08-12 01:15:00,0.002,0.155,0.002,14.459,24.375,0.006,0.0,0.006,0.0,0.1462499999999999,0.157,20.437,20.499,21.606,0.0,0.0,-4.831,50
2005-08-12 01:30:00,0.002,0.167,0.003,14.382,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.163,20.352,20.421,21.496,0.0,0.0,-4.337,50
2005-08-12 01:45:00,0.002,0.16,0.002,14.406,24.375,0.006,0.0,0.006,0.0,0.1462499999999999,0.159,20.27,20.326,21.429,0.0,0.0,-4.614,50
2005-08-12 02:00:00,0.002,0.164,0.003,14.825,24.375,0.006,0.0,0.006,0.0,0.1462499999999999,0.167,20.178,20.232,21.471,0.0,0.0,-3.469,50
2005-08-12 02:15:00,0.002,0.169,0.002,14.613,24.375,0.006,0.0,0.006,0.0,0.1462499999999999,0.16,20.156,20.218,21.437,0.0,0.0,-4.65,50
2005-08-12 02:30:00,0.002,0.167,0.003,15.622,24.375,0.007,0.0,0.008,0.0,0.17063,0.17,20.099,20.14,21.387,0.0,0.0,-2.676,50
2005-08-12 02:45:00,0.002,0.1769999999999999,0.003,15.563,24.375,0.006,0.0,0.008,0.0,0.1462499999999999,0.167,20.1,20.155,21.405,0.0,0.0,-3.116,50
2005-08-12 03:00:00,0.001,0.164,0.002,15.68,24.375,0.006,0.0,0.006,0.0,0.1462499999999999,0.167,20.095,20.191,21.417,0.0,0.0,-3.143,50
2005-08-12 03:15:00,0.001,0.164,0.002,15.887,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.16,20.11,20.212,21.494,0.0,0.0,-3.629,50
2005-08-12 03:30:00,0.002,0.162,0.002,15.98,24.375,0.006,0.0,0.006,0.0,0.1462499999999999,0.16,20.11,20.216,21.571,0.0,0.0,-4.038,50
2005-08-12 03:45:00,0.001,0.171,0.002,15.975,24.375,0.006,0.0,0.006,0.0,0.1462499999999999,0.16,20.116,20.186,21.579,0.0,0.0,-5.193,50
2005-08-12 04:00:00,0.002,0.164,0.002,15.838,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.152,20.092,20.149,21.521,0.0,0.0,-5.826,50
2005-08-12 04:15:00,0.002,0.157,0.003,14.943,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.16,20.072,20.145,21.457,0.0,0.0,-4.944,50
2005-08-12 04:30:00,0.002,0.167,0.002,14.609,24.375,0.006,0.0,0.007,0.0,0.1462499999999999,0.167,20.015,20.09,21.392,0.0,0.0,-5.395,50
2005-08-12 04:45:00,0.001,0.157,0.002,15.377,24.375,1.386,0.0,1.032,0.0,33.78375,36.038,19.981,20.047,21.441,0.0,0.0,-5.065,50
2005-08-12 05:00:00,0.002,0.167,0.003,15.388,24.375,22.356,0.0,26.348,0.0,544.9275,581.278,19.864,19.91,21.539,0.0,0.0,-3.783,50
2005-08-12 05:15:00,0.002,0.1719999999999999,0.002,14.518,24.375,101.009,0.001,106.621,0.10662,2462.09438,2626.301,19.514,19.629,21.519,0.0,0.0,-2.861,50
2005-08-12 05:30:00,0.002,0.164,0.003,14.324,24.375,175.577,0.0219999999999999,179.188,3.94214,4279.68938,4569.221,19.116,19.311,21.403,0.0,0.0,4.93,50
2005-08-12 05:45:00,0.002,0.162,0.003,14.3,24.375,173.13,0.2849999999999999,170.171,48.49874,4220.04375,4552.049,19.611,19.724,21.298,0.0,0.0,18.348,50
2005-08-12 06:00:00,0.002,0.16,0.002,14.281,24.375,178.199,0.517,174.63,90.28371000000001,4343.60063,4729.986,19.824,20.111,21.273,0.0,0.0,33.457,50
2005-08-12 06:15:00,0.002,0.157,0.002,14.461,24.375,198.637,0.802,201.167,161.33593,4841.77688,5336.996,20.208,20.564,21.295,0.0,0.0,58.963,50
2005-08-12 06:30:00,0.002,0.164,0.003,14.646,24.375,196.409,0.801,199.218,159.57362,4787.46938,5277.036,20.52,21.021,21.307,0.0,0.0,57.77,50
2005-08-12 06:45:00,0.002,0.165,0.003,14.483,24.375,205.287,1.343,209.061,280.76892,5003.87063,5639.974,20.731,21.256,21.273,0.0,0.0,103.857,50
2005-08-12 07:00:00,0.002,0.16,0.003,14.537,24.375,216.636,2.44,218.118,532.20792,5280.5025,6201.642,23.281,23.573,21.263,0.0,0.0,188.413,50
2005-08-12 07:15:00,0.002,0.164,0.002,14.279,24.375,196.969,0.7369999999999999,195.458,144.05255,4801.11938,5274.366,21.206,22.303,21.221,0.0,0.0,52.857,50
2005-08-12 07:30:00,0.002,0.164,0.003,13.781,24.375,200.776,0.916,203.45,186.3602,4893.915,5418.81,20.359,21.372,21.078,0.0,0.0,65.335,50
2005-08-12 07:45:00,0.002,0.17,0.003,13.788,24.375,211.241,1.257,206.986,260.1814,5148.99938,5769.625,20.884,21.603,20.938,0.0,0.0,91.451,50
2005-08-12 08:00:00,0.002,0.167,0.003,13.95,24.375,206.656,1.416,203.517,288.18007,5037.24,5680.665,21.476,22.143,20.825,0.0,0.0,99.401,50
2005-08-12 08:15:00,0.002,0.163,0.002,13.792,24.375,201.236,1.272,204.635,260.29572,4905.1275,5510.221,21.075,21.779,20.751,0.0,0.0,87.747,50
2005-08-12 08:30:00,0.002,0.16,0.002,13.65,24.375,200.355,1.142,212.052,242.16338,4883.65313,5468.531,21.142,21.765,20.678,0.0,0.0,82.804,50
2005-08-12 08:45:00,0.001,0.159,0.002,13.548,24.375,205.299,1.701,206.45,351.17145,5004.16313,5714.166,21.465,22.036,20.594,0.0,0.0,117.739,50
2005-08-12 09:00:00,0.001,0.158,0.002,13.848,24.375,212.098,1.549,211.477,327.57787,5169.88875,5864.164,22.512,23.003,20.567,0.0,0.0,109.046,50
2005-08-12 09:15:00,0.001,0.155,0.002,14.135,24.375,212.19,2.524,214.629,541.7236,5172.13125,6093.385,23.861,23.913,20.576,0.0,0.0,184.602,50
2005-08-12 09:30:00,0.002,0.162,0.003,15.04,24.375,217.1,4.389,216.865,951.82049,5291.8125,6660.047,28.084,27.575,20.696,0.0,0.0,322.618,50
2005-08-12 09:45:00,0.002,0.167,0.003,15.934,24.375,213.48,9.323,213.057,1986.33041,5203.575,7636.444,30.979,30.482,20.8,0.0,0.0,696.19,50
2005-08-12 10:00:00,0.002,0.165,0.002,16.564,24.375,196.106,9.311000000000002,205.371,1912.20938,4780.08375,7136.694,33.3,32.468,21.111,0.0,0.0,673.01,50
2005-08-12 10:15:00,0.002,0.1769999999999999,0.003,16.674,24.375,201.704,6.3,215.375,1356.8625,4916.535,6691.521,33.942,33.695,21.265,0.0,0.0,461.438,50
2005-08-12 10:30:00,0.002,0.164,0.002,17.174,24.375,211.316,7.573,213.678,1618.18349,5150.8275,7214.314,34.043,34.039,21.429,0.0,0.0,558.552,50
2005-08-12 10:45:00,0.002,0.162,0.003,17.355,24.375,203.912,7.335,203.157,1490.1566,4970.355,6888.204,34.545,34.36,21.656,0.0,0.0,518.502,50
2005-08-12 11:00:00,0.002,0.16,0.003,17.312,24.375,205.699,6.516,210.885,1374.12666,5013.91313,6808.263,34.72,34.658,21.879,0.0,0.0,464.62,50
2005-08-12 11:15:00,0.002,0.162,0.003,17.403,24.375,211.599,5.396,210.268,1134.60613,5157.72563,6709.848,34.196,34.442,22.091,0.0,0.0,384.739,50
2005-08-12 11:30:00,0.001,0.162,0.003,17.846,24.375,208.813,5.205,212.843,1107.84782,5089.81688,6610.253,33.861,34.059,22.263,0.0,0.0,372.081,50
2005-08-12 11:45:00,0.002,0.17,0.003,17.967,24.375,207.973,6.201,207.86,1288.93986,5069.34188,6782.268,34.278,34.513,22.469,0.0,0.0,442.112,50
2005-08-12 12:00:00,0.002,0.186,0.003,19.499,24.375,202.939,6.917,210.198,1453.93957,4946.63813,6826.434,34.866,35.215,22.659,0.0,0.0,509.319,50
2005-08-12 12:15:00,0.002,0.169,0.003,20.906,24.375,198.601,9.737,204.291,1989.18147,4840.89938,7276.526,35.691,35.568,22.91,0.0,0.0,730.613,50
2005-08-12 12:30:00,0.002,0.164,0.002,22.477,24.375,196.293,11.42,195.117,2228.23614,4784.64188,7481.062,37.283,35.769,23.174,0.0,0.0,864.674,50
2005-08-12 12:45:00,0.002,0.162,0.002,22.313,24.375,195.01,7.408,196.711,1457.23509,4753.36875,6630.687,37.658,36.435,23.534,0.0,0.0,564.088,50
2005-08-12 13:00:00,0.002,0.167,0.002,21.734,24.375,198.416,7.658,204.881,1568.9787,4836.39,6834.501,36.916,36.552,23.774,0.0,0.0,567.05,50
2005-08-12 13:15:00,0.002,0.16,0.002,21.783,12.534,197.818,6.079,200.878,1221.13736,2479.45081,3969.59,37.108,37.069,24.036,0.0,0.0,426.571,50
2005-08-12 13:30:00,0.002,0.1719999999999999,0.003,22.081,6.528,204.248,6.651,205.172,1364.59897,1333.33094,2872.003,36.265,36.427,24.262,0.0,0.0,477.821,50
2005-08-12 13:45:00,0.002,0.167,0.002,22.345,11.286,195.318,11.294,197.791,2233.85155,2204.35895,4734.017,37.928,36.778,24.409,0.0,0.0,852.4289999999999,50
2005-08-12 14:00:00,0.002,0.16,0.002,22.936,6.098,193.492,5.951,200.495,1193.14575,1179.91422,2532.411,37.749,36.912,24.546,0.0,0.0,433.805,50
2005-08-12 14:15:00,0.002,0.158,0.003,22.253,7.67,204.041,8.146,198.921,1620.41047,1564.99447,3386.251,36.449,36.358,24.55,0.0,0.0,577.622,50
2005-08-12 14:30:00,0.002,0.1719999999999999,0.003,22.269,7.533,192.673,7.583999999999999,194.302,1473.58637,1451.40571,3112.956,37.39,36.192,24.517,0.0,0.0,557.9,50
