measured_on,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2018-07-06 00:00:00,0.0,0.27017,-3.2421,-2.9719,0.0,19.786,13.645,28.363,0.00253,-0.00634,0.0,0.0021099999999999,0.0,-1e-05,-1e-05,0.0,-99999.0,26.031,25.949,24.884,-480.86,50
2018-07-06 00:01:00,0.0,0.2251499999999999,-3.1295,-2.9044,0.0,19.761,13.645,28.351,0.00169,-0.00423,-0.0001399999999999,-0.00423,0.0,0.0,0.0,0.0,-99999.0,26.019,25.95,23.699,-391.79,50
2018-07-06 00:02:00,0.0,0.2476599999999999,-3.152,-2.9044,0.0,19.723,13.645,28.347,0.00169,-0.00423,0.0,-0.0021099999999999,0.0,0.0,0.0,0.0,-99999.0,26.015,25.958,23.666,-335.96,50
2018-07-06 00:03:00,0.0,0.24767,-3.0846,-2.8369,0.0,19.689,13.646,28.337,0.00169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,26.012,25.953,22.891,-483.15,50
2018-07-06 00:04:00,0.0,0.22514,-3.2421,-3.017,0.0,19.644,13.645,28.335,0.00197,0.0,0.0,-0.0021099999999999,0.0,0.0,0.0,0.0,-99999.0,26.017,25.954,23.909,-535.03,50
2018-07-06 00:05:00,0.0,0.29269,-3.017,-2.7243,0.0,19.607,13.646,28.328,0.00183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,25.999,25.935,21.955,-636.88,50
2018-07-06 00:06:00,0.0,0.2701899999999999,-3.1071,-2.8369,0.0,19.647,13.646,28.32,0.00169,-0.0021099999999999,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,25.98,25.906,22.426,-673.98,50
2018-07-06 00:07:00,0.0,0.2251499999999999,-3.1521,-2.9269,0.0,19.647,13.646,28.31,0.00183,-0.0021099999999999,0.0,-0.0021099999999999,0.0,0.0,0.0,0.0,-99999.0,25.949,25.871,23.053,-761.0599999999998,50
2018-07-06 00:08:00,0.0,0.2701799999999999,-3.1071,-2.8369,0.0,19.586,13.647,28.305,0.00169,-0.00423,0.0,-0.0021099999999999,0.0,0.0,0.0,0.0,-99999.0,25.941,25.853,23.117,-362.94,50
2018-07-06 00:09:00,0.0,0.22514,-3.197,-2.9719,0.0,19.534,13.646,28.303,0.00183,-0.0021099999999999,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,25.951,25.859,23.221,-269.34,50
