measured_on,ac_current__411,ac_current__427,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__407,ac_power__423,ac_power__752,ac_voltage__410,ac_voltage__426,ac_volts__757,ambient_temp__412,ambient_temp__428,ambient_temp__759,das_battery_voltage__434,das_battery_voltage__769,das_temp__433,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__409,dc_pos_current__425,dc_pos_current__754,dc_pos_voltage__408,dc_pos_voltage__424,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__406,dc_power__422,dc_power__751,inverter_temp_2__770,inverter_temp__416,inverter_temp__432,inveter_temp__763,module_temp_1__413,module_temp_1__429,module_temp_1__760,module_temp_2__414,module_temp_2__430,module_temp_2__761,module_temp_3__415,module_temp_3__431,module_temp_3__762,module_temp_4__417,module_temp_5__418,module_temp_6__419,module_temp_7__420,poa_irradiance__405,poa_irradiance__421,poa_irradiance__750,system_id
2013-04-09 00:00:00,,,0.0,0.3610999999999999,-0.4514,,,-0.0903,,,0.0,,,-2.9939,,13.926,,19.256,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.575,,,18.268,,,-99999.0,,,,,,,-0.0839,50
2013-04-09 00:01:00,,,0.0,0.3836999999999999,-0.4062999999999999,,,-0.0225999999999999,,,0.0,,,-3.0038,,13.926,,19.245,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.534,,,18.225,,,-99999.0,,,,,,,0.0335999999999999,50
2013-04-09 00:02:00,,,0.0,0.3610999999999999,-0.2031,,,0.158,,,0.0,,,-3.0269,,13.928,,19.232,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.492,,,18.184,,,-99999.0,,,,,,,-0.0839,50
2013-04-09 00:03:00,,,0.0,0.3836999999999999,-0.1353999999999999,,,0.2482999999999999,,,0.0,,,-3.0576,,13.927,,19.219,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.465,,,18.144,,,-99999.0,,,,,,,0.0504,50
2013-04-09 00:04:00,,,0.0,0.3610999999999999,-0.2257,,,0.1353999999999999,,,0.0,,,-3.1602,,13.929,,19.21,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.43,,,18.091,,,-99999.0,,,,,,,-0.0335999999999999,50
2013-04-09 00:05:00,,,0.0,0.4062999999999999,-0.2257,,,0.1806,,,0.0,,,-3.1614,,13.929,,19.195,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.387,,,18.039,,,-99999.0,,,,,,,0.0167999999999999,50
2013-04-09 00:06:00,,,0.0,0.3610999999999999,-0.316,,,0.0451,,,0.0,,,-3.181,,13.928,,19.181,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.369,,,18.023,,,-99999.0,,,,,,,0.1343,50
2013-04-09 00:07:00,,,0.0,0.4514,-0.1129,,,0.3386,,,0.0,,,-3.1359,,13.929,,19.169,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.352,,,18.008,,,-99999.0,,,,,,,0.1007,50
2013-04-09 00:08:00,,,0.0,0.2707999999999999,-0.7673999999999999,,,-0.4965,,,0.0,,,-3.1642,,13.93,,19.154,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.358,,,18.019,,,-99999.0,,,,,,,0.2014,50
2013-04-09 00:09:00,,,0.0,0.4288,0.0,,,0.4288,,,0.0,,,-3.1865,,13.93,,19.14,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.368,,,18.042,,,-99999.0,,,,,,,0.1847,50
2013-04-09 00:10:00,,,0.0,0.2933999999999999,-0.8351,,,-0.5416999999999998,,,0.0,,,-3.129,,13.931,,19.125,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.396,,,18.068,,,-99999.0,,,,,,,0.2014,50
2013-04-09 00:11:00,,,0.0,0.4288,0.2933999999999999,,,0.7223,,,0.0,,,-3.0764,,13.93,,19.11,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.43,,,18.105,,,-99999.0,,,,,,,0.2014,50
2013-04-09 00:12:00,,,0.0,0.2933999999999999,-0.632,,,-0.3386,,,0.0,,,-3.0317,,13.932,,19.094,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.474,,,18.172,,,-99999.0,,,,,,,0.2015,50
2013-04-09 00:13:00,,,0.0,0.4965,0.2482999999999999,,,0.7448,,,0.0,,,-3.0707,,13.931,,19.079,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.552,,,18.259,,,-99999.0,,,,,,,0.2015,50
2013-04-09 00:14:00,,,0.0,0.4965,0.1353999999999999,,,0.632,,,0.0,,,-3.0476,,13.931,,19.065,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,37.892,,,18.619,,,18.316,,,-99999.0,,,,,,,0.2015,50
2013-04-09 00:15:00,,,0.0,0.3386,-0.4965,,,-0.158,,,0.0,,,-2.9901,,13.933,,19.051,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.685,,,18.385,,,-99999.0,,,,,,,0.2015,50
2013-04-09 00:16:00,,,0.0,0.5416999999999998,0.3386,,,0.8801999999999999,,,0.0,,,-3.0609,,13.933,,19.037,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,32.034,,,18.74,,,18.438,,,-99999.0,,,,,,,0.2015,50
2013-04-09 00:17:00,,,0.0,0.3386,-0.6996999999999999,,,-0.3610999999999999,,,0.0,,,-3.0177,,13.934,,19.023,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.766,,,18.431,,,-99999.0,,,,,,,0.2015,50
2013-04-09 00:18:00,,,0.0,0.3386,-0.632,,,-0.2934999999999999,,,0.0,,,-3.0173,,13.934,,19.01,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.752,,,18.4,,,-99999.0,,,,,,,0.2015,50
2013-04-09 00:19:00,,,0.0,0.4289,0.1353999999999999,,,0.5643,,,0.0,,,-3.0719,,13.935,,18.997,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.752,,,18.399,,,-99999.0,,,,,,,0.2182999999999999,50
2013-04-09 00:20:00,,,0.0,0.2933999999999999,-0.5868999999999999,,,-0.2933999999999999,,,0.0,,,-3.0638,,13.935,,18.984,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.774,,,18.452,,,-99999.0,,,,,,,0.2182999999999999,50
2013-04-09 00:21:00,,,0.0,0.3610999999999999,-0.0225999999999999,,,0.3386,,,0.0,,,-3.0674,,13.935,,18.974,0.0102,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,-99999.0,,,18.793,,,18.514,,,-99999.0,,,,,,,0.2015,50
