measured_on,ac_current__251,ac_current__633,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__247,ac_power__629,ac_power__752,ac_voltage__250,ac_voltage__632,ac_volts__757,ambient_temp__252,ambient_temp__634,ambient_temp__759,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__769,das_temp__1368,das_temp__662,das_temperature__764,dc_current__631,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__249,dc_pos_current__754,dc_pos_voltage__248,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__246,dc_power__628,dc_power__751,dc_voltage__630,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,inv_temp__661,inverter_temp_2__770,inverter_temp__256,inveter_temp__763,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__253,module_temp_1__760,module_temp_2__254,module_temp_2__761,module_temp_3__255,module_temp_3__762,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__245,poa_irradiance__750,program_codeset__1373,reflector_temp_1__638,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2012-04-13 00:00:00,,,0.0,0.3385,-0.6318,,,-0.2933,,,0.0,,,9.095,,,,13.906,,,20.229,,0.0074999999999999,0.0,,0.0,,-0.0020999999999999,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.279,,20.148,,6.5058,,,,,,,,,,,,,,-0.9901,,,,,50
2012-04-13 00:01:00,,,0.0,0.4582,-0.1458,,,0.3125,,,0.0,,,9.1081,,,,13.903,,,20.228,,0.0077,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.267,,20.178,,6.5931,,,,,,,,,,,,,,-1.0069,,,,,50
2012-04-13 00:02:00,,,0.0,0.4062,-0.2255999999999999,,,0.1804999999999999,,,0.0,,,9.0481,,,,13.907,,,20.217,,0.008,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.278,,20.202,,6.7161,,,,,,,,,,,,,,-0.9734,,,,,50
2012-04-13 00:03:00,,,0.0,0.3836,-0.3385,,,0.0451,,,0.0,,,8.9856,,,,13.906,,,20.217,,0.0076,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.32,,20.252,,6.8003,,,,,,,,,,,,,,-0.9901,,,,,50
2012-04-13 00:04:00,,,0.0,0.4287,0.1353999999999999,,,0.5641,,,0.0,,,8.9746,,,,13.906,,,20.206,,0.008,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.313,,20.275,,6.8416,,,,,,,,,,,,,,-1.0069,,,,,50
2012-04-13 00:05:00,,,0.0,0.4287,-0.1804999999999999,,,0.2482,,,0.0,,,9.0075,,,,13.905,,,20.205,,0.0086,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.314,,20.302,,6.8346,,,,,,,,,,,,,,-0.9901,,,,,50
2012-04-13 00:06:00,,,0.0,0.4738999999999999,0.0,,,0.4738999999999999,,,0.0,,,8.9695,,,,13.905,,,20.199,,0.0079,0.0,,0.0,,0.0020999999999999,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.265,,20.268,,6.8453,,,,,,,,,,,,,,-0.9901,,,,,50
2012-04-13 00:07:00,,,0.0,0.3609999999999999,-0.3385,,,0.0225999999999999,,,0.0,,,8.8817,,,,13.907,,,20.192,,0.0082,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.211,,20.219,,6.8164,,,,,,,,,,,,,,-1.007,,,,,50
2012-04-13 00:08:00,,,0.0,0.4512999999999999,-0.0451,,,0.4062,,,0.0,,,8.800499999999998,,,,13.906,,,20.19,,0.0079,0.0,,0.0,,-0.0020999999999999,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.163,,20.17,,6.7909,,,,,,,,,,,,,,-1.0069,,,,,50
2012-04-13 00:09:00,,,0.0,0.4512999999999999,-0.0676999999999999,,,0.3836,,,0.0,,,8.7176,,,,13.906,,,20.18,,0.0086,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.11,,20.142,,6.7384,,,,,,,,,,,,,,-1.0405,,,,,50
2012-04-13 00:10:00,,,0.0,0.3836,0.0,,,0.3836,,,0.0,,,8.6608,,,,13.906,,,20.18,,0.008,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.056,,20.121,,6.6567,,,,,,,,,,,,,,-1.007,,,,,50
2012-04-13 00:11:00,,,0.0,0.2482,-0.6318,,,-0.3836,,,0.0,,,8.5883,,,,13.907,,,20.174,,0.0086,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.017,,20.094,,6.6147,,,,,,,,,,,,,,-1.1412,,,,,50
2012-04-13 00:12:00,,,0.0,0.4738999999999999,0.4964,,,0.9703,,,0.0,,,8.5382,,,,13.906,,,20.167,,0.0085,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,19.984,,20.072,,6.5896,,,,,,,,,,,,,,-1.1244,,,,,50
2012-04-13 00:13:00,,,0.0,0.3836,-0.3159,,,0.0676999999999999,,,0.0,,,8.569499999999998,,,,13.907,,,20.166,,0.0089999999999999,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,19.979,,20.061,,6.5567,,,,,,,,,,,,,,-1.1748,,,,,50
2012-04-13 00:14:00,,,0.0,0.4512999999999999,-0.0903,,,0.3610999999999999,,,0.0,,,8.5888,,,,13.908,,,20.157,,0.008,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,19.962,,20.036,,6.4828,,,,,,,,,,,,,,-1.2083,,,,,50
2012-04-13 00:15:00,,,0.0,0.4738999999999999,-0.0676999999999999,,,0.4062,,,0.0,,,8.5827,,,,13.907,,,20.155,,0.0085,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,19.987,,20.024,,6.3623,,,,,,,,,,,,,,-1.2922,,,,,50
2012-04-13 00:16:00,,,0.0,0.4512999999999999,-0.2031,,,0.2482,,,0.0,,,8.542799999999998,,,,13.908,,,20.15,,0.0076,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.035,,20.017,,6.2988,,,,,,,,,,,,,,-1.4769,,,,,50
2012-04-13 00:17:00,,,0.0,0.4062,-0.1579,,,0.2482,,,0.0,,,8.6494,,,,13.908,,,20.142,,0.0083,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.043,,20.0,,6.3217,,,,,,,,,,,,,,-1.5104,,,,,50
2012-04-13 00:18:00,,,0.0,0.3836,-0.1804999999999999,,,0.2031,,,0.0,,,8.6841,,,,13.908,,,20.141,,0.0086999999999999,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.063,,20.009,,6.3017,,,,,,,,,,,,,,-1.4601,,,,,50
2012-04-13 00:19:00,,,0.0,0.4512999999999999,0.1353999999999999,,,0.5867,,,0.0,,,8.6453,,,,13.908,,,20.13,,0.0085,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,-99999.0,,,,,,,,,,,,,,,,,,,,20.08,,20.009,,6.2413,,,,,,,,,,,,,,-1.5105,,,,,50
