measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
1994-09-10 00:00:00,5.376,-23.2,123.0,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.29,23.47,14.39,14.39,15.33,0.0,50
1994-09-10 00:15:00,5.39,-23.0,123.2,17.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.03,23.19,14.39,14.39,15.03,0.0,50
1994-09-10 00:30:00,5.398,-23.17,123.4,17.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.87,22.99,14.39,14.39,15.28,0.0,50
1994-09-10 00:45:00,5.385,-14.6,123.1,18.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,22.96,15.28,14.58,16.16,0.0,50
1994-09-10 01:00:00,5.386,-18.07,123.0,18.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,22.96,16.16,15.8,16.16,0.0,50
1994-09-10 01:15:00,5.397,-18.58,123.2,18.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73,22.92,16.16,15.79,16.16,0.0,50
1994-09-10 01:30:00,5.388,-14.37,123.0,18.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,22.89,15.41,14.4,16.16,0.0,50
1994-09-10 01:45:00,5.395,-23.3,123.1,19.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73,22.79,16.17,15.99,16.22,0.0,50
1994-09-10 02:00:00,5.38,-16.39,122.8,19.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68,22.79,16.17,16.17,17.42,0.0,50
1994-09-10 02:15:00,5.382,-20.3,122.8,19.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69,22.8,16.17,16.17,17.61,0.0,50
1994-09-10 02:30:00,5.385,-18.18,122.9,19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.74,22.78,16.38,16.17,17.86,0.0,50
1994-09-10 02:45:00,5.383,-18.94,122.9,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64,22.67,17.13,16.17,17.86,0.0,50
1994-09-10 03:00:00,5.388,-22.19,122.9,19.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64,22.65,17.79,16.46,17.86,0.0,50
1994-09-10 03:15:00,5.384,-20.21,122.9,20.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72,22.72,17.86,17.86,17.86,0.0,50
1994-09-10 03:30:00,5.384,-17.76,122.9,20.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,22.93,17.86,17.86,17.96,0.0,50
1994-09-10 03:45:00,5.385,-21.7,122.9,20.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07,23.08,17.86,17.86,19.28,0.0,50
1994-09-10 04:00:00,5.382,-13.5,123.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,23.19,17.86,17.86,18.63,0.0,50
1994-09-10 04:15:00,5.372,-15.69,122.7,20.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.19,23.18,17.86,17.86,17.86,0.0,50
1994-09-10 04:30:00,5.37,-21.11,122.7,19.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.17,23.19,17.43,16.94,17.75,0.0,50
1994-09-10 04:45:00,5.363,-19.72,122.5,19.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.05,23.12,16.16,16.16,16.37,0.0,50
1994-09-10 05:00:00,5.377,-15.89,123.0,18.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88,22.91,16.17,16.16,16.16,0.0,50
1994-09-10 05:15:00,5.343,-19.0,122.1,18.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73,22.79,16.16,16.16,16.16,0.0,50
1994-09-10 05:30:00,5.422,-29.02,122.9,18.86,0.0,35.25,0.002,35.82,0.0716399999999999,0.0,0.523,22.7,22.71,16.17,16.17,16.17,0.677,50
1994-09-10 05:45:00,5.864,-116.2,122.8,18.54,0.0259999999999999,220.9,0.0369999999999999,221.6,8.199199999999998,5.7434,14.24,23.29,23.54,16.17,16.17,16.17,11.9,50
1994-09-10 06:00:00,6.167,99.8,122.7,18.8,0.5759999999999998,214.9,0.5849999999999999,214.9,125.7165,123.7824,245.3,25.01,25.71,16.79,16.37,17.42,57.84,50
1994-09-10 06:15:00,6.284,185.6,122.9,18.73,0.765,202.9,0.785,202.7,159.1195,155.2185,315.2,26.61,27.64,17.86,17.86,17.86,54.3,50
1994-09-10 06:30:00,7.13,384.6,123.1,20.96,1.237,226.4,1.199,226.2,271.2138,280.0568,560.9,28.35,29.64,19.41,19.19,19.66,103.5,50
1994-09-10 06:45:00,6.828,278.1,123.0,21.24,1.016,247.8,0.952,247.8,235.9056,251.7648,487.9,30.57,32.18,21.99,21.82,21.94,95.7,50
