measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2021-02-19 00:00:00,0.0,-2.573,0.0,-6.1955,-2e-05,13.916,0.00508,-0.0042399999999999,0.0001399999999999,0.0042399999999999,0.0,0.58682,-2e-05,-3.1598,,21.393,21.311,-11.346,-374.88,50
2021-02-19 00:01:00,0.0,-2.5279,0.0,-6.2567,-5e-05,13.916,0.00508,-0.0106,0.0,0.0,0.0,0.4965399999999999,-5e-05,-3.0244,,21.38,21.3,-11.349,-733.32,50
2021-02-19 00:02:00,0.0,-2.6859,0.0,-6.3257,-1e-05,13.916,0.0054999999999999,-0.0021199999999999,0.0,-0.0021199999999999,0.0,0.7448099999999999,-1e-05,-3.4306,,21.354,21.275,-11.454,-211.42,50
2021-02-19 00:03:00,0.0,-2.6407,0.0,-6.3856,0.0,13.916,0.00508,0.0,0.0,-0.00636,0.0,0.6093899999999999,0.0,-3.2501,,21.312,21.232,-11.526,-416.61,50
2021-02-19 00:04:00,0.0,-2.4376,0.0,-6.3525,-2e-05,13.915,0.00508,-0.0042399999999999,0.00042,0.0021199999999999,0.0,0.47397,-2e-05,-2.9116,,21.214,21.096,-11.534,-410.93,50
2021-02-19 00:05:00,0.0,-2.5053,0.0,-6.3844,-1e-05,13.916,0.00508,-0.0021199999999999,0.0,0.0,0.0,0.58682,-1e-05,-3.0921,,21.178,21.046,-11.49,-384.88,50
2021-02-19 00:06:00,0.0,-2.5504,0.0,-6.5012,-1e-05,13.916,0.0052199999999999,-0.0021199999999999,-0.0001399999999999,0.0021199999999999,0.0,0.5191099999999998,-1e-05,-3.0695,,21.196,21.075,-11.453,-363.94,50
2021-02-19 00:07:00,0.0,-2.5279,0.0,-6.4172,0.0,13.916,0.00508,0.0,0.0,-0.0042399999999999,0.0,0.65453,0.0,-3.1824,,21.233,21.125,-11.458,-303.19,50
2021-02-19 00:08:00,0.0,-2.5279,0.0,-6.1656,1e-05,13.916,0.0049399999999999,0.0021199999999999,0.0,-0.00636,0.0,0.54168,1e-05,-3.0695,,21.216,21.113,-11.144,-448.68,50
2021-02-19 00:09:00,0.0,-2.7084,0.0,-5.733,1e-05,13.916,0.0052199999999999,0.0021199999999999,0.0,-0.0042399999999999,0.0,0.58682,1e-05,-3.2952,,21.144,21.026,-11.197,-361.88,50
2021-02-19 00:10:00,0.0,-2.6633,0.0,-5.5529,0.0,13.916,0.00508,0.0,0.0,0.01272,0.0,0.54168,0.0,-3.205,,21.104,21.012,-11.219,-342.4,50
2021-02-19 00:11:00,0.0,-2.5956,0.0,-5.6477,1e-05,13.915,0.00536,0.0021199999999999,0.0,0.0042399999999999,0.0,0.58682,1e-05,-3.1824,,21.113,21.041,-11.272,-249.76,50
2021-02-19 00:12:00,0.0,-2.5053,0.0,-5.7521,-2e-05,13.916,0.00508,-0.0042399999999999,-0.0001399999999999,0.0,0.0,0.54168,-2e-05,-3.047,,21.143,21.086,-11.238,-461.97,50
2021-02-19 00:13:00,0.0,-2.573,0.0,-5.81,2e-05,13.917,0.00536,0.0042399999999999,0.0,-0.0021199999999999,0.0,0.6319599999999999,2e-05,-3.205,,21.141,21.1,-11.044,-467.15,50
2021-02-19 00:14:00,0.0,-2.5279,0.0,-5.7108,0.0,13.916,0.00536,0.0,-0.0001399999999999,0.0,0.0,0.6093899999999999,0.0,-3.1373,,21.126,21.109,-10.998,-578.71,50
2021-02-19 00:15:00,0.0,-2.4601,0.0,-5.4458,1e-05,13.915,0.00508,0.0021199999999999,0.0002799999999999,-0.00636,0.0,0.5191099999999998,1e-05,-2.9793,,21.108,21.065,-10.917,-652.39,50
2021-02-19 00:16:00,0.0,-2.5504,0.0,-5.2445,-1e-05,13.916,0.00536,-0.0021199999999999,-0.0001399999999999,-0.0021199999999999,0.0,0.6093899999999999,-1e-05,-3.1598,,21.064,21.014,-10.86,-488.53,50
2021-02-19 00:17:00,0.0,-2.5053,0.0,-5.2469,-1e-05,13.917,0.0052199999999999,-0.0021199999999999,0.0,-0.00636,0.0,0.54168,-1e-05,-3.047,,21.047,21.017,-10.711,-309.12,50
2021-02-19 00:18:00,0.0,-2.4827,0.0,-5.1479,-2e-05,13.915,0.00508,-0.0042399999999999,-0.0001399999999999,0.0084799999999999,0.0,0.54168,-2e-05,-3.0244,,21.045,21.02,-10.668,-360.97,50
2021-02-19 00:19:00,0.0,-2.5053,0.0,-5.0219,1e-05,13.916,0.00508,0.0021199999999999,0.0001399999999999,-0.0084799999999999,0.0,0.56425,1e-05,-3.0695,,21.074,21.051,-10.759,-609.65,50
2021-02-19 00:20:00,0.0,-2.5053,0.0,-5.0737,0.0,13.916,0.00536,0.0,0.0002799999999999,0.0,0.0,0.6094,0.0,-3.1147,,21.109,21.104,-10.859,-533.08,50
2021-02-19 00:21:00,0.0,-2.5504,0.0,-5.1657,-1e-05,13.916,0.00508,-0.0021199999999999,0.0,-0.00636,0.0,0.6319599999999999,-1e-05,-3.1824,,21.169,21.189,-10.945,-310.75,50
2021-02-19 00:22:00,0.0,-2.4602,0.0,-5.1684,0.0,13.915,0.00508,0.0,0.0002799999999999,0.0106,0.0,0.54168,0.0,-3.0019,,21.211,21.244,-10.931,-740.45,50
2021-02-19 00:23:00,0.0,-2.573,0.0,-4.9781,-1e-05,13.916,0.0052199999999999,-0.0021199999999999,-0.0001399999999999,0.0021199999999999,0.0,0.56425,-1e-05,-3.1373,,21.213,21.236,-10.67,-544.19,50
2021-02-19 00:24:00,0.0,-2.415,0.0,-4.9796,2e-05,13.916,0.00466,0.0042399999999999,0.0,-0.0106,0.0,0.5191099999999998,2e-05,-2.9341,,21.165,21.133,-10.727,-579.37,50
2021-02-19 00:25:00,0.0,-2.4827,0.0,-5.1308,2e-05,13.915,0.00508,0.0042399999999999,0.0001399999999999,-0.0021199999999999,0.0,0.4288299999999999,2e-05,-2.9116,,21.077,20.97,-10.798,-440.28,50
2021-02-19 00:26:00,0.0,-2.4827,0.0,-5.3749,-2e-05,13.916,0.00508,-0.0042399999999999,0.0,0.00636,0.0,0.54168,-3e-05,-3.0244,,20.968,20.856,-10.789,-778.23,50
2021-02-19 00:27:00,0.0,-2.3924,0.0,-5.4994,-3e-05,13.916,0.00508,-0.00636,0.0001399999999999,0.00636,0.0,0.54168,-3e-05,-2.9341,,20.922,20.827,-10.845,-533.8,50
2021-02-19 00:28:00,0.0,-2.3699,0.0,-5.579,0.0,13.917,0.00508,0.0,0.0,0.0042399999999999,0.0,0.5191099999999998,0.0,-2.889,,20.94,20.857,-10.89,-584.12,50
2021-02-19 00:29:00,0.0,-2.4601,0.0,-5.5984,0.0,13.916,0.00508,0.0,0.0001399999999999,-0.0042399999999999,0.0,0.54168,0.0,-3.0018,,20.955,20.895,-10.913,-604.23,50
2021-02-19 00:30:00,0.0,-2.5504,0.0,-5.6164,0.0,13.916,0.00508,0.0,0.0,-0.0042399999999999,0.0,0.58682,0.0,-3.1373,,20.986,20.945,-11.001,-638.89,50
2021-02-19 00:31:00,0.0,-2.5504,0.0,-5.6999,1e-05,13.917,0.0052199999999999,0.0021199999999999,0.0,-0.0021199999999999,0.0,0.6093899999999999,1e-05,-3.1598,,21.024,20.99,-11.039,-389.27,50
2021-02-19 00:32:00,0.0,-2.7987,0.0,-5.672,-4e-05,13.917,0.00508,-0.0084799999999999,-0.0001399999999999,0.0084799999999999,0.0,0.54168,-4e-05,-3.3403,,21.059,21.021,-11.029,-162.73,50
2021-02-19 00:33:00,0.0,-2.5279,0.0,-5.5106,-1e-05,13.916,0.00508,-0.0021199999999999,0.0,-0.0106,0.0,0.56425,-1e-05,-3.0921,,21.078,21.034,-11.023,-571.71,50
2021-02-19 00:34:00,0.0,-2.6181,0.0,-5.3196,-1e-05,13.917,0.00536,-0.0021199999999999,-0.0001399999999999,-0.0042399999999999,0.0,0.58682,-1e-05,-3.205,,21.099,21.057,-10.937,-342.98,50
2021-02-19 00:35:00,0.0,-2.5279,0.0,-5.3952,1e-05,13.916,0.00508,0.0021199999999999,-0.0001399999999999,0.0021199999999999,0.0,0.5191099999999998,1e-05,-3.047,,21.152,21.149,-10.905,-261.63,50
2021-02-19 00:36:00,0.0,-2.6181,0.0,-5.5077,1e-05,13.917,0.00508,0.0021199999999999,0.0001399999999999,-0.0021199999999999,0.0,0.6093899999999999,1e-05,-3.2275,,21.207,21.249,-10.841,-192.42,50
2021-02-19 00:37:00,0.0,-2.6407,0.0,-5.5448,-1e-05,13.916,0.00536,-0.0021199999999999,0.0,-0.0042399999999999,0.0,0.6094,-1e-05,-3.2501,,21.229,21.272,-10.786,-462.91,50
2021-02-19 00:38:00,0.0,-2.573,0.0,-5.5551,-1e-05,13.916,0.00536,-0.0021199999999999,-0.0001399999999999,-0.0084799999999999,0.0,0.56425,-1e-05,-3.1373,,21.239,21.255,-10.763,-592.79,50
