measured_on,ac_current__758,ac_meter_1_power_kw__1041,ac_meter_2_power_kw__1042,ac_power_1__767,ac_power_2__768,ac_power__1137,ac_power__752,ac_power_metered_kw__1040,ac_volts__757,ambient_temp__1053,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__1136,dc_power__751,inv1_ac_power_kw__1043,inv1_dc_current__1045,inv1_dc_power__1134,inv1_dc_voltage__1044,inv1_temp__1046,inv2_ac_power_kw__1047,inv2_dc_current__1049,inv2_dc_power__1135,inv2_dc_voltage__1048,inv2_temp__1050,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,module_temp__1056,poa_irradiance__1055,poa_irradiance__750,poa_irradiance_refcell__1054,refcell_temp__1052,wind_speed__1051,system_id
2012-08-16 00:00:00,0.0,,,0.4734999999999999,0.2706,,0.7439999999999999,,0.0,,17.187,13.841,22.368,0.0041,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.609,20.459,14.804,,,-1.4086,,,,50
2012-08-16 00:01:00,0.0,,,0.3745999999999999,0.2497999999999999,,0.6244,,0.0,,17.216,13.84,22.356,0.0038999999999999,0.0,0.0,-0.002,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.671,20.52,14.809,,,-1.3931,,,,50
2012-08-16 00:02:00,0.0,,,0.3156999999999999,-0.496,,-0.1804,,0.0,,17.212,13.843,22.345,0.0041,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.708,20.561,14.822,,,-1.3751,,,,50
2012-08-16 00:03:00,0.0,,,0.4057999999999999,-0.3382,,0.0675999999999999,,0.0,,17.243,13.843,22.336,0.0038,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.705,20.539,14.863,,,-1.3247,,,,50
2012-08-16 00:04:00,0.0,,,0.4058999999999999,-0.2706,,0.1353,,0.0,,17.238,13.842,22.326,0.0038,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.657,20.483,14.893,,,-1.2409,,,,50
2012-08-16 00:05:00,0.0,,,0.3832999999999999,-0.496,,-0.1126999999999999,,0.0,,17.284,13.843,22.315,0.0035,0.0,0.0,-0.0041999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.566,20.384,14.977,,,-1.2912,,,,50
2012-08-16 00:06:00,0.0,,,0.4058999999999999,-0.2029,,0.2029,,0.0,,17.353,13.843,22.303,0.0041,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.497,20.282,15.033,,,-1.0397,,,,50
2012-08-16 00:07:00,0.0,,,0.496,0.0675999999999999,,0.5636999999999999,,0.0,,17.375,13.842,22.291,0.0041999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.413,20.178,15.082,,,-1.0062,,,,50
2012-08-16 00:08:00,0.0,,,0.4284,-0.3608,,0.0675999999999999,,0.0,,17.401,13.843,22.283,0.004,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.343,20.112,15.14,,,-1.0062,,,,50
2012-08-16 00:09:00,0.0,,,0.3608,-0.248,,0.1126999999999999,,0.0,,17.412,13.843,22.272,0.0041,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.302,20.05,15.196,,,-1.0062,,,,50
2012-08-16 00:10:00,0.0,,,0.4284,-0.1578,,0.2706,,0.0,,17.422,13.844,22.263,0.0044999999999999,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.276,20.032,15.284,,,-1.0062,,,,50
2012-08-16 00:11:00,0.0,,,0.5186,0.1126999999999999,,0.6312999999999999,,0.0,,17.489,13.844,22.254,0.0038,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.254,20.018,15.368,,,-0.8551999999999998,,,,50
2012-08-16 00:12:00,0.0,,,0.4284,-0.3832999999999999,,0.0451,,0.0,,17.513,13.845,22.242,0.0047,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.237,19.997,15.493,,,-0.7546,,,,50
2012-08-16 00:13:00,0.0,,,0.5186,0.1578,,0.6764,,0.0,,17.545,13.845,22.232,0.0044999999999999,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.21,19.965,15.607,,,-0.6205,,,,50
2012-08-16 00:14:00,0.0,,,0.3832999999999999,-0.2931,,0.0902,,0.0,,17.606,13.846,22.224,0.0041,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.17,19.929,15.722,,,-0.6037,,,,50
2012-08-16 00:15:00,0.0,,,0.3608,0.1353,,0.496,,0.0,,17.675,13.845,22.216,0.0041,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.205,19.964,15.861,,,-0.6037,,,,50
2012-08-16 00:16:00,0.0,,,0.4284,0.4284,,0.8568,,0.0,,17.683,13.845,22.204,0.0044999999999999,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.308,20.091,15.964,,,-0.4527999999999999,,,,50
2012-08-16 00:17:00,0.0,,,0.4734999999999999,-0.3608,,0.1126999999999999,,0.0,,17.632,13.846,22.195,0.0044,0.0,0.0,0.0020999999999999,0.0,0.0,,0.0,,,,,,,,,,,0.0,-99999.0,20.446,20.247,16.03,,,-0.3019,,,,50
