measured_on,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2004-12-25 00:00:00,5.228,0.0,0.0,-14.343,115.209,4.722,0.007,159.449,0.0,159.159,0.0,1.11614,1.27,14.166,14.664,14.091,0.0,0.0,-5.666,50
2004-12-25 00:15:00,5.193,0.0,0.0,-14.319,114.431,4.842,0.007,158.29,0.0,157.991,0.0,1.10803,1.255,14.121,14.582,14.061,0.0,0.0,-5.882,50
2004-12-25 00:30:00,5.54,0.0,0.0,-15.282,122.072,5.418,0.008,168.93,0.0,168.603,0.0,1.35144,1.347,15.053,15.478,14.964,0.0,0.0,-5.765,50
2004-12-25 00:45:00,4.838,0.0,0.0,-13.37,106.563,4.723,0.007,147.728,0.0,147.448,0.0,1.0341,1.18,13.123,13.481,13.144,0.0,0.0,-5.047,50
2004-12-25 01:00:00,5.204,0.0,0.0,-14.305,114.626,4.787,0.007,158.894,0.0,158.592,0.0,1.11226,1.26,14.133,14.46,14.133,0.0,0.0,-5.203,50
2004-12-25 01:15:00,5.211,0.0,0.0,-14.307,114.801,5.398,0.007,159.116,0.0,158.812,0.0,1.11381,1.224,14.164,14.443,14.144,0.0,0.0,-5.329,50
2004-12-25 01:30:00,5.217,0.0,0.0,-14.334,114.932,5.484,0.007,159.261,0.0,158.963,0.0,1.11483,1.188,14.159,14.426,14.083,0.0,0.0,-6.052,50
2004-12-25 01:45:00,5.212,0.0,0.0,-14.336,114.825,5.384,0.007,159.067,0.0,158.778,0.0,1.11347,1.182,14.163,14.371,14.109,0.0,0.0,-6.812,50
2004-12-25 02:00:00,5.216,0.0,0.0,-14.363,114.946,5.319,0.006,159.263,0.0,158.971,0.0,0.95558,1.183,14.209,14.376,14.143,0.0,0.0,-6.539,50
2004-12-25 02:15:00,5.215,0.0,0.0,-14.364,114.918,5.683,0.007,159.274,0.0,158.97,0.0,1.11492,1.221,14.239,14.385,14.168,0.0,0.0,-5.908,50
2004-12-25 02:30:00,5.565,0.0,0.0,-15.317,122.624,6.565,0.007,169.935,0.0,169.612,0.0,1.18955,1.264,15.162,15.388,15.136,0.0,0.0,-6.68,50
