measured_on,ac_current__379,ac_current__779,ac_power__375,ac_power__773,ac_voltage__378,ac_volts__778,ambient_temp__380,ambient_temp__780,das_battery_voltage__386,das_battery_voltage__790,das_temp__385,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__377,dc_pos_current__775,dc_pos_voltage__376,dc_pos_voltage__774,dc_power_1__786,dc_power__374,dc_power__772,inverter_temp__384,inveter_temp__784,module_temp_1__381,module_temp_1__781,module_temp_2__382,module_temp_2__782,module_temp_3__383,module_temp_3__783,poa_irradiance__373,poa_irradiance__771,power_factor__387,system_id
2011-11-10 00:00:00,,0.0,,-9.6262,,120.86,,1.1741,,14.215,,9.4127,0.0001,0.9948,,0.0,,-0.001,-9.6262,,0.0001,,10.927,,-0.9439,,-26.97,,-4.14,,-3.3545,,51
2011-11-10 00:15:00,,0.0,,-9.1824,,120.23,,0.9669,,14.218,,9.3179,0.0001,0.9514,,-0.0001,,-0.0015,-9.1824,,0.0001,,10.867,,-1.2218,,-26.984,,-4.2226,,-3.412,,51
2011-11-10 00:30:00,,0.0,,-4.3377,,119.82,,0.6723,,14.223,,9.214,0.0002,0.9299,,0.0,,-0.0012999999999999,-4.3377,,0.0002,,10.823,,-1.11,,-26.97,,-4.0315,,-3.0993,,51
2011-11-10 00:45:00,,0.0,,-5.3769,,119.82,,0.2572999999999999,,14.227,,9.1046,0.0002999999999999,0.9085,,0.0,,-0.002,-5.3769,,0.0002999999999999,,10.903,,-1.507,,-26.97,,-4.2025,,-3.3109,,51
2011-11-10 01:00:00,,0.0,,-11.072,,119.57,,0.0061999999999999,,14.231,,9.004799999999998,0.0001,0.8859,,0.0,,-0.0025,-11.072,,0.0001,,10.34,,-3.6718,,-26.97,,-4.9726,,-3.9322,,51
2011-11-10 01:15:00,,0.0,,-11.43,,119.64,,-0.1413,,14.235,,8.8906,0.0001,0.8518,,0.0,,-0.0011999999999999,-11.43,,0.0001,,10.224,,-3.6387,,-26.97,,-5.2951,,-3.8039,,51
2011-11-10 01:30:00,,0.0,,-7.767699999999999,,119.56,,0.0597999999999999,,14.238,,8.7673,0.0002,0.8181,,0.0,,-0.0016999999999999,-7.767699999999999,,0.0002,,10.2,,-3.4492,,-26.97,,-5.5333,,-3.7783,,51
2011-11-10 01:45:00,,0.0,,-10.301,,119.47,,-0.081,,14.242,,8.6462,0.0001,0.7795999999999998,,-0.0001,,0.0005999999999999,-10.301,,0.0001,,9.9846,,-3.7128,,-26.97,,-5.5131,,-2.9567,,51
2011-11-10 02:00:00,,0.0,,-11.93,,119.64,,1.3434,,14.246,,8.5514,0.0001,0.7397,,-0.0001,,0.0,-11.93,,0.0001,,9.8326,,-1.7874,,-26.97,,-4.4927,,-2.3197,,51
2011-11-10 02:15:00,,0.0,,-6.4684,,119.59,,2.3439,,14.248,,8.5042,0.0001,0.6971,,0.0,,-0.0016,-6.4684,,0.0001,,9.9013,,-0.9405,,-26.97,,-3.2446,,-2.7002,,51
2011-11-10 02:30:00,,0.0,,-6.1632,,119.46,,2.8112,,14.249,,8.4944,0.0001,0.6617,,0.0,,-0.0025,-6.1632,,0.0001,,9.9011,,-0.7949,,-26.97,,-2.4805,,-2.4088,,51
2011-11-10 02:45:00,,0.0,,-5.1183,,119.47,,2.6136,,14.249,,8.5304,0.0002,0.6130999999999999,,0.0,,-0.0022,-5.1183,,0.0001,,9.9233,,-0.9405,,-26.97,,-2.5019,,-3.1764,,51
2011-11-10 03:00:00,,0.0,,-6.547,,119.44,,2.5612,,14.248,,8.589399999999998,0.0001,0.5554999999999999,,-0.0001,,-0.0006999999999999,-6.547,,0.0001,,9.9731,,-0.9405,,-26.97,,-3.1456,,-3.2642,,51
2011-11-10 03:15:00,,0.0,,-1.7385,,119.27,,2.4721,,14.246,,8.6554,0.0002,0.5141999999999999,,0.0,,-0.0025,-1.7385,,0.0001,,10.49,,-0.9405,,-26.97,,-3.6215,,-2.9613,,51
2011-11-10 03:30:00,,0.0,,-4.38,,119.5,,2.8794,,14.244,,8.7261,0.0002,0.4561999999999999,,-0.0001,,-0.001,-4.38,,0.0001,,10.124,,-0.9022,,-26.97,,-3.4384,,-3.5284,,51
2011-11-10 03:45:00,,0.0,,-7.333,,120.2,,2.9902,,14.24,,8.7828,0.0002,0.3967999999999999,,0.0,,-0.002,-7.333,,0.0001,,10.264,,-0.8103,,-26.97,,-2.6453,,-3.749,,51
2011-11-10 04:00:00,,0.0,,-6.8244,,119.93,,2.8824,,14.238,,8.8405,0.0001,0.3491,,-0.0001,,-0.0005999999999999,-6.8244,,0.0001,,10.066,,-0.9405,,-26.97,,-3.0619,,-3.8503,,51
2011-11-10 04:15:00,,0.0,,-1.7215,,119.67,,3.7607,,14.237,,8.8929,0.0001,0.3211999999999999,,-0.0001,,-0.0002999999999999,-1.7215,,0.0,,10.324,,0.8566,,-26.97,,-1.8685,,-3.1019,,51
2011-11-10 04:30:00,,0.0,,-4.1412,,119.54,,6.5399,,14.236,,8.9609,0.0001,0.2997,,0.0,,-0.0011999999999999,-4.1412,,0.0,,10.404,,4.224,,-26.97,,1.4061,,-2.4862,,51
2011-11-10 04:45:00,,0.0,,-5.3664,,119.37,,6.8765,,14.233,,9.0963,0.0001,0.2646,,-0.0001,,-0.0005999999999999,-5.3664,,0.0,,10.596,,5.0654,,-26.97,,2.9404,,-2.8509,,51
