measured_on,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__773,ac_volts__778,ambient_temp__780,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__772,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,inverter_temp_2__791,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,module_temp_5_1__4821,poa_irradiance__771,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,system_id
2011-05-27 00:00:00,0.0,-0.0230999999999999,-1.6374,-1.6605,120.9,11.225,,,,,,,,,,,,,,,13.929,19.362,0.0,0.1388,-0.0001,-0.0022,0.0,0.0,0.0,,,,12.237,21.217,8.8193,-26.97,7.4172,,-99999.0,,,,,,,51
2011-05-27 00:01:00,0.0,-3.0211,-3.1595,-6.1806,120.86,11.157,,,,,,,,,,,,,,,13.926,19.359,0.0002999999999999,0.1409999999999999,-0.0002999999999999,-0.0022,0.0,0.0,0.0,,,,11.674,20.532,8.8193,-26.97,7.323699999999999,,-99999.0,,,,,,,51
2011-05-27 00:02:00,0.0,0.9686,0.3229,1.2915,120.78,11.114,,,,,,,,,,,,,,,13.929,19.348,0.0,0.1409999999999999,-0.0004,-0.0022,0.0,0.0,0.0,,,,12.943,20.694,8.8193,-26.97,7.2747,,-99999.0,,,,,,,51
2011-05-27 00:03:00,0.0,-2.6291,-5.1659,-7.7949,120.99,11.083,,,,,,,,,,,,,,,13.929,19.345,0.0,0.1409999999999999,0.0,0.0064999999999999,0.0,0.0,0.0,,,,11.887,20.884,8.8193,-26.97,7.265799999999999,,-99999.0,,,,,,,51
2011-05-27 00:04:00,0.0,-7.2184,-0.4612,-7.6795,120.77,11.029,,,,,,,,,,,,,,,13.929,19.34,0.0,0.1366,-0.0004,0.0022,0.0,0.0,0.0,,,,12.412,20.39,8.8193,-26.97,7.1525,,-99999.0,,,,,,,51
2011-05-27 00:05:00,0.0,-3.4823,-5.1889,-8.6712,120.92,10.995,,,,,,,,,,,,,,,13.929,19.335,0.0002999999999999,0.1388,0.0001,-0.0022,0.0,0.0,0.0,,,,11.649,20.377,8.8193,-26.97,7.0342,,-99999.0,,,,,,,51
2011-05-27 00:06:00,0.0,-3.9897,-0.7379999999999999,-4.7277,120.73,10.94,,,,,,,,,,,,,,,13.93,19.331,0.0,0.1366,0.0,0.0022,0.0,0.0,0.0,,,,12.104,20.746,8.8193,-26.97,6.9496,,-99999.0,,,,,,,51
2011-05-27 00:07:00,0.0,-1.3607,-3.0211,-4.3817,120.82,10.888,,,,,,,,,,,,,,,13.93,19.32,0.0,0.1366,-0.0002999999999999,0.0,0.0,0.0,0.0,,,,12.238,20.455,8.8193,-26.97,6.8873,,-99999.0,,,,,,,51
2011-05-27 00:08:00,0.0,-1.9833,-2.6752,-4.6585,120.83,10.829,,,,,,,,,,,,,,,13.929,19.318,0.0,0.1388,-0.0001,0.0,0.0,0.0,0.0,,,,11.953,20.603,8.8193,-26.97,6.8363,,-99999.0,,,,,,,51
2011-05-27 00:09:00,0.0,-3.4823,-4.7738,-8.2562,120.93,10.726,,,,,,,,,,,,,,,13.931,19.312,0.0001,0.1388,0.0001,0.0022,0.0,0.0,0.0,,,,11.409,20.33,8.6376,-26.97,6.7513,,-99999.0,,,,,,,51
2011-05-27 00:10:00,0.0,-3.4593,-1.0609,-4.5201,120.73,10.641,,,,,,,,,,,,,,,13.931,19.306,0.0,0.1345,-0.0001,0.0,0.0,0.0,0.0,,,,11.618,20.471,8.6376,-26.97,6.7085,,-99999.0,,,,,,,51
2011-05-27 00:11:00,0.0,-0.6227,-2.7674,-3.3901,120.81,10.558,,,,,,,,,,,,,,,13.931,19.295,0.0,0.1345,-0.0001,-0.0022,0.0,0.0,0.0,,,,11.959,20.609,8.093099999999998,-26.97,6.6036,,-99999.0,,,,,,,51
2011-05-27 00:12:00,0.0,-1.1761,-1.2684,-2.4445,120.77,10.518,,,,,,,,,,,,,,,13.931,19.296,0.0001,0.1345,-0.0002999999999999,0.0022,0.0,0.0,0.0,,,,11.593,20.292,8.8193,-26.97,6.5729,,-99999.0,,,,,,,51
2011-05-27 00:13:00,0.0,-2.8828,-2.9289,-5.8116,120.8,10.486,,,,,,,,,,,,,,,13.931,19.284,0.0001,0.1366,-0.0004,0.0,0.0,0.0,0.0,,,,11.967,20.013,8.6376,-26.97,6.6532,,-99999.0,,,,,,,51
