measured_on,ac_current__588,ac_current__779,ac_power__584,ac_power__773,ac_voltage__587,ac_volts__778,ambient_temp__1333,ambient_temp__589,ambient_temp__780,biased_mod2_leakage_na__1343,biased_mod2_mvshunt__1342,biased_mod2_voltage__1341,biased_mod3_leakage_na__1346,biased_mod3_mvshunt__1345,biased_mod3_voltage__1344,biased_mod4_leakage_na__1349,biased_mod4_mvshunt__1348,biased_mod4_voltage__1347,biased_mod5_leakage_na__1352,biased_mod5_mvshunt__1351,biased_mod5_voltage__1350,biased_mod6_mvshunt__1354,biased_mod6_voltage__1353,control_module_temp__1329,das_battery_voltage__595,das_battery_voltage__790,das_temp__594,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__586,dc_pos_current__775,dc_pos_voltage__585,dc_pos_voltage__774,dc_power_1__786,dc_power__583,dc_power__772,gh_irradiance__1328,inverter_temp__593,inveter_temp__784,mod1_coulombs__1356,mod2_coulombs__1357,mod3_coulombs__1358,mod4_coulombs__1359,mod5_coulombs__1360,module_temp_1__590,module_temp_1__781,module_temp_2__591,module_temp_2__782,module_temp_3__592,module_temp_3__783,poa_irradiance__582,poa_irradiance__771,power_factor__596,precipitation__4818,relative_humidity__1334,unbiased_leakage_na__1340,unbiased_mppt_current__1336,unbiased_mppt_power__1337,unbiased_mppt_voltage__1335,unbiased_mvshunt__1339,unbiased_temp__1338,wetness_kohms__1330,wind_direction__1332,wind_speed__1331,system_id
2011-12-07 00:00:00,,0.0,,-3.8717,,119.46,,,-1.2055,,,,,,,,,,,,,,,,,14.332,,5.703,0.0001,0.6676999999999998,,-0.0001,,-0.0016999999999999,-3.8717,,0.0001,,,6.964,,,,,,,-2.7028,,-26.97,,-4.505,,-2.2561,,,,,,,,,,,,,51
2011-12-07 00:15:00,,0.0,,-1.4762,,119.47,,,0.4376999999999999,,,,,,,,,,,,,,,,,14.331,,5.6814,0.0001,0.5625,,-0.0002,,-0.0001,-1.4762,,0.0001,,,6.8362,,,,,,,-1.3052,,-26.97,,-3.7933,,-2.041,,,,,,,,,,,,,51
2011-12-07 00:30:00,,0.0,,-4.2697,,119.53,,,1.9949,,,,,,,,,,,,,,,,,14.332,,5.7072,0.0001,0.5344999999999999,,-0.0002999999999999,,0.0001,-4.2697,,0.0,,,6.6214,,,,,,,0.4595,,-26.97,,-1.3492,,-1.6772,,,,,,,,,,,,,51
2011-12-07 00:45:00,,0.0,,-9.9599,,119.85,,,1.4219,,,,,,,,,,,,,,,,,14.33,,5.7774,0.0001,0.5027,,0.0,,-0.0028999999999999,-9.9599,,0.0,,,6.6791,,,,,,,-0.0381999999999999,,-26.97,,-1.0165,,-2.2145,,,,,,,,,,,,,51
2011-12-07 01:00:00,,0.0,,-2.3153,,119.61,,,2.8635,,,,,,,,,,,,,,,,,14.328,,5.8762,0.0001,0.4766,,-0.0001,,-0.001,-2.3153,,0.0001,,,6.8842,,,,,,,1.4129,,-26.97,,-0.4177,,-2.1153,,,,,,,,,,,,,51
2011-12-07 01:15:00,,0.0,,-2.1762,,119.38,,,3.4647,,,,,,,,,,,,,,,,,14.325,,6.0242,0.0002,0.4672,,-0.0001,,-0.0015,-2.1762,,0.0001,,,7.2777,,,,,,,1.9752,,-26.97,,0.3612,,-2.1502,,,,,,,,,,,,,51
2011-12-07 01:30:00,,0.0,,-2.0466,,119.27,,,3.5655,,,,,,,,,,,,,,,,,14.321,,6.2057,0.0002,0.4293,,-0.0001,,-0.0004,-2.0466,,0.0001,,,7.2358,,,,,,,1.8039,,-26.97,,-0.1951,,-3.1828,,,,,,,,,,,,,51
2011-12-07 01:45:00,,0.0,,-3.8618,,119.17,,,2.6586,,,,,,,,,,,,,,,,,14.315,,6.3864,0.0001,0.3849,,0.0,,-0.0025,-3.8618,,0.0,,,7.4795,,,,,,,-0.0020999999999999,,-26.97,,-1.9509,,-3.7524,,,,,,,,,,,,,51
2011-12-07 02:00:00,,0.0,,-6.5623,,119.03,,,1.5037,,,,,,,,,,,,,,,,,14.312,,6.5364,0.0001,0.3708,,-0.0002,,-0.0011999999999999,-6.5623,,0.0,,,7.5734,,,,,,,-0.8357999999999999,,-26.97,,-2.9012,,-3.7592,,,,,,,,,,,,,51
2011-12-07 02:15:00,,0.0,,-3.8787,,118.97,,,0.0385,,,,,,,,,,,,,,,,,14.308,,6.6304,0.0001,0.3527,,-0.0002999999999999,,0.0001,-3.8787,,0.0,,,7.6863,,,,,,,-1.6367,,-26.97,,-3.6693,,-3.4709,,,,,,,,,,,,,51
