measured_on,ac_current__779,ac_meter_1_power_kw__1041,ac_meter_2_power_kw__1042,ac_power_1__788,ac_power_2__789,ac_power__1137,ac_power__773,ac_power_metered_kw__1040,ac_volts__778,ambient_temp__1053,ambient_temp__780,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__1136,dc_power__772,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,inv1_ac_power_kw__1043,inv1_dc_current__1045,inv1_dc_power__1134,inv1_dc_voltage__1044,inv1_temp__1046,inv2_ac_power_kw__1047,inv2_dc_current__1049,inv2_dc_power__1135,inv2_dc_voltage__1048,inv2_temp__1050,inverter_temp_2__791,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,module_temp_5_1__4821,module_temp__1056,poa_irradiance__1055,poa_irradiance__771,poa_irradiance_refcell__1054,refcell_temp__1052,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,wind_speed__1051,system_id
2011-06-18 00:00:00,0.0,,,-2.766,0.9681,,-1.7979,,120.1,,12.138,,,,,,,,,,,,,,,13.878,21.168,0.0001,0.2904999999999999,-0.0004,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,13.442,21.539,10.633,-26.97,8.760799999999998,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:01:00,0.0,,,4.0337,-6.016,,-1.9823,,120.59,,12.152,,,,,,,,,,,,,,,13.876,21.158,0.0002999999999999,0.2752999999999999,0.0001,0.0022,0.0,0.0001,,0.0001,,,,,,,,,,,,,,13.275,22.235,10.719,-26.97,8.7397,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:02:00,0.0,,,6.2927,-7.1916,,-0.8989,,120.44,,12.084,,,,,,,,,,,,,,,13.88,21.149,0.0,0.3295,0.0001,-0.0043,0.0,0.0,,0.0,,,,,,,,,,,,,,14.168,22.143,9.3326,-26.97,8.6593,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:03:00,0.0,,,-15.397,-15.029,,-30.426,,120.77,,11.946,,,,,,,,,,,,,,,13.88,21.14,0.0001,0.336,-0.0001,0.0,0.0,0.0001,,0.0001,,,,,,,,,,,,,,12.442,21.281,8.894999999999998,-26.97,8.593999999999998,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:04:00,0.0,,,1.1754,5.7394,,6.9149,,119.99,,11.924,,,,,,,,,,,,,,,13.88,21.128,0.0005999999999999,0.3489999999999999,-0.0001,0.0,0.0,0.0002,,0.0002,,,,,,,,,,,,,,14.073,22.305,8.8069,-26.97,8.538299999999998,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:05:00,0.0,,,-1.2678,-9.9579,,-11.226,,120.61,,11.916,,,,,,,,,,,,,,,13.88,21.116,0.0004,0.3446,0.0001,-0.0022,0.0,0.0002,,0.0002,,,,,,,,,,,,,,12.929,22.307,8.8069,-26.97,8.5001,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:06:00,0.0,,,-14.706,-12.032,,-26.738,,120.73,,11.883,,,,,,,,,,,,,,,13.88,21.104,0.0001,0.3577,0.0,0.0,0.0,0.0001,,0.0001,,,,,,,,,,,,,,12.257,21.525,8.8069,-26.97,8.497199999999998,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:07:00,0.0,,,-7.3992,-7.4221,,-14.821,,120.55,,11.861,,,,,,,,,,,,,,,13.881,21.094,0.0001,0.3598,0.0,-0.0022,0.0,0.0001,,0.0001,,,,,,,,,,,,,,12.974,21.905,8.8069,-26.97,8.560499999999998,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:08:00,0.0,,,2.9966,1.7057,,4.7023,,120.17,,11.863,,,,,,,,,,,,,,,13.88,21.085,0.0,0.3663,-0.0002999999999999,-0.0086999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,13.617,21.907,8.894999999999998,-26.97,8.5586,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:09:00,0.0,,,0.3687,-3.1808,,-2.8121,,120.4,,11.828,,,,,,,,,,,,,,,13.881,21.073,0.0001,0.388,0.0,-0.0022,0.0,0.0001,,0.0001,,,,,,,,,,,,,,13.601,22.002,8.8069,-26.97,8.483499999999998,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:10:00,0.0,,,-4.1721,-9.2892,,-13.462,,120.62,,11.727,,,,,,,,,,,,,,,13.881,21.064,0.0001,0.3901999999999999,0.0,-0.0022,0.0,0.0001,,0.0001,,,,,,,,,,,,,,13.116,21.532,8.8069,-26.97,8.4083,,,,-99999.0,,,,,,,,,,51
2011-06-18 00:11:00,0.0,,,-11.571,-8.229,,-19.8,,120.6,,11.662,,,,,,,,,,,,,,,13.881,21.051,0.0,0.3922999999999999,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,12.845,21.55,8.8069,-26.97,8.354699999999998,,,,-99999.0,,,,,,,,,,51
