measured_on,ac_current__251,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__247,ac_power__773,ac_voltage__250,ac_volts__778,ambient_temp__252,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__249,dc_pos_current__775,dc_pos_voltage__248,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__246,dc_power__772,inverter_temp_2__791,inverter_temp__256,inveter_temp__784,module_temp_1__253,module_temp_1__781,module_temp_2__254,module_temp_2__782,module_temp_3__255,module_temp_3__783,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__771,system_id
2011-06-01 00:00:00,,0.0,8.6655,0.4148999999999999,,9.0805,,119.94,,14.533,13.856,22.075,0.0005999999999999,0.0889,,-0.0001,,-0.0043,0.0,0.0001,,0.0001,15.274,,23.19,,11.216,,-26.97,,9.9942,,,,,,-99999.0,51
2011-06-01 00:01:00,,0.0,-1.5954,-2.6166,,-4.212,,120.22,,14.888,13.853,22.065,0.0005,0.0899999999999999,,-0.0001,,0.004,0.0,0.0,,0.0,14.19,,22.511,,12.779,,-26.97,,10.258,,,,,,-99999.0,51
2011-06-01 00:02:00,,0.0,-0.2995999999999999,1.8438,,1.5442,,119.86,,15.174,13.857,22.053,0.0,0.0824,,0.0,,0.0,0.0,0.0,,0.0,14.484,,23.12,,12.853,,-26.97,,10.432,,,,,,-99999.0,51
2011-06-01 00:03:00,,0.0,1.2675,3.0883,,4.3558,,119.82,,15.285,13.857,22.048,0.0001,0.0932,,-0.0001,,-0.0022,0.0,0.0,,0.0,14.775,,22.931,,12.853,,-26.97,,10.569,,,,,,-99999.0,51
2011-06-01 00:04:00,,0.0,-1.2213,0.4148999999999999,,-0.8064,,119.91,,15.218,13.856,22.038,0.0004,0.0932,,0.0,,0.0,0.0,0.0,,0.0,14.691,,23.024,,12.853,,-26.97,,10.628,,,,,,-99999.0,51
2011-06-01 00:05:00,,0.0,-4.7017,-14.266,,-18.968,,120.47,,15.043,13.857,22.027,-0.0001,0.0866999999999999,,0.0,,-0.0022,0.0,0.0,,0.0,14.172,,23.252,,12.853,,-26.97,,10.749,,,,,,-99999.0,51
2011-06-01 00:06:00,,0.0,2.374,-10.371,,-7.997099999999999,,120.32,,14.939,13.857,22.019,0.0005999999999999,0.0845,,0.0,,-0.0022,0.0,0.0001,,0.0001,14.466,,22.581,,12.853,,-26.97,,10.858,,,,,,-99999.0,51
2011-06-01 00:07:00,,0.0,-1.4981,-13.275,,-14.773,,120.47,,14.989,13.857,22.011,0.0001,0.078,,0.0,,0.0,0.0,0.0,,0.0,14.273,,22.816,,12.853,,-26.97,,10.968,,,,,,-99999.0,51
2011-06-01 00:08:00,,0.0,-8.2741,-2.5352,,-10.809,,120.08,,14.984,13.857,22.005,0.0001,0.0866999999999999,,-0.0001,,0.0022,0.0,0.0,,0.0,14.791,,22.753,,12.853,,-26.97,,11.085,,,,,,-99999.0,51
2011-06-01 00:09:00,,0.0,2.2818,-5.0014,,-2.7197,,120.08,,15.061,13.857,21.993,0.0004,0.0824,,0.0001,,-0.0022,0.0,0.0,,0.0,14.558,,21.514,,12.853,,-26.97,,11.1,,,,,,-99999.0,51
