measured_on,ac_current__251,ac_current__669,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__247,ac_power__665,ac_power__773,ac_voltage__250,ac_voltage__668,ac_volts__778,ambient_temp__252,ambient_temp__670,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__4685,dc_neg_current__777,dc_neg_voltage__4684,dc_neg_voltage__776,dc_pos_current__249,dc_pos_current__667,dc_pos_current__775,dc_pos_voltage__248,dc_pos_voltage__666,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__246,dc_power__664,dc_power__772,dc_power_neg__4686,inverter_temp_2__791,inverter_temp__256,inverter_temp__673,inveter_temp__784,module_temp_1__253,module_temp_1__671,module_temp_1__781,module_temp_2__254,module_temp_2__672,module_temp_2__782,module_temp_3__255,module_temp_3__4687,module_temp_3__783,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__663,poa_irradiance__771,system_id
2011-09-23 00:00:00,,,0.0,-13.045,-7.398399999999999,,,-20.443,,,120.7,,,18.193,13.856,21.934,,0.0,,0.0563999999999999,,,-0.0001,,,0.0022,0.0,0.0,,,0.0,,12.788,,,21.292,,,16.499,,,-26.97,,,14.647,,,,,,,-99999.0,51
2011-09-23 00:01:00,,,0.0,-6.7531,-5.9693,,,-12.722,,,120.43,,,18.206,13.853,21.938,,0.0,,0.0606999999999999,,,-0.0002999999999999,,,0.0,0.0,0.0,,,0.0,,13.475,,,22.061,,,16.499,,,-26.97,,,14.652,,,,,,,-99999.0,51
2011-09-23 00:02:00,,,0.0,0.3226999999999999,-2.1896,,,-1.8669,,,120.51,,,18.144,13.856,21.933,,-0.0001,,0.0606999999999999,,,-0.0001,,,-0.0022,0.0,0.0,,,0.0,,13.733,,,21.579,,,16.499,,,-26.97,,,14.584,,,,,,,-99999.0,51
2011-09-23 00:03:00,,,0.0,-2.3279,0.2535,,,-2.0743,,,120.45,,,18.09,13.857,21.933,,0.0001,,0.0585,,,-0.0001,,,0.0,0.0,0.0,,,0.0,,13.356,,,21.75,,,16.499,,,-26.97,,,14.537,,,,,,,-99999.0,51
2011-09-23 00:04:00,,,0.0,-10.925,-12.584,,,-23.509,,,120.98,,,18.068,13.857,21.934,,0.0,,0.0563999999999999,,,0.0,,,0.0022,0.0,0.0,,,0.0,,13.181,,,21.786,,,16.499,,,-26.97,,,14.532,,,,,,,-99999.0,51
2011-09-23 00:05:00,,,0.0,-9.5418,0.0922,,,-9.4497,,,120.47,,,18.111,13.856,21.934,,0.0,,0.0585,,,0.0,,,0.0022,0.0,0.0,,,0.0,,13.358,,,21.874,,,16.499,,,-26.97,,,14.602,,,,,,,-99999.0,51
2011-09-23 00:06:00,,,0.0,-4.3099,-6.5686,,,-10.879,,,120.75,,,18.195,13.857,21.934,,0.0,,0.0563999999999999,,,-0.0001,,,0.0,0.0,0.0,,,0.0,,13.609,,,21.793,,,16.499,,,-26.97,,,14.688,,,,,,,-99999.0,51
2011-09-23 00:07:00,,,0.0,-4.0103,-1.7978,,,-5.8081,,,120.61,,,18.238,13.856,21.936,,0.0,,0.0585,,,0.0001,,,-0.0022,0.0,0.0,,,0.0,,13.142,,,21.768,,,16.499,,,-26.97,,,14.744,,,,,,,-99999.0,51
2011-09-23 00:08:00,,,0.0,-3.2728,-11.824,,,-15.097,,,121.0,,,18.28,13.856,21.935,,0.0,,0.0563999999999999,,,0.0,,,0.0,0.0,0.0,,,0.0,,13.616,,,22.099,,,16.499,,,-26.97,,,14.835,,,,,,,-99999.0,51
2011-09-23 00:09:00,,,0.0,0.9912,4.5405,,,5.5317,,,120.28,,,18.482,13.857,21.937,,0.0002999999999999,,0.0541999999999999,,,0.0001,,,0.0,0.0,0.0,,,0.0,,14.416,,,22.382,,,16.571,,,-26.97,,,15.014,,,,,,,-99999.0,51
2011-09-23 00:10:00,,,0.0,3.5494,-5.1858,,,-1.6365,,,120.68,,,18.596,13.856,21.936,,-0.0001,,0.0585,,,0.0,,,-0.0022,0.0,0.0,,,0.0,,13.798,,,22.313,,,16.499,,,-26.97,,,15.128,,,,,,,-99999.0,51
2011-09-23 00:11:00,,,0.0,-0.7835999999999999,0.3457,,,-0.4379,,,120.47,,,18.631,13.857,21.929,,0.0,,0.0541999999999999,,,0.0,,,0.0,0.0,0.0,,,0.0,,13.895,,,21.945,,,16.786,,,-26.97,,,15.228,,,,,,,-99999.0,51
2011-09-23 00:12:00,,,0.0,-8.9427,-0.5762,,,-9.5189,,,120.53,,,18.604,13.857,21.923,,0.0004,,0.0563999999999999,,,0.0,,,0.0,0.0,0.0,,,0.0,,13.497,,,21.836,,,17.708,,,-26.97,,,15.25,,,,,,,-99999.0,51
