measured_on,ac_current__633,ac_current__779,ac_power__629,ac_power__773,ac_voltage__632,ac_volts__778,ambient_temp__634,ambient_temp__780,das_battery_voltage__790,das_temp__662,das_temperature__785,dc_current__631,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power__628,dc_power__772,dc_voltage__630,inv_temp__661,inveter_temp__784,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__781,module_temp_2__782,module_temp_3__783,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__771,reflector_temp_1__638,system_id
2011-12-11 00:00:00,,0.0,,-5.7451,,119.22,,0.3861,13.908,,20.171,,0.0001,1.0037,0.0,-0.0016999999999999,-5.7451,,0.0001,,,20.531,,,,,,,,,,,,,,,,,,,-1.2402,-26.97,-3.717,,,,,,,,,-3.5491,,51
2011-12-11 00:15:00,,0.0,,-5.0056,,119.47,,0.1026,13.909,,20.13,,0.0,0.9706,-0.0001,-0.0014,-5.0056,,0.0,,,20.431,,,,,,,,,,,,,,,,,,,-2.0009,-26.97,-4.3859,,,,,,,,,-3.7272,,51
2011-12-11 00:30:00,,0.0,,-4.7491,,119.47,,-0.9235,13.91,,20.095,,0.0002,0.9765,-0.0001,-0.0002999999999999,-4.7491,,0.0002,,,20.289,,,,,,,,,,,,,,,,,,,-3.3913,-26.97,-5.1792,,,,,,,,,-3.7805,,51
2011-12-11 00:45:00,,0.0,,-6.9016,,119.56,,-1.2376,13.911,,20.061,,0.0001,0.9515,-0.0001,-0.0005999999999999,-6.9016,,0.0001,,,20.357,,,,,,,,,,,,,,,,,,,-3.9023,-26.97,-5.9637,,,,,,,,,-3.8547,,51
2011-12-11 01:00:00,,0.0,,-9.3385,,119.79,,-0.8440999999999999,13.912,,20.031,,0.0001,0.9451,-0.0002,-0.0004,-9.3385,,0.0001,,,20.076,,,,,,,,,,,,,,,,,,,-3.8936,-26.97,-5.9025,,,,,,,,,-3.2978,,51
2011-12-11 01:15:00,,0.0,,-8.463699999999998,,119.87,,-1.4536,13.912,,20.001,,0.0001,0.9466,-0.0001,-0.0004,-8.463699999999998,,0.0001,,,20.208,,,,,,,,,,,,,,,,,,,-3.8934,-26.97,-6.3729,,,,,,,,,-3.4999,,51
2011-12-11 01:30:00,,0.0,,-5.5625,,119.74,,-0.5589,13.912,,19.971,,0.0,0.9164,-0.0002,-0.0011999999999999,-5.5625,,0.0,,,20.218,,,,,,,,,,,,,,,,,,,-2.9366,-26.97,-4.9458,,,,,,,,,-2.6455,,51
2011-12-11 01:45:00,,0.0,,-5.4856,,119.76,,0.3049,13.913,,19.939,,0.0001,0.8672999999999998,-0.0001,-0.0006999999999999,-5.4856,,0.0001,,,20.429,,,,,,,,,,,,,,,,,,,-0.9834,-26.97,-3.4354,,,,,,,,,-2.4524,,51
2011-12-11 02:00:00,,0.0,,-5.5225,,119.78,,-0.8268999999999999,13.915,,19.901,,0.0001,0.8440999999999999,-0.0001,-0.0008999999999999,-5.5225,,0.0001,,,20.261,,,,,,,,,,,,,,,,,,,-1.2649,-26.97,-3.5778,,,,,,,,,-2.677,,51
2011-12-11 02:15:00,,0.0,,-6.6326,,119.86,,-1.5232,13.915,,19.853,,0.0,0.8134,-0.0002,-0.0014,-6.6326,,0.0,,,19.955,,,,,,,,,,,,,,,,,,,-3.8913,-26.97,-5.6335,,,,,,,,,-4.1187,,51
2011-12-11 02:30:00,,0.0,,-5.6609,,119.83,,-2.4204,13.916,,19.802,,0.0001,0.7733999999999999,-0.0001,-0.001,-5.6609,,0.0001,,,20.168,,,,,,,,,,,,,,,,,,,-5.0958,-26.97,-6.9248,,,,,,,,,-3.5842,,51
2011-12-11 02:45:00,,0.0,,-12.999,,119.96,,-2.9331,13.917,,19.766,,0.0001,0.7395,-0.0001,-0.0006999999999999,-12.999,,0.0001,,,19.876,,,,,,,,,,,,,,,,,,,-6.1998,-26.97,-7.466199999999999,,,,,,,,,-3.3372,,51
2011-12-11 03:00:00,,0.0,,-6.2884,,119.83,,-3.0075,13.918,,19.735,,0.0001,0.7036999999999999,-0.0002,-0.0004,-6.2884,,0.0001,,,20.028,,,,,,,,,,,,,,,,,,,-6.6371,-26.97,-7.8373,,,,,,,,,-3.4259,,51
2011-12-11 03:15:00,,0.0,,-5.8672,,119.81,,-3.1059,13.919,,19.704,,0.0001,0.682,-0.0001,-0.0011999999999999,-5.8672,,0.0001,,,20.149,,,,,,,,,,,,,,,,,,,-5.3487,-26.97,-7.6426,,,,,,,,,-3.2149,,51
2011-12-11 03:30:00,,0.0,,-11.437,,119.86,,-3.0878,13.921,,19.671,,0.0001,0.6197,0.0,-0.0014,-11.437,,0.0,,,20.233,,,,,,,,,,,,,,,,,,,-4.8098,-26.97,-7.5014,,,,,,,,,-3.1037,,51
2011-12-11 03:45:00,,0.0,,-5.1662,,119.77,,-2.4876,13.922,,19.635,,0.0001,0.5762,-0.0001,-0.001,-5.1662,,0.0,,,19.959,,,,,,,,,,,,,,,,,,,-3.9338,-26.97,-6.9353,,,,,,,,,-2.7815,,51
2011-12-11 04:00:00,,0.0,,2.3756,,119.66,,-1.575,13.923,,19.598,,0.0002,0.5418,0.0,-0.0016999999999999,2.3756,,0.0001,,,20.295,,,,,,,,,,,,,,,,,,,-3.8907,-26.97,-5.7814,,,,,,,,,-2.4783,,51
2011-12-11 04:15:00,,0.0,,-6.8176,,119.73,,-1.4152,13.923,,19.561,,0.0,0.4829,-0.0001,0.0005999999999999,-6.8176,,0.0,,,20.054,,,,,,,,,,,,,,,,,,,-3.8907,-26.97,-5.5639,,,,,,,,,-2.9601,,51
