measured_on,ac_current__779,ac_volts__778,dc_neg_current__777,dc_pos_current__775,dc_pos_voltage__774,dc_power__772,system_id
2018-10-17 00:00:00,0.0,,,,,,51
2018-10-17 00:01:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 00:02:00,0.0,,0.0,,,0.0,51
2018-10-17 00:03:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 00:04:00,0.0,,,,,,51
2018-10-17 00:05:00,0.0,,,,,,51
2018-10-17 00:06:00,0.0,,,0.0,,,51
2018-10-17 00:07:00,0.0,,,0.0,,,51
2018-10-17 00:08:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 00:09:00,0.0,,,,,,51
2018-10-17 00:10:00,0.0,,,,0.0,,51
2018-10-17 00:11:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 00:12:00,0.0,,,0.0,0.0,,51
2018-10-17 00:13:00,0.0,,,0.0,0.0,,51
2018-10-17 00:14:00,0.0,,,0.0,0.0,,51
2018-10-17 00:15:00,0.0,,,,0.0,,51
2018-10-17 00:16:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 00:17:00,0.0,,,,,,51
2018-10-17 00:18:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 00:19:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:20:00,0.0,,,,,,51
2018-10-17 00:21:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:22:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 00:23:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:24:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:25:00,0.0,,,,,,51
2018-10-17 00:26:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:27:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 00:28:00,0.0,,,,0.0,,51
2018-10-17 00:29:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:30:00,0.0,,,0.0,,,51
2018-10-17 00:31:00,0.0,,,0.0,,,51
2018-10-17 00:32:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:33:00,0.0,,0.0,0.0,0.0,0.0,51
