measured_on,ac_current__411,ac_current__427,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__407,ac_power__423,ac_power__773,ac_voltage__410,ac_voltage__426,ac_volts__778,ambient_temp__412,ambient_temp__428,ambient_temp__780,das_battery_voltage__434,das_battery_voltage__790,das_temp__433,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__409,dc_pos_current__425,dc_pos_current__775,dc_pos_voltage__408,dc_pos_voltage__424,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__406,dc_power__422,dc_power__772,inverter_temp_2__791,inverter_temp__416,inverter_temp__432,inveter_temp__784,module_temp_1__413,module_temp_1__429,module_temp_1__781,module_temp_2__414,module_temp_2__430,module_temp_2__782,module_temp_3__415,module_temp_3__431,module_temp_3__783,module_temp_4__417,module_temp_5__418,module_temp_6__419,module_temp_7__420,poa_irradiance__405,poa_irradiance__421,poa_irradiance__771,system_id
2011-07-29 00:00:00,,,0.0,-9.9906,-0.8056999999999999,,,-10.796,,,120.35,,,20.132,,13.735,,26.561,0.0,0.0086999999999999,,,-0.0004,,,0.0022,0.0,0.0,,,0.0,15.244,,,23.727,,,19.804,,,-26.97,,,17.889,,,,,,,-99999.0,51
2011-07-29 00:01:00,,,0.0,-2.5091,4.5577,,,2.0487,,,120.17,,,20.177,,13.734,,26.548,0.0001,0.0064999999999999,,,-0.0002999999999999,,,-0.0022,0.0,0.0,,,0.0,15.543,,,24.172,,,19.804,,,-26.97,,,17.881,,,,,,,-99999.0,51
2011-07-29 00:02:00,,,0.0,2.5783,-10.129,,,-7.5504,,,120.52,,,20.188,,13.736,,26.544,0.0004,0.0217,,,0.0001,,,-0.0043,0.0,0.0,,,0.0,16.691,,,24.257,,,19.803,,,-26.97,,,17.877,,,,,,,-99999.0,51
2011-07-29 00:03:00,,,0.0,-11.211,-14.479,,,-25.69,,,120.7,,,20.186,,13.736,,26.532,0.0002999999999999,0.0129999999999999,,,0.0,,,0.0,0.0,0.0,,,0.0,15.273,,,23.79,,,19.803,,,-26.97,,,17.876,,,,,,,-99999.0,51
2011-07-29 00:04:00,,,0.0,-15.861,-8.6553,,,-24.516,,,120.5,,,20.191,,13.736,,26.522,0.0,0.0086999999999999,,,-0.0002999999999999,,,0.0,0.0,0.0,,,0.0,14.591,,,23.556,,,19.803,,,-26.97,,,17.895,,,,,,,-99999.0,51
2011-07-29 00:05:00,,,0.0,7.0671,-0.2530999999999999,,,6.8141,,,120.16,,,20.209,,13.737,,26.516,0.0,0.0129999999999999,,,0.0001,,,-0.0022,0.0,0.0,,,0.0,16.802,,,24.706,,,19.804,,,-26.97,,,17.873,,,,,,,-99999.0,51
2011-07-29 00:06:00,,,0.0,-3.4989,-1.5194,,,-5.0183,,,120.15,,,20.156,,13.737,,26.503,0.0,0.0129999999999999,,,-0.0001,,,-0.0043,0.0,0.0,,,0.0,16.005,,,23.733,,,19.804,,,-26.97,,,17.843,,,,,,,-99999.0,51
2011-07-29 00:07:00,,,0.0,-2.0948,-10.842,,,-12.937,,,120.48,,,20.136,,13.737,,26.497,0.0,0.0152,,,0.0001,,,-0.0043,0.0,0.0,,,0.0,16.312,,,24.406,,,19.804,,,-26.97,,,17.829,,,,,,,-99999.0,51
2011-07-29 00:08:00,,,0.0,-9.4613,-7.8269,,,-17.288,,,120.4,,,20.109,,13.737,,26.487,0.0001,0.0064999999999999,,,-0.0001,,,0.0,0.0,0.0,,,0.0,15.526,,,24.105,,,19.805,,,-26.97,,,17.791,,,,,,,-99999.0,51
2011-07-29 00:09:00,,,0.0,1.8186,-2.6013,,,-0.7827,,,120.16,,,20.099,,13.738,,26.479,0.0,0.0129999999999999,,,-0.0004,,,0.0043,0.0,0.0,,,0.0,16.841,,,24.08,,,19.805,,,-26.97,,,17.773,,,,,,,-99999.0,51
2011-07-29 00:10:00,,,0.0,-2.6703,0.4375,,,-2.2329,,,120.07,,,20.078,,13.739,,26.471,0.0001,0.0108,,,0.0,,,0.0043,0.0,0.0,,,0.0,15.474,,,24.311,,,19.807,,,-26.97,,,17.74,,,,,,,-99999.0,51
2011-07-29 00:11:00,,,0.0,-6.0773,-6.2154,,,-12.293,,,120.35,,,20.026,,13.739,,26.458,0.0,0.0108,,,0.0001,,,0.0,0.0,0.0,,,0.0,15.775,,,24.61,,,19.806,,,-26.97,,,17.715,,,,,,,-99999.0,51
2011-07-29 00:12:00,,,0.0,0.8518,2.7394,,,3.5911,,,119.98,,,20.08,,13.739,,26.451,0.0001,0.0129999999999999,,,-0.0002999999999999,,,0.0,0.0,0.0,,,0.0,15.317,,,25.775,,,19.806,,,-26.97,,,17.742,,,,,,,-99999.0,51
2011-07-29 00:13:00,,,0.0,-4.8342,-4.581,,,-9.4153,,,120.29,,,20.089,,13.739,,26.443,0.0001,0.0108,,,-0.0002999999999999,,,-0.0043,0.0,0.0,,,0.0,16.411,,,24.032,,,19.805,,,-26.97,,,17.739,,,,,,,-99999.0,51
2011-07-29 00:14:00,,,0.0,0.023,-4.1666,,,-4.1436,,,120.32,,,20.045,,13.739,,26.433,0.0002999999999999,0.0086999999999999,,,0.0002999999999999,,,-0.0022,0.0,0.0,,,0.0,16.601,,,24.209,,,19.806,,,-26.97,,,17.736,,,,,,,-99999.0,51
2011-07-29 00:15:00,,,0.0,-1.128,-4.9493,,,-6.0773,,,120.38,,,20.043,,13.739,,26.428,0.0001,0.0152,,,0.0001,,,-0.0043,0.0,0.0,,,0.0,15.726,,,24.945,,,19.807,,,-26.97,,,17.77,,,,,,,-99999.0,51
2011-07-29 00:16:00,,,0.0,-6.0773,-2.8545,,,-8.9319,,,120.25,,,20.056,,13.739,,26.415,0.0001,0.0129999999999999,,,0.0002999999999999,,,0.0,0.0,0.0,,,0.0,15.392,,,23.929,,,19.807,,,-26.97,,,17.774,,,,,,,-99999.0,51
2011-07-29 00:17:00,,,0.0,-1.0589,-1.5424,,,-2.6013,,,120.21,,,20.061,,13.739,,26.407,0.0,0.0129999999999999,,,0.0,,,-0.0064999999999999,0.0,0.0,,,0.0,15.926,,,24.531,,,19.807,,,-26.97,,,17.798,,,,,,,-99999.0,51
