measured_on,ac_current__779,ac_meter_1_power_kw__1017,ac_meter_2_power_kw__1018,ac_power__773,ac_power_metered_1_2__1133,ac_power_metered_kw__1016,ac_volts__778,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power__1132,dc_power__772,inv1_ac_power_kw__1019,inv1_dc_current__1021,inv1_dc_power__1130,inv1_dc_voltage__1020,inv1_temp__1022,inv2_ac_power_kw__1023,inv2_dc_current__1025,inv2_dc_power__1131,inv2_dc_voltage__1024,inv2_temp__1026,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,system_id
2012-09-18 00:00:00,0.0,,,-13.086,,,119.39,10.786,13.998,16.757,0.0001,0.1673999999999999,-0.0001,-0.0019,-13.086,,0.0,,,,,,,,,,,17.85,10.567,-26.97,7.219,-2.8367,51
2012-09-18 00:15:00,0.0,,,-6.9773,,,119.33,10.602,14.0,16.671,0.0001,0.1666,-0.0002,-0.0011999999999999,-6.9773,,0.0,,,,,,,,,,,17.67,10.475,-26.97,7.0952,-2.8312,51
2012-09-18 00:30:00,0.0,,,-8.8742,,,119.38,10.315,14.003,16.585,0.0002,0.1613999999999999,-0.0002,-0.0011999999999999,-8.8742,,0.0,,,,,,,,,,,17.584,9.2562,-26.97,6.7153,-3.0244,51
2012-09-18 00:45:00,0.0,,,-4.289,,,119.38,9.7417,14.005,16.5,0.0002,0.1719999999999999,-0.0002,-0.0023,-4.289,,0.0,,,,,,,,,,,17.758,4.9309,-26.97,5.9232,-3.0615,51
2012-09-18 01:00:00,0.0,,,-9.4693,,,119.56,9.737100000000002,14.008,16.408,0.0002,0.1782,0.0,-0.0002999999999999,-9.4693,,0.0,,,,,,,,,,,17.609,4.4644,-26.97,6.1651,-2.6953,51
2012-09-18 01:15:00,0.0,,,-6.2326,,,119.32,10.563,14.012,16.289,0.0,0.1754,-0.0002999999999999,-0.0001,-6.2326,,0.0,,,,,,,,,,,17.663,10.275,-26.97,7.4551,-1.9921,51
2012-09-18 01:30:00,0.0,,,-5.0571,,,119.29,10.869,14.016,16.172,0.0001,0.1675,-0.0002999999999999,-0.001,-5.0571,,0.0,,,,,,,,,,,17.499,10.915,-26.97,7.9139,-2.3461,51
2012-09-18 01:45:00,0.0,,,-5.1464,,,119.39,10.852,14.018,16.092,0.0002,0.1608999999999999,-0.0001,-0.0011999999999999,-5.1464,,0.0,,,,,,,,,,,17.325,10.71,-26.97,7.2465,-3.1867,51
2012-09-18 02:00:00,0.0,,,-8.5281,,,119.45,10.631,14.019,16.047,0.0002,0.1699,-0.0002,-0.0005999999999999,-8.5281,,0.0,,,,,,,,,,,17.261,10.219,-26.97,6.8356,-3.2136,51
2012-09-18 02:15:00,0.0,,,-4.6894,,,119.3,10.673,14.02,16.005,0.0,0.1728,-0.0004,0.0,-4.6894,,0.0,,,,,,,,,,,17.325,10.647,-26.97,7.4989,-2.472,51
2012-09-18 02:30:00,0.0,,,-6.0587,,,119.32,11.04,14.022,15.934,0.0,0.1706,-0.0002999999999999,-0.0008999999999999,-6.0587,,0.0,,,,,,,,,,,16.993,10.915,-26.97,8.243299999999998,-2.1956,51
2012-09-18 02:45:00,0.0,,,-2.854,,,119.29,10.767,14.025,15.869,0.0004,0.1849,-0.0001,-0.002,-2.854,,0.0001,,,,,,,,,,,17.14,10.87,-26.97,7.8145,-2.889,51
2012-09-18 03:00:00,0.0,,,-4.8465,,,119.2,10.671,14.026,15.827,0.0002,0.1869,-0.0002999999999999,0.0012999999999999,-4.8465,,0.0,,,,,,,,,,,17.181,10.482,-26.97,7.2523,-3.225,51
2012-09-18 03:15:00,0.0,,,-4.8374,,,119.3,11.128,14.027,15.797,0.0001,0.189,-0.0004,0.0001,-4.8374,,0.0,,,,,,,,,,,16.892,10.917,-26.97,7.956699999999999,-2.4732,51
2012-09-18 03:30:00,0.0,,,-4.8068,,,119.28,11.067,14.028,15.755,0.0001,0.1875,-0.0002,-0.0016999999999999,-4.8068,,0.0,,,,,,,,,,,16.997,10.918,-26.97,8.3489,-2.3271,51
2012-09-18 03:45:00,0.0,,,-5.267,,,119.12,10.91,14.03,15.712,0.0,0.1922,-0.0002999999999999,0.0005999999999999,-5.267,,0.0,,,,,,,,,,,16.855,10.544,-26.97,7.8642,-3.0092,51
2012-09-18 04:00:00,0.0,,,-4.1624,,,118.97,9.6607,14.032,15.686,0.0001,0.1890999999999999,-0.0002999999999999,-0.0004,-4.1624,,0.0,,,,,,,,,,,16.884,8.8353,-26.97,5.7337,-4.3218,51
2012-09-18 04:15:00,0.0,,,-4.9134,,,118.94,10.242,14.033,15.642,0.0,0.1918999999999999,-0.0002999999999999,-0.0001,-4.9134,,0.0,,,,,,,,,,,16.817,9.3493,-26.97,5.9161,-3.0342,51
2012-09-18 04:30:00,0.0,,,-4.9687,,,119.02,10.665,14.035,15.593,0.0,0.2189,-0.0004,-0.0015,-4.9687,,0.0,,,,,,,,,,,16.721,10.412,-26.97,6.7893,-2.6038,51
2012-09-18 04:45:00,0.0,,,-5.0611,,,118.78,10.36,14.037,15.556,0.0,0.2601999999999999,-0.0002999999999999,0.0006999999999999,-5.0611,,0.0,,,,,,,,,,,16.74,9.5228,-26.97,6.2245,-3.1926,51
2012-09-18 05:00:00,0.0,,,-4.7749,,,119.03,9.1496,14.038,15.51,0.0001,0.3486,-0.0002999999999999,-0.0004,-4.7749,,0.0,,,,,,,,,,,16.918,7.2966,-26.97,4.7358,-3.4544,51
2012-09-18 05:15:00,0.0,,,-4.1055,,,118.84,10.637,14.04,15.447,0.0001,1.7922,-0.0002,0.5295999999999998,-4.1055,,0.0002,,,,,,,,,,,16.829,10.309,-26.97,6.4349,-2.1566,51
2012-09-18 05:30:00,0.0,,,-4.3101,,,118.91,10.077,14.041,15.398,0.0,36.679,-0.0005,35.988,-4.3101,,-0.0236999999999999,,,,,,,,,,,16.572,9.0059,-26.97,6.2031,-2.4487,51
2012-09-18 05:45:00,0.0,,,-6.5553,,,118.79,10.37,14.043,15.359,0.0117,126.51,0.0035999999999999,126.3,-6.5553,,1.8061,,,,,,,,,,,16.702,9.8685,-26.97,6.3782,-0.6226,51
2012-09-18 06:00:00,0.0,,,-4.5517,,,118.9,11.078,14.044,15.328,0.0724999999999999,210.98,0.0521,205.33,-4.5517,,25.654,,,,,,,,,,,16.55,10.919,-26.97,8.016899999999998,14.435,51
2012-09-18 06:15:00,0.0,,,216.07,,,118.84,11.083,14.044,15.317,0.6682,218.47,0.648,208.45,216.07,,285.82,,,,,,,,,,,16.531,10.919,-26.97,8.899,63.123,51
2012-09-18 06:30:00,0.0,,,620.04,,,118.84,11.549,14.044,15.343,1.5631,234.79,1.5379,228.11,620.04,,718.84,,,,,,,,,,,16.51,11.434,-26.97,11.091,134.01,51
2012-09-18 06:45:00,0.0,,,1097.5,,,119.17,12.457,14.043,15.406,2.6081,239.3,2.5908,232.15,1097.5,,1225.5,,,,,,,,,,,16.57,12.877,-26.97,14.432,207.49,51
2012-09-18 07:00:00,0.0,,,1570.9,,,119.03,12.506,14.04,15.541,3.6806,239.39,3.67,232.63,1570.9,,1734.6,,,,,,,,,,,16.674,13.088,-26.97,17.944,282.17,51
2012-09-18 07:15:00,0.0,,,2061.0,,,118.74,13.41,14.036,15.728,4.808,237.13,4.7865,231.68,2061.0,,2248.5,,,,,,,,,,,16.821,14.531,-26.97,20.89,360.62,51
2012-09-18 07:30:00,0.0,,,2523.6,,,118.91,14.415,14.031,15.973,5.9392,233.66,5.9287,227.94,2523.6,,2738.5,,,,,,,,,,,16.977,15.922,-26.97,24.533,436.55,51
2012-09-18 07:45:00,0.0,,,2923.8,,,119.13,15.231,14.021,16.283,7.01,229.65,7.0126,224.05,2923.8,,3179.8,,,,,,,,,,,16.973,17.066,-26.97,28.321,509.42,51
