measured_on,ac_current__779,ac_power__773,ac_volts__778,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power__772,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,system_id
2017-01-16 00:00:00,0.0,13.001,120.04,-1.0995,14.256,7.2911,0.0004299999999999,0.62218,-0.0001399999999999,0.00217,13.001,0.0002599999999999,7.7214,-0.9268,-26.97,-1.2392,-0.32099,51
2017-01-16 00:01:00,0.0,2.8455,120.43,-1.1013,14.255,7.2885,0.00029,0.6287099999999999,0.0001399999999999,0.0,2.8455,0.00018,6.9886,-0.9268,-26.97,-1.2464,-0.2872,51
2017-01-16 00:02:00,0.0,13.071,120.0,-1.1101,14.255,7.2885,-0.0001399999999999,0.63088,-0.0004299999999999,-0.0043499999999999,13.071,-8e-05,7.9082,-0.9268,-26.97,-1.2419,-0.3040999999999999,51
2017-01-16 00:03:00,0.0,-19.595,120.57,-1.1118,14.255,7.2885,0.0,0.6178299999999999,-0.0004299999999999,0.0043499999999999,-19.595,0.0,7.0733,-0.9268,-26.97,-1.2426,-0.2872,51
2017-01-16 00:04:00,0.0,-10.734,120.22,-1.1065,14.256,7.2885,0.0,0.61348,0.0,0.0,-10.734,0.0,7.0318,-0.9268,-26.97,-1.2478,-0.25341,51
2017-01-16 00:05:00,0.0,-3.9096,120.45,-1.1034,14.257,7.2885,-0.0001399999999999,0.60913,-0.0001399999999999,0.00217,-3.9096,-9e-05,7.4668,-0.9268,-26.97,-1.2523,-0.25341,51
2017-01-16 00:06:00,0.0,13.372,120.01,-1.1104,14.256,7.2885,0.00029,0.6069499999999999,0.0,0.0065199999999999,13.372,0.00018,7.5467,-0.9268,-26.97,-1.2464,-0.23652,51
2017-01-16 00:07:00,0.0,-5.02,120.46,-1.0943,14.257,7.2885,0.0004299999999999,0.6178299999999999,0.0,0.00217,-5.02,0.00027,6.9151,-0.9268,-26.97,-1.2411,-0.25341,51
2017-01-16 00:08:00,0.0,7.726899999999999,120.01,-1.0928,14.257,7.2885,-0.00029,0.6178299999999999,-0.00072,-0.0043499999999999,7.726899999999999,-0.00018,7.559199999999999,-0.9268,-26.97,-1.2411,-0.2703099999999999,51
2017-01-16 00:09:00,0.0,-28.455,120.73,-1.1001,14.258,7.2874,0.0,0.61565,-0.0001399999999999,0.0,-28.455,0.0,6.3497,-0.9268,-26.97,-1.2413,-0.25341,51
2017-01-16 00:10:00,0.0,-27.553,120.9,-1.1059,14.258,7.2792,0.0,0.62,0.0,0.0,-27.553,0.0,6.3905,-0.9268,-26.97,-1.2504,-0.25341,51
2017-01-16 00:11:00,0.0,-10.827,120.78,-1.1171,14.257,7.2774,0.0001399999999999,0.61565,0.0,-0.00217,-10.827,0.0001,6.7657,-0.9268,-26.97,-1.2523,-0.2703099999999999,51
2017-01-16 00:12:00,0.0,-19.548,120.73,-1.1255,14.258,7.2774,0.0,0.6069499999999999,0.0,-0.00217,-19.548,0.0,6.9735,-0.9268,-26.97,-1.253,-0.2027299999999999,51
2017-01-16 00:13:00,0.0,3.2388,120.33,-1.1247,14.257,7.2774,0.00029,0.5960699999999999,0.0,-0.0043499999999999,3.2388,0.00017,6.7655,-0.9268,-26.97,-1.2612,-0.2027299999999999,51
2017-01-16 00:14:00,0.0,-0.87909,120.45,-1.1247,14.258,7.2748,0.0001399999999999,0.6026,-0.0001399999999999,-0.00217,-0.87909,9e-05,6.6258,-0.9268,-26.97,-1.2639,-0.23652,51
2017-01-16 00:15:00,0.0,-5.182,120.57,-1.1229,14.258,7.2666,0.0001399999999999,0.6026,0.0004299999999999,-0.00217,-5.182,8e-05,7.2224,-0.9268,-26.97,-1.2723,-0.2196299999999999,51
2017-01-16 00:16:00,0.0,-8.8603,120.56,-1.1346,14.258,7.2666,0.0,0.6047799999999999,0.0,0.00217,-8.8603,0.0,6.7521,-0.9268,-26.97,-1.2684,-0.18584,51
