measured_on,ac_current__379,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__375,ac_power__773,ac_voltage__378,ac_volts__778,ambient_temp__380,ambient_temp__780,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,das_battery_voltage__386,das_battery_voltage__790,das_temp__385,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__377,dc_pos_current__775,dc_pos_voltage__376,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__374,dc_power__772,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,inverter_temp_2__791,inverter_temp__384,inveter_temp__784,module_temp_1__381,module_temp_1__781,module_temp_2__382,module_temp_2__782,module_temp_3__383,module_temp_3__783,module_temp_5_1__4821,poa_irradiance__373,poa_irradiance__771,power_factor__387,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,system_id
2011-05-14 00:00:00,,0.0,-17.392,-7.727,,-25.119,,121.1,,9.5456,,,,,,,,,,,,,,,,13.952,,18.489,0.0,0.3448999999999999,,-0.0004,,0.0,0.0,0.0,,0.0,,,,10.168,,18.173,,7.734,,-26.97,,6.2067,,,-2.6119,,,,,,,,51
2011-05-14 00:01:00,,0.0,7.1274,7.4734,,14.601,,120.7,,9.5992,,,,,,,,,,,,,,,,13.95,,18.476,0.0001,0.3471,,-0.0002999999999999,,0.0,0.0,0.0001,,0.0001,,,,11.54,,19.845,,7.734,,-26.97,,6.2796,,,-2.6628,,,,,,,,51
2011-05-14 00:02:00,,0.0,8.073,0.2536999999999999,,8.3268,,120.91,,9.671,,,,,,,,,,,,,,,,13.954,,18.463,0.0004,0.3513999999999999,,0.0001,,-0.0043,0.0,0.0002,,0.0002,,,,11.819,,20.003,,7.734,,-26.97,,6.3663,,,-2.6289,,,,,,,,51
2011-05-14 00:03:00,,0.0,-8.5805,-2.5834,,-11.164,,120.99,,9.6788,,,,,,,,,,,,,,,,13.954,,18.459,0.0001,0.3471,,0.0001,,-0.0043,0.0,0.0001,,0.0001,,,,10.605,,19.366,,7.734,,-26.97,,6.4202,,,-2.5441,,,,,,,,51
2011-05-14 00:04:00,,0.0,4.89,-8.4421,,-3.5521,,121.19,,9.7244,,,,,,,,,,,,,,,,13.954,,18.446,0.0004,0.3383999999999999,,-0.0004,,-0.0129999999999999,0.0,0.0002,,0.0002,,,,11.636,,19.612,,7.734,,-26.97,,6.4304,,,-2.561,,,,,,,,51
2011-05-14 00:05:00,,0.0,0.2536999999999999,-3.0678,,-2.8141,,120.76,,9.7717,,,,,,,,,,,,,,,,13.954,,18.439,0.0004,0.3383999999999999,,-0.0004,,0.0,0.0,0.0002,,0.0001,,,,11.707,,19.342,,7.734,,-26.97,,6.493,,,-2.595,,,,,,,,51
2011-05-14 00:06:00,,0.0,-13.102,-3.875,,-16.977,,120.79,,9.81,,,,,,,,,,,,,,,,13.954,,18.425,0.0001,0.334,,-0.0002999999999999,,0.0,0.0,0.0001,,0.0001,,,,9.907800000000002,,18.937,,7.734,,-26.97,,6.4758,,,-2.6289,,,,,,,,51
2011-05-14 00:07:00,,0.0,-2.6526,7.4273,,4.7746,,120.32,,9.847,,,,,,,,,,,,,,,,13.955,,18.42,0.0,0.3579,,-0.0001,,0.0,0.0,0.0,,0.0,,,,11.392,,19.408,,7.734,,-26.97,,6.4476,,,-2.6289,,,,,,,,51
2011-05-14 00:08:00,,0.0,-4.0596,-9.226400000000002,,-13.286,,121.02,,9.8591,,,,,,,,,,,,,,,,13.955,,18.409,0.0005999999999999,0.3471,,0.0,,-0.0064999999999999,0.0,0.0002,,0.0002,,,,10.65,,19.726,,7.734,,-26.97,,6.3923,,,-2.6628,,,,,,,,51
2011-05-14 00:09:00,,0.0,-1.8914,-2.9525,,-4.8438,,120.85,,9.8321,,,,,,,,,,,,,,,,13.955,,18.399,0.0002999999999999,0.3427,,0.0001,,-0.0043,0.0,0.0001,,0.0001,,,,11.206,,19.392,,7.734,,-26.97,,6.2828,,,-2.6967,,,,,,,,51
2011-05-14 00:10:00,,0.0,-6.5969,-4.7977,,-11.395,,120.92,,9.7927,,,,,,,,,,,,,,,,13.955,,18.387,-0.0001,0.3471,,0.0002999999999999,,-0.0064999999999999,0.0,-0.0001,,-0.0001,,,,10.776,,19.211,,7.734,,-26.97,,6.1873,,,-2.8324,,,,,,,,51
2011-05-14 00:11:00,,0.0,-3.5521,-3.1139,,-6.6661,,120.87,,9.7532,,,,,,,,,,,,,,,,13.955,,18.377,0.0002999999999999,0.3383999999999999,,0.0002999999999999,,-0.0064999999999999,0.0,0.0001,,0.0001,,,,10.761,,19.435,,7.734,,-26.97,,6.088,,,-2.7985,,,,,,,,51
