measured_on,ac_current__411,ac_current__427,ac_current__588,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__407,ac_power__423,ac_power__584,ac_power__773,ac_voltage__410,ac_voltage__426,ac_voltage__587,ac_volts__778,ambient_temp__412,ambient_temp__428,ambient_temp__589,ambient_temp__780,das_battery_voltage__434,das_battery_voltage__595,das_battery_voltage__790,das_temp__433,das_temp__594,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__409,dc_pos_current__425,dc_pos_current__586,dc_pos_current__775,dc_pos_voltage__408,dc_pos_voltage__424,dc_pos_voltage__585,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__406,dc_power__422,dc_power__583,dc_power__772,inverter_temp_2__791,inverter_temp__416,inverter_temp__432,inverter_temp__593,inveter_temp__784,module_temp_1__413,module_temp_1__429,module_temp_1__590,module_temp_1__781,module_temp_2__414,module_temp_2__430,module_temp_2__591,module_temp_2__782,module_temp_3__415,module_temp_3__431,module_temp_3__592,module_temp_3__783,module_temp_4__417,module_temp_5__418,module_temp_6__419,module_temp_7__420,poa_irradiance__405,poa_irradiance__421,poa_irradiance__582,poa_irradiance__771,power_factor__596,system_id
2011-09-28 00:00:00,,,,0.0,-2.5566,-6.3799,,,,-8.9365,,,,120.79,,,,20.044,,,13.788,,,24.501,0.0,0.0195,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,15.174,,,,23.554,,,,18.255,,,,-26.97,,,,16.861,,,,,,,,-99999.0,,51
2011-09-28 00:01:00,,,,0.0,-4.7215,0.0690999999999999,,,,-4.6525,,,,120.66,,,,20.027,,,13.786,,,24.502,0.0,0.0259999999999999,,,,-0.0002999999999999,,,,0.0022,0.0,0.0,,,,0.0,14.842,,,,23.065,,,,18.325,,,,-26.97,,,,16.84,,,,,,,,-99999.0,,51
2011-09-28 00:02:00,,,,0.0,-0.4146,-4.3761,,,,-4.7906,,,,120.78,,,,19.98,,,13.789,,,24.5,0.0001,0.0238,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,15.943,,,,24.108,,,,18.187,,,,-26.97,,,,16.831,,,,,,,,-99999.0,,51
2011-09-28 00:03:00,,,,0.0,-0.1842999999999999,1.3359,,,,1.1516,,,,120.52,,,,19.996,,,13.789,,,24.489,0.0,0.0195,,,,0.0001,,,,0.0,0.0,0.0,,,,0.0,15.513,,,,23.493,,,,18.187,,,,-26.97,,,,16.851,,,,,,,,-99999.0,,51
2011-09-28 00:04:00,,,,0.0,-11.47,-8.1303,,,,-19.6,,,,120.82,,,,20.028,,,13.789,,,24.488,0.0,0.0129999999999999,,,,-0.0006999999999999,,,,0.0022,0.0,0.0,,,,0.0,14.65,,,,22.677,,,,18.187,,,,-26.97,,,,16.88,,,,,,,,-99999.0,,51
2011-09-28 00:05:00,,,,0.0,2.5566,1.0364,,,,3.593,,,,120.47,,,,20.024,,,13.789,,,24.489,0.0001,0.0108,,,,-0.0001,,,,0.0,0.0,0.0,,,,0.0,15.923,,,,24.09,,,,18.187,,,,-26.97,,,,16.909,,,,,,,,-99999.0,,51
2011-09-28 00:06:00,,,,0.0,-6.3568,-6.9097,,,,-13.267,,,,120.81,,,,20.03,,,13.788,,,24.478,0.0,0.0195,,,,-0.0002999999999999,,,,-0.0022,0.0,0.0,,,,0.0,15.777,,,,24.159,,,,18.187,,,,-26.97,,,,16.935,,,,,,,,-99999.0,,51
2011-09-28 00:07:00,,,,0.0,-1.405,-3.4317,,,,-4.8367,,,,120.71,,,,20.184,,,13.789,,,24.475,0.0,0.0217,,,,-0.0001,,,,-0.0022,0.0,0.0,,,,0.0,14.408,,,,22.332,,,,19.347,,,,-26.97,,,,17.031,,,,,,,,-99999.0,,51
2011-09-28 00:08:00,,,,0.0,-3.9845,-4.0536,,,,-8.0382,,,,120.76,,,,20.146,,,13.789,,,24.474,0.0,0.0238,,,,-0.0001,,,,0.0,0.0,0.0,,,,0.0,14.272,,,,22.177,,,,19.281,,,,-26.97,,,,16.97,,,,,,,,-99999.0,,51
2011-09-28 00:09:00,,,,0.0,-6.7715,-2.4414,,,,-9.2129,,,,120.65,,,,20.064,,,13.789,,,24.467,0.0,0.0217,,,,0.0001,,,,0.0,0.0,0.0,,,,0.0,13.896,,,,22.659,,,,18.943,,,,-26.97,,,,16.978,,,,,,,,-99999.0,,51
2011-09-28 00:10:00,,,,0.0,-3.1093,-7.3242,,,,-10.434,,,,120.8,,,,20.079,,,13.789,,,24.46,0.0,0.0195,,,,0.0,,,,-0.0064999999999999,0.0,0.0,,,,0.0,15.017,,,,23.255,,,,19.282,,,,-26.97,,,,17.033,,,,,,,,-99999.0,,51
2011-09-28 00:11:00,,,,0.0,3.0633,2.0499,,,,5.1131,,,,120.47,,,,20.094,,,13.789,,,24.461,0.0004,0.0195,,,,-0.0001,,,,0.0,0.0,0.0,,,,0.0,16.21,,,,24.157,,,,19.687,,,,-26.97,,,,17.012,,,,,,,,-99999.0,,51
2011-09-28 00:12:00,,,,0.0,-0.0690999999999999,-2.9712,,,,-3.0402,,,,120.63,,,,20.122,,,13.79,,,24.46,0.0,0.0238,,,,0.0,,,,0.0,0.0,0.0,,,,0.0,15.245,,,,23.286,,,,19.62,,,,-26.97,,,,17.023,,,,,,,,-99999.0,,51
2011-09-28 00:13:00,,,,0.0,-5.3204,-4.2609,,,,-9.5813,,,,120.64,,,,20.337,,,13.789,,,24.452,0.0,0.0195,,,,-0.0002999999999999,,,,0.0,0.0,0.0,,,,0.0,15.623,,,,23.929,,,,19.62,,,,-26.97,,,,17.16,,,,,,,,-99999.0,,51
2011-09-28 00:14:00,,,,0.0,-1.428,0.5067,,,,-0.9213,,,,120.49,,,,20.568,,,13.79,,,24.446,0.0001,0.0217,,,,-0.0001,,,,0.0022,0.0,0.0,,,,0.0,15.621,,,,23.653,,,,19.822,,,,-26.97,,,,17.291,,,,,,,,-99999.0,,51
