measured_on,ac_current__633,ac_current__779,ac_power__629,ac_power__773,ac_voltage__632,ac_volts__778,ambient_temp__634,ambient_temp__780,das_battery_voltage__790,das_temp__662,das_temperature__785,dc_current__631,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power__628,dc_power__772,dc_voltage__630,inv_temp__661,inveter_temp__784,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__781,module_temp_2__782,module_temp_3__783,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__771,reflector_temp_1__638,system_id
2012-11-28 00:00:00,,0.0,,-5.7847,,119.63,,2.6147,14.118,,12.28,,0.0001,1.2098,0.0001,-0.0015,-5.7847,,0.0001,,,13.188,,,,,,,,,,,,,,,,,,,1.7548,-26.97,-1.6542,,,,,,,,,-3.4157,,51
2012-11-28 00:15:00,,0.0,,-6.0758,,119.61,,2.5801,14.123,,12.072,,0.0001,1.0983,-0.0001,-0.0008999999999999,-6.0758,,0.0001,,,13.033,,,,,,,,,,,,,,,,,,,2.1973,-26.97,-1.7716,,,,,,,,,-3.2011,,51
2012-11-28 00:30:00,,0.0,,-4.8098,,119.47,,4.2453,14.13,,11.857,,0.0002,1.036,0.0,-0.0023,-4.8098,,0.0002,,,12.953,,,,,,,,,,,,,,,,,,,3.9782,-26.97,-0.1384,,,,,,,,,-2.6849,,51
2012-11-28 00:45:00,,0.0,,-6.9758,,119.55,,5.2872,14.135,,11.697,,0.0002,0.9648,0.0001,-0.0022,-6.9758,,0.0002,,,12.722,,,,,,,,,,,,,,,,,,,4.4148,-26.97,0.9895,,,,,,,,,-2.7896,,51
2012-11-28 01:00:00,,0.0,,-7.6681,,119.56,,5.287,14.139,,11.59,,0.0001,0.9346,0.0,-0.0023,-7.6681,,0.0001,,,12.528,,,,,,,,,,,,,,,,,,,4.3962,-26.97,1.0055,,,,,,,,,-3.3745,,51
2012-11-28 01:15:00,,0.0,,-6.5698,,119.52,,4.1483,14.142,,11.515,,0.0001,0.8138999999999998,-0.0002,-0.001,-6.5698,,0.0,,,12.545,,,,,,,,,,,,,,,,,,,3.8956,-26.97,0.3459999999999999,,,,,,,,,-3.413,,51
2012-11-28 01:30:00,,0.0,,-6.3418,,119.48,,4.9072,14.145,,11.434,,0.0002,0.7317,-0.0001,-0.0023,-6.3418,,0.0001,,,12.423,,,,,,,,,,,,,,,,,,,4.261,-26.97,0.7838,,,,,,,,,-2.9417,,51
2012-11-28 01:45:00,,0.0,,-8.2427,,119.62,,5.0271,14.146,,11.383,,0.0001,0.7540999999999999,0.0,-0.002,-8.2427,,0.0001,,,12.401,,,,,,,,,,,,,,,,,,,4.3759,-26.97,0.7213,,,,,,,,,-3.2589,,51
2012-11-28 02:00:00,,0.0,,-5.6409,,119.6,,3.8556,14.148,,11.329,,0.0002,0.7286,-0.0001,-0.0011999999999999,-5.6409,,0.0001,,,12.527,,,,,,,,,,,,,,,,,,,3.0567,-26.97,0.7824999999999999,,,,,,,,,-3.2016,,51
2012-11-28 02:15:00,,0.0,,-1.6652,,119.51,,3.0648,14.149,,11.252,,0.0001,0.7031,-0.0002,-0.0001,-1.6652,,0.0001,,,12.451,,,,,,,,,,,,,,,,,,,2.3835,-26.97,0.1137,,,,,,,,,-3.124,,51
