measured_on,ac_current__633,ac_current__779,ac_power__629,ac_power__773,ac_voltage__632,ac_volts__778,ambient_temp__634,ambient_temp__780,das_battery_voltage__790,das_temp__662,das_temperature__785,dc_current__631,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power__628,dc_power__772,dc_voltage__630,inv_temp__661,inveter_temp__784,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__781,module_temp_2__782,module_temp_3__783,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__771,reflector_temp_1__638,system_id
2012-07-11 00:00:00,,0.0,,-2.9402,,120.58,,19.347,13.771,,24.926,,0.0002,0.0393999999999999,-0.0001,-0.0011999999999999,-2.9402,,0.0,,,23.427,,,,,,,,,,,,,,,,,,,18.9,-26.97,16.323,,,,,,,,,-3.0814,,51
2012-07-11 00:15:00,,0.0,,-5.5871,,120.23,,18.511,13.776,,24.806,,0.0002,0.0270999999999999,-0.0002,-0.001,-5.5871,,0.0,,,23.264,,,,,,,,,,,,,,,,,,,18.183,-26.97,15.036,,,,,,,,,-3.6647,,51
2012-07-11 00:30:00,,0.0,,-3.421,,120.23,,18.27,13.78,,24.693,,0.0002999999999999,0.041,0.0,0.0,-3.421,,0.0,,,23.138,,,,,,,,,,,,,,,,,,,17.921,-26.97,14.65,,,,,,,,,-3.4282,,51
2012-07-11 00:45:00,,0.0,,-7.3932,,119.92,,17.986,13.783,,24.56,,0.0002,0.0458,-0.0001,-0.0004,-7.3932,,0.0,,,22.972,,,,,,,,,,,,,,,,,,,17.558,-26.97,14.672,,,,,,,,,-3.0257,,51
2012-07-11 01:00:00,,0.0,,-8.230399999999998,,119.59,,18.064,13.788,,24.413,,0.0002,0.0495,0.0,-0.001,-8.230399999999998,,0.0,,,22.953,,,,,,,,,,,,,,,,,,,17.223,-26.97,14.773,,,,,,,,,-2.7869,,51
2012-07-11 01:15:00,,0.0,,-14.355,,119.86,,17.27,13.791,,24.266,,0.0001,0.0526,0.0,-0.0004,-14.355,,0.0,,,22.664,,,,,,,,,,,,,,,,,,,16.6,-26.97,13.829,,,,,,,,,-3.4768,,51
2012-07-11 01:30:00,,0.0,,-5.2779,,119.69,,17.581,13.795,,24.113,,0.0002999999999999,0.0601999999999999,0.0,0.0002999999999999,-5.2779,,0.0,,,22.988,,,,,,,,,,,,,,,,,,,16.767,-26.97,14.367,,,,,,,,,-2.5381,,51
2012-07-11 01:45:00,,0.0,,-7.9439,,119.84,,17.338,13.8,,23.955,,0.0002999999999999,0.0591,0.0,-0.001,-7.9439,,0.0,,,23.084,,,,,,,,,,,,,,,,,,,16.538,-26.97,14.23,,,,,,,,,-2.7176,,51
2012-07-11 02:00:00,4.811,0.0,1142.0,-3.9146,247.3,119.81,14.31,17.376,13.804,24.57,23.804,22.84,0.0001,0.0782999999999999,0.0,-0.002,-3.9146,1204.0,0.0,52.73,22.81,23.104,43.58,43.5,43.09,41.13,41.67,37.07,40.94,40.96,2.701,2.399,2.618,2.662,2.633,2.717,2.202,0.0739999999999999,2.669,2.446,16.593,-26.97,13.921,1455.0,1400.0,1431.0,1210.0,1163.0,1133.0,944.0,0.0,-3.0082,10.75,51
2012-07-11 02:15:00,,0.0,,-14.225,,119.97,,17.487,13.807,,23.658,,0.0002,0.0654,0.0,-0.001,-14.225,,0.0,,,22.678,,,,,,,,,,,,,,,,,,,16.941,-26.97,14.121,,,,,,,,,-2.7459,,51
