measured_on,ac_current__379,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__375,ac_power__773,ac_voltage__378,ac_volts__778,ambient_temp__380,ambient_temp__780,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,das_battery_voltage__386,das_battery_voltage__790,das_temp__385,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__377,dc_pos_current__775,dc_pos_voltage__376,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__374,dc_power__772,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,inverter_temp_2__791,inverter_temp__384,inveter_temp__784,module_temp_1__381,module_temp_1__781,module_temp_2__382,module_temp_2__782,module_temp_3__383,module_temp_3__783,module_temp_5_1__4821,poa_irradiance__373,poa_irradiance__771,power_factor__387,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,system_id
2011-08-04 00:00:00,,0.0,-2.2331,-6.9761,,-9.2091,,120.52,,22.122,,,,,,,,,,,,,,,,13.752,,25.936,0.0,0.1126,,0.0001,,-0.0022,0.0,0.0,,0.0,,,,16.029,,23.91,,21.388,,-26.97,,20.269,,,-99999.0,,,,,,,,51
2011-08-04 00:01:00,,0.0,4.1229,0.9774,,5.1003,,120.31,,22.146,,,,,,,,,,,,,,,,13.75,,25.937,0.0005,0.1039,,-0.0001,,-0.002,0.0,0.0001,,0.0001,,,,15.358,,22.668,,21.388,,-26.97,,20.25,,,-99999.0,,,,,,,,51
2011-08-04 00:02:00,,0.0,-3.9139,7.1141,,3.2001,,119.99,,22.099,,,,,,,,,,,,,,,,13.753,,25.928,0.0,0.0995999999999999,,-0.0005999999999999,,0.0022,0.0,0.0,,0.0,,,,14.094,,22.063,,21.388,,-26.97,,20.188,,,-99999.0,,,,,,,,51
2011-08-04 00:03:00,,0.0,-1.1973,6.147,,4.9497,,120.09,,22.047,,,,,,,,,,,,,,,,13.752,,25.922,0.0002999999999999,0.0995999999999999,,-0.0004,,-0.0022,0.0,0.0,,0.0,,,,14.162,,23.635,,21.389,,-26.97,,20.131,,,-99999.0,,,,,,,,51
2011-08-04 00:04:00,,0.0,0.8291,-8.0351,,-7.205899999999998,,120.62,,21.972,,,,,,,,,,,,,,,,13.754,,25.922,0.0,0.0908999999999999,,-0.0002999999999999,,-0.0022,0.0,0.0,,0.0,,,,16.052,,23.008,,21.39,,-26.97,,20.091,,,-99999.0,,,,,,,,51
2011-08-04 00:05:00,,0.0,-1.5196,-2.9697,,-4.4893,,120.46,,21.88,,,,,,,,,,,,,,,,13.753,,25.919,0.0002999999999999,0.0865999999999999,,-0.0004,,-0.0022,0.0,0.0,,0.0,,,,13.798,,23.424,,21.39,,-26.97,,20.027,,,-99999.0,,,,,,,,51
2011-08-04 00:06:00,,0.0,-6.9299,-6.8608,,-13.791,,120.62,,21.823,,,,,,,,,,,,,,,,13.752,,25.908,0.0001,0.0865999999999999,,0.0,,-0.0022,0.0,0.0,,0.0,,,,14.924,,22.844,,21.389,,-26.97,,19.976,,,-99999.0,,,,,,,,51
2011-08-04 00:07:00,,0.0,0.7137999999999999,-3.753,,-3.0393,,120.56,,21.803,,,,,,,,,,,,,,,,13.753,,25.907,0.0001,0.0844,,0.0,,0.0,0.0,0.0,,0.0,,,,15.558,,23.349,,21.389,,-26.97,,19.932,,,-99999.0,,,,,,,,51
2011-08-04 00:08:00,,0.0,-9.3936,-6.9302,,-16.324,,120.63,,21.788,,,,,,,,,,,,,,,,13.754,,25.907,0.0,0.0844,,-0.0002999999999999,,0.0,0.0,0.0,,0.0,,,,14.195,,22.774,,21.389,,-26.97,,19.914,,,-99999.0,,,,,,,,51
2011-08-04 00:09:00,,0.0,-6.7459,-4.8348,,-11.581,,120.54,,21.732,,,,,,,,,,,,,,,,13.753,,25.908,0.0002999999999999,0.0758,,0.0,,0.0,0.0,0.0,,0.0,,,,14.528,,23.085,,21.39,,-26.97,,19.862,,,-99999.0,,,,,,,,51
2011-08-04 00:10:00,,0.0,-7.5978,-0.6447,,-8.242599999999998,,120.43,,21.671,,,,,,,,,,,,,,,,13.753,,25.906,0.0,0.0778999999999999,,-0.0004,,-0.0022,0.0,0.0,,0.0,,,,14.103,,23.042,,21.388,,-26.97,,19.829,,,-99999.0,,,,,,,,51
2011-08-04 00:11:00,,0.0,-6.3773,-13.814,,-20.192,,121.01,,21.669,,,,,,,,,,,,,,,,13.754,,25.892,0.0,0.0606,,0.0,,-0.0043,0.0,0.0,,0.0,,,,14.494,,23.57,,21.389,,-26.97,,19.74,,,-99999.0,,,,,,,,51
2011-08-04 00:12:00,,0.0,4.4435,-8.8873,,-4.4437,,120.82,,21.641,,,,,,,,,,,,,,,,13.754,,25.892,0.0001,0.078,,0.0002999999999999,,-0.0064999999999999,0.0,0.0,,0.0,,,,15.917,,23.348,,21.389,,-26.97,,19.712,,,-99999.0,,,,,,,,51
2011-08-04 00:13:00,,0.0,-3.684,-0.1381999999999999,,-3.8222,,120.45,,21.678,,,,,,,,,,,,,,,,13.754,,25.892,0.0,0.0627999999999999,,-0.0001,,-0.0022,0.0,0.0,,0.0,,,,14.516,,23.457,,21.39,,-26.97,,19.704,,,-99999.0,,,,,,,,51
2011-08-04 00:14:00,,0.0,-12.732,0.8057999999999998,,-11.926,,120.37,,21.685,,,,,,,,,,,,,,,,13.754,,25.887,0.0,0.065,,-0.0008999999999999,,0.0043,0.0,0.0,,0.0,,,,14.237,,22.742,,21.389,,-26.97,,19.627,,,-99999.0,,,,,,,,51
2011-08-04 00:15:00,,0.0,-18.143,-10.338,,-28.48,,120.8,,21.643,,,,,,,,,,,,,,,,13.754,,25.878,0.0,0.0541,,-0.0004,,0.0,0.0,0.0,,0.0,,,,13.675,,22.799,,21.39,,-26.97,,19.537,,,-99999.0,,,,,,,,51
2011-08-04 00:16:00,,0.0,-17.268,-13.584,,-30.852,,120.95,,21.738,,,,,,,,,,,,,,,,13.754,,25.878,0.0,0.0519999999999999,,0.0,,0.0,0.0,0.0,,0.0,,,,13.991,,22.793,,21.39,,-26.97,,19.582,,,-99999.0,,,,,,,,51
2011-08-04 00:17:00,,0.0,-18.488,-11.098,,-29.586,,120.83,,21.888,,,,,,,,,,,,,,,,13.754,,25.878,0.0,0.0519999999999999,,0.0,,0.0,0.0,0.0,,0.0,,,,13.419,,22.928,,21.39,,-26.97,,19.605,,,-99999.0,,,,,,,,51
2011-08-04 00:18:00,,0.0,-19.041,-10.154,,-29.194,,120.84,,21.911,,,,,,,,,,,,,,,,13.754,,25.87,0.0,0.0519999999999999,,0.0,,0.0,0.0,0.0,,0.0,,,,13.279,,22.674,,21.39,,-26.97,,19.558,,,-99999.0,,,,,,,,51
