measured_on,ac_current__1089,ac_current__779,ac_power__1085,ac_power__773,ac_voltage__1088,ac_volts__778,ambient_temp__1090,ambient_temp__780,das_battery_voltage__1096,das_battery_voltage__790,das_temp__1095,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__1087,dc_pos_current__775,dc_pos_voltage__1086,dc_pos_voltage__774,dc_power_1__786,dc_power__1084,dc_power__772,inverter_temp__1094,inveter_temp__784,module_temp_1__1091,module_temp_1__781,module_temp_2__1092,module_temp_2__782,module_temp_3__1093,module_temp_3__783,poa_irradiance__1083,poa_irradiance__771,power_factor__1097,system_id
2013-04-21 00:00:00,,0.0,,-3.6879,,119.87,,6.3787,,14.068,,13.408,0.0002999999999999,0.4285999999999999,,0.0,,-0.0015,-3.6879,,0.0001,,14.442,,6.3021,,-26.97,,4.628,,-1.9083,,51
2013-04-21 00:15:00,,0.0,,-9.9661,,119.81,,6.2011,,14.071,,13.351,0.0001,0.4368,,-0.0001,,-0.0019,-9.9661,,0.0001,,14.263,,5.7594,,-26.97,,3.9624,,-2.0052,,51
2013-04-21 00:30:00,,0.0,,-9.4762,,119.84,,6.461,,14.071,,13.322,0.0001,0.4732,,-0.0001,,-0.001,-9.4762,,0.0,,14.27,,6.3994,,-26.97,,4.2926,,-1.4113,,51
2013-04-21 00:45:00,,0.0,,-5.0245,,120.1,,6.51,,14.071,,13.296,0.0,0.4612,,-0.0001,,-0.0011999999999999,-5.0245,,0.0,,14.344,,6.5542,,-26.97,,4.3918,,-1.6857,,51
2013-04-21 01:00:00,,0.0,,-4.4887,,120.56,,6.5444,,14.069,,13.272,0.0001,0.3901,,0.0,,-0.0011999999999999,-4.4887,,0.0,,14.306,,6.4317,,-26.97,,4.1802,,-2.1029,,51
2013-04-21 01:15:00,,0.0,,-8.520099999999998,,120.2,,5.964,,14.069,,13.265,0.0001,0.3247999999999999,,-0.0002,,-0.0002999999999999,-8.520099999999998,,0.0,,14.234,,5.4269,,-26.97,,3.2758,,-2.6877,,51
2013-04-21 01:30:00,,0.0,,-1.5214,,120.17,,6.9847,,14.071,,13.249,0.0,0.2969,,-0.0001,,-0.0015,-1.5214,,0.0,,14.4,,6.6123,,-26.957,,3.3515,,-2.4808,,51
2013-04-21 01:45:00,,0.0,,-4.1253,,120.3,,7.6106,,14.07,,13.234,0.0001,0.3326,,-0.0001,,-0.0016,-4.1253,,0.0,,14.259,,6.758,,-26.97,,4.0621,,-2.0827,,51
2013-04-21 02:00:00,,0.0,,-10.299,,120.31,,6.8749,,14.069,,13.253,0.0001,0.3239,,-0.0002,,0.0001,-10.299,,0.0,,14.38,,6.2833,,-26.97,,3.7329,,-2.7619,,51
2013-04-21 02:15:00,,0.0,,-9.7888,,120.4,,6.2492,,14.067,,13.282,0.0,0.2831,,-0.0001,,-0.0004,-9.7888,,0.0,,14.15,,5.69,,-26.97,,2.9911,,-3.1341,,51
2013-04-21 02:30:00,,0.0,,-4.6226,,120.3,,5.4924,,14.067,,13.274,0.0001,0.2554,,-0.0001,,-0.001,-4.6226,,0.0,,14.261,,4.624,,-26.97,,2.6809,,-3.0274,,51
2013-04-21 02:45:00,,0.0,,-3.8496,,120.05,,4.7441,,14.067,,13.242,0.0002,0.2651,,-0.0001,,-0.0025,-3.8496,,0.0001,,14.381,,4.2777,,-26.97,,1.5001,,-3.3163,,51
2013-04-21 03:00:00,,0.0,,-7.6977,,119.79,,6.1809,,14.072,,13.162,0.0002,0.2504,,-0.0002999999999999,,0.0006999999999999,-7.6977,,0.0001,,14.091,,5.6926,,-26.97,,2.9233,,-2.0783,,51
2013-04-21 03:15:00,,0.0,,-1.2519,,119.66,,5.948,,14.075,,13.069,0.0002,0.245,,-0.0002,,-0.0008999999999999,-1.2519,,0.0001,,14.315,,5.1548,,-26.97,,2.6695,,-3.1658,,51
2013-04-21 03:30:00,,0.0,,0.2187,,119.71,,4.473,,14.077,,12.994,0.0001,0.2688999999999999,,0.0,,-0.0022,0.2187,,0.0,,14.226,,3.9604,,-26.984,,1.6922,,-3.1737,,51
2013-04-21 03:45:00,,0.0,,-7.213,,120.45,,3.5503,,14.079,,12.889,0.0002,0.3064,,-0.0002,,-0.0012999999999999,-7.213,,0.0001,,13.994,,3.0441,,-26.97,,0.674,,-3.3694,,51
