measured_on,ac_current__779,ac_power__773,ac_volts__778,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__772,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,system_id
1999-07-24 00:15:00,5.3751,-22.492,120.86,20.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.465,17.401,16.725,17.318,0.0,51
1999-07-24 00:30:00,5.3927,-23.035,121.05,20.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.116,17.729,16.949,17.409,0.0,51
1999-07-24 00:45:00,5.4031,-22.4,121.25,21.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.917,17.871,17.387,17.689,0.0,51
1999-07-24 01:00:00,5.416,-22.937,121.42,20.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.713,17.586,16.8,17.261,0.0,51
1999-07-24 01:15:00,5.4234,-22.131,121.51,20.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.508,16.857,15.998,16.852,0.0,51
1999-07-24 01:30:00,5.4165,-21.988,121.25,20.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.292,16.878,16.005,16.854,0.0,51
1999-07-24 01:45:00,5.4098,-22.339,120.97,20.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.098,16.857,16.002,16.857,0.0,51
1999-07-24 02:00:00,5.4216,-22.284,121.21,20.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.945,17.501,16.735,17.478,0.0,51
1999-07-24 02:15:00,5.4199,-22.406,121.18,21.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.816,18.531,17.803,18.522,0.0,51
1999-07-24 02:30:00,5.4223,-22.644,121.18,21.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.713,18.917,18.514,18.899,0.0,51
1999-07-24 02:45:00,5.4324,-22.242,121.29,21.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.573,18.754,18.303,18.593,0.0,51
1999-07-24 03:00:00,5.4315,-21.964,121.22,21.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.497,19.322,19.174,19.322,0.0,51
1999-07-24 03:15:00,5.4337,-22.172,121.27,20.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.365,18.75,18.425,18.709,0.0,51
1999-07-24 03:30:00,5.4267,-22.093,121.13,20.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.173,18.517,17.711,18.517,0.0,51
1999-07-24 03:45:00,5.4322,-22.338,121.18,20.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.083,18.799,18.393,18.71,0.0,51
1999-07-24 04:00:00,5.4303,-21.611,121.15,21.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.091,19.92,19.692,19.833,0.0,51
1999-07-24 04:15:00,5.4165,-22.924,120.73,20.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.039,19.677,19.497,19.686,0.0,51
1999-07-24 04:30:00,5.4052,-21.477,120.58,21.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.983,19.326,18.951,19.304,0.0,51
1999-07-24 04:45:00,5.4082,-21.614,120.59,21.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.937,19.147,18.915,19.147,0.0,51
1999-07-24 05:00:00,5.6639,-61.387,120.76,21.008,0.0,0.0,-0.00034,-122.96,0.00727,121.37,0.88,0.04,1.5674,24.984,18.777,18.522,18.643,2.5206,51
1999-07-24 05:15:00,6.0417,-114.97,119.97,20.822,0.0,0.0,-0.0174799999999999,-229.02,0.06664,225.46,15.02,4.0,19.113,26.067,18.915,18.669,18.786,13.727,51
1999-07-24 05:30:00,6.0816,-68.338,120.06,21.354,0.0,0.0,-0.1882699999999999,-235.39,0.20835,231.8,48.3,44.32,90.28,28.11,20.112,19.743,19.949,26.981,51
1999-07-24 05:45:00,6.2714,107.98,120.5,21.537,0.0,0.0,-0.6037799999999999,-206.4,0.60025,202.49,121.54,124.62,246.17,30.523,20.379,20.125,20.207,57.357,51
1999-07-24 06:00:00,7.0868,330.91,120.55,21.987,0.0,0.0,-1.1262,-220.72,1.1445,216.53,247.82,248.57,497.28,33.042,21.645,21.472,21.578,114.91,51
1999-07-24 06:15:00,7.8989,493.17,120.13,22.147,0.0,0.0,-1.5083,-222.01,1.529,217.75,332.94,334.86,664.47,35.459,23.089,23.023,23.044,135.97,51
1999-07-24 06:30:00,9.5969,793.5599999999998,120.12,22.735,0.0,0.0,-2.1701,-228.04,2.2029,223.58,492.52,494.87,984.71,37.401,24.608,24.83,24.616,189.67,51
1999-07-24 06:45:00,7.208599999999999,387.82,119.84,22.653,0.0,0.0,-1.2488,-223.67,1.2735,219.47,279.5,279.32,558.38,38.344,24.435,24.723,24.596,98.553,51
1999-07-24 07:00:00,8.7079,656.41,120.41,21.995,0.0,0.0,-1.8713,-223.57,1.8939,219.22,415.18,418.37,832.76,38.226,23.248,23.484,23.305,140.5,51
1999-07-24 07:15:00,17.234,1949.0,120.3,22.792,0.0,0.0,-4.8344,-228.03,4.8818,222.91,1088.2,1102.39,2184.7,39.373,21.214,27.422,27.041,356.08,51
1999-07-24 07:30:00,11.912,1190.1,120.25,23.849,0.0,0.0,-3.1887,-216.2,3.2108,211.64,679.53,689.4,1370.3,41.339,-5.3263,31.524,30.972,223.42,51
1999-07-24 07:45:00,20.295,2404.3,120.84,24.335,0.0,0.0,-5.668,-240.93,5.7789,235.69,1362.03,1365.59,2726.9,42.529,-22.85,34.107,32.95,447.71,51
1999-07-24 08:00:00,23.436,2814.9,120.64,25.617,0.0,0.0,-7.0158,-221.59,7.0887,216.14,1532.15,1554.63,3094.8,44.727,30.757,39.947,38.17,502.72,51
1999-07-24 08:15:00,28.09,3435.2,120.64,26.486,0.0,0.0,-8.583,-222.66,8.6513,216.93,1876.73,1911.09,3785.1,46.713,2.9864,43.96,41.926,617.43,51
1999-07-24 08:30:00,29.36,3638.9,120.78,27.042,0.0,0.0,-9.1942,-220.48,9.2589,214.69,1987.79,2027.14,4014.1,48.522,-26.97,47.829,44.909,658.1,51
1999-07-24 08:45:00,30.329,3864.6,121.34,27.225,0.0,0.0,-9.7878,-220.4,9.8638,214.54,2116.18,2157.23,4272.7,49.073,-26.97,48.83,45.93,701.37,51
1999-07-24 09:00:00,31.646,4108.3,121.17,27.344,0.0,0.0,-10.424,-220.7,10.522,214.76,2259.7,2300.58,4560.1,50.174,-26.97,49.87,46.898,751.5399999999998,51
1999-07-24 09:15:00,33.422,4387.4,121.02,27.057,0.0,0.0,-11.161,-220.87,11.3,215.2,2431.76,2465.13,4896.5,49.601,-26.97,51.793,48.755,814.88,51
1999-07-24 09:30:00,30.499,3988.9,120.82,27.799,0.0,0.0,-10.275,-218.71,10.378,213.53,2216.01,2247.25,4477.7,50.0,2.2898,55.25,51.631,767.6599999999999,51
1999-07-24 09:45:00,33.766,4432.4,121.08,28.785,0.0,0.0,-11.43,-220.02,11.508,214.65,2470.19,2514.83,4994.7,50.617,-9.5624,54.285,50.604,858.34,51
1999-07-24 10:00:00,35.803,4703.1,120.81,29.876,0.0,0.0,-12.263,-221.0,12.301,216.06,2657.75,2710.12,5367.5,50.236,56.162,60.211,56.044,985.92,51
1999-07-24 10:15:00,34.792,4568.8,120.74,30.397,0.0,0.0,-11.98,-219.9,12.015,214.98,2582.98,2634.4,5217.2,49.88,58.027,62.397,57.728,974.73,51
1999-07-24 10:30:00,35.439,4663.2,120.8,29.861,0.0,0.0,-12.142,-219.77,12.229,215.17,2631.31,2668.45,5299.6,50.543,-6.4547,60.807,56.765,952.4,51
1999-07-24 10:45:00,35.7,4709.3,120.98,31.657,0.0,0.0,-12.309,-220.43,12.347,214.96,2654.11,2713.27,5367.3,50.415,-26.957,60.935,56.612,978.45,51
1999-07-24 11:00:00,36.429,4799.3,120.83,31.919,0.0,0.0,-12.552,-220.59,12.592,215.18,2709.55,2768.85,5478.3,49.965,-26.957,59.67,56.493,1001.3,51
1999-07-24 11:15:00,36.644,4834.4,120.88,31.825,0.0,0.0,-12.667,-220.29,12.7,215.41,2735.71,2790.41,5526.0,50.281,-26.957,61.256,58.041,1024.7,51
1999-07-24 11:30:00,32.937,4315.0,120.59,32.453,0.0,0.0,-11.303,-219.63,11.342,214.64,2434.45,2482.48,4931.7,50.431,-26.944,61.473,57.971,921.11,51
1999-07-24 11:45:00,38.604,5103.7,121.23,32.023,0.0,0.0,-13.306,-222.32,13.335,216.93,2892.76,2958.19,5852.2,50.443,15.302,57.854,54.426,1052.5,51
1999-07-24 12:00:00,29.025,3770.8,120.61,33.158,0.0,0.0,-9.9144,-218.85,9.9365,213.86,2125.02,2169.77,4325.6,50.587,-6.1407,60.024,56.68,809.74,51
1999-07-24 12:15:00,14.08,1665.0,119.83,31.84,0.0,0.0,-4.1947,-223.69,4.3033,219.09,942.81,938.31,1876.6,52.585,41.671,45.19,43.077,297.35,51
1999-07-24 12:30:00,15.013,1799.3,119.9,31.347,0.0,0.0,-4.5524,-221.31,4.6254,216.65,1002.09,1007.49,2006.7,51.512,37.609,39.057,37.832,311.15,51
1999-07-24 12:45:00,21.288,2671.1,120.25,31.381,0.0,0.0,-6.628,-226.61,6.6889,221.55,1481.93,1501.97,2999.1,51.084,39.777,41.23,39.975,492.77,51
1999-07-24 13:00:00,36.429,4725.3,120.68,32.691,0.0,0.0,-12.295,-220.99,12.335,215.82,2662.14,2717.07,5379.9,49.962,15.063,55.246,52.608,970.66,51
1999-07-24 13:15:00,22.646,2835.8,120.11,33.301,0.0,0.0,-7.3555,-218.23,7.4238,213.58,1585.58,1605.19,3219.1,51.881,-7.253999999999999,60.623,56.798,594.1,51
1999-07-24 13:30:00,14.646,1692.1,119.71,32.674,0.0,0.0,-4.4106,-216.32,4.4866,211.75,950.04,954.1,1910.4,51.207,-10.75,49.338,46.284,311.29,51
1999-07-24 13:45:00,22.57,2838.3,120.18,31.876,0.0,0.0,-6.8962,-233.32,6.9865,228.34,1595.3,1609.02,3226.1,51.658,-26.97,43.804,42.072,521.56,51
1999-07-24 14:00:00,15.401,1806.7,119.91,31.412,0.0,0.0,-4.4767,-228.46,4.5464,224.02,1018.48,1022.75,2080.7,50.444,-26.97,40.479,39.482,355.75,51
1999-07-24 14:15:00,12.11,1327.7,120.04,31.151,0.0,0.0,-3.47,-218.63,3.5255,214.19,755.13,758.65,1512.5,50.479,-26.97,39.14,37.919,230.78,51
1999-07-24 14:30:00,9.2629,845.82,120.1,27.866,0.0,0.0,-2.3136,-218.55,2.363,214.36,506.53,505.64,1015.0,49.881,25.72,34.331,33.652,153.59,51
1999-07-24 14:45:00,14.978,1746.6,120.67,26.516,0.0,0.0,-4.2903,-232.43,4.371,227.62,994.93,997.19,1974.1,48.724,4.1633,31.028,30.106,302.31,51
1999-07-24 15:00:00,12.024,1287.5,120.59,26.349,0.0,0.0,-3.2969,-225.65,3.3362,221.1,737.63,743.95,1482.5,48.281,-26.97,31.274,30.397,229.18,51
1999-07-24 15:15:00,12.083,1288.4,120.58,26.663,0.0,0.0,-3.3205,-224.53,3.3599,219.97,739.08,745.5499999999998,1481.4,47.548,-26.97,30.875,30.003,223.16,51
1999-07-24 15:30:00,14.778,1693.4,120.12,27.953,0.0,0.0,-4.2531,-225.5,4.3135,220.66,951.82,959.07,1906.8,47.28,-26.983,34.281,33.412,287.52,51
1999-07-24 15:45:00,13.588,1510.2,119.91,28.641,0.0,0.0,-3.902,-219.72,3.9472,215.07,848.9199999999998,857.35,1706.1,47.352,-26.97,36.088,34.917,260.54,51
1999-07-24 16:00:00,10.447,1009.7,119.93,28.334,0.0,0.0,-2.7213,-216.2,2.7618,211.9,585.23,588.35,1177.9,46.887,-26.97,35.475,34.462,184.94,51
1999-07-24 16:15:00,7.5328,514.53,120.2,27.286,0.0,0.0,-1.5572,-213.68,1.5912,209.66,333.61,332.74,667.7,46.297,-26.944,31.678,31.165,102.66,51
1999-07-24 16:30:00,5.9745,134.35,120.21,26.476,0.0,0.0,-0.64737,-206.41,0.67924,202.76,137.72,133.62,271.54,45.296,20.361,28.677,28.423,42.034,51
1999-07-24 16:45:00,5.7917,35.883,119.94,26.398,0.0,0.0,-0.4113299999999999,-206.08,0.43317,202.43,87.69,84.76999999999998,172.45,44.531,26.413,26.699,26.557,25.983,51
1999-07-24 17:00:00,5.7159,-94.662,119.94,25.581,0.0,0.0,-0.06135,-224.5,0.11298,221.1,24.98,13.77,36.797,43.888,24.016,23.831,24.052,14.264,51
1999-07-24 17:15:00,5.7333,-118.95,120.54,24.939,0.0,0.0,-0.0009899999999999,-222.13,0.02222,218.76,4.86,0.22,5.0709,43.134,24.052,23.839,24.12,9.5523,51
1999-07-24 17:30:00,5.759,-118.62,120.52,24.448,0.0,0.0,-0.0008499999999999,-224.8,0.04071,221.4,9.01,0.19,9.1797,42.332,23.639,23.326,23.822,10.256,51
1999-07-24 17:45:00,5.7937,-116.13,120.51,24.818,0.0,0.0,-0.00489,-231.85,0.0758899999999999,228.55,17.34,1.13,18.316,41.845,23.838,23.752,23.838,16.247,51
1999-07-24 18:00:00,5.8109,-117.69,120.57,24.889,0.0,0.0,-0.0027399999999999,-230.94,0.0769999999999999,227.59,17.52,0.63,18.027,41.502,23.868,23.84,23.932,16.307,51
1999-07-24 18:15:00,5.8105,-120.18,120.58,23.759,0.0,0.0,-0.00088,-226.9,0.0552599999999999,223.48,12.35,0.2,12.459,41.016,23.646,23.572,23.658,13.901,51
1999-07-24 18:30:00,5.8025,-120.37,120.56,23.454,0.0,0.0,-0.00075,-221.37,0.0177499999999999,217.9,3.87,0.17,4.0204,40.432,22.952,22.816,22.972,10.765,51
1999-07-24 18:45:00,5.7771,-119.32,120.29,23.249,0.0,0.0,-0.00063,-216.08,0.01098,212.67,2.34,0.14,2.4591,39.729,22.372,22.372,22.372,8.2736,51
1999-07-24 19:00:00,5.7604,-119.18,120.4,23.017,0.0,0.0,-0.00165,-211.02,0.02691,207.55,5.59,0.3499999999999999,5.8975,39.323,22.317,22.108,22.35,5.8129,51
1999-07-24 19:15:00,5.2941,-28.542,120.64,22.878,0.0,0.0,-0.0005299999999999,-60.404,0.0080599999999999,59.896,0.4799999999999999,0.0299999999999999,1.7361,38.483,22.037,21.614,22.037,2.3287,51
1999-07-24 19:30:00,5.2627,-20.545,120.7,22.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.801,21.466,20.863,21.376,0.15653,51
1999-07-24 19:45:00,5.2654,-20.658,120.5,22.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.346,20.915,20.864,20.919,0.0,51
1999-07-24 20:00:00,5.2733,-21.347,120.42,22.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.926,21.241,20.876,21.233,0.0,51
1999-07-24 20:15:00,5.2776,-21.001,120.35,22.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.713,21.611,20.979,21.594,0.0,51
1999-07-24 20:30:00,5.2952,-20.577,120.56,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.856,20.983,20.869,20.945,0.0,51
1999-07-24 20:45:00,5.3075,-20.831,120.59,22.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.996,20.872,20.872,20.876,0.0,51
1999-07-24 21:00:00,5.328,-20.944,120.85,22.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.387,20.873,20.839,20.873,0.0,51
1999-07-24 21:15:00,5.3398,-20.583,120.94,21.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.876,20.507,20.261,20.447,0.0,51
1999-07-24 21:30:00,5.3387,-20.908,120.68,21.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.336,20.097,19.812,20.097,0.0,51
1999-07-24 21:45:00,5.3446,-20.661,120.69,21.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.885,20.105,20.065,20.1,0.0,51
1999-07-24 22:00:00,5.3522,-20.639,120.79,21.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.432,19.861,19.536,19.746,0.0,51
1999-07-24 22:15:00,5.3704,-20.459,121.07,21.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.073,19.147,18.629,18.964,0.0,51
1999-07-24 22:30:00,5.3668,-21.037,120.75,20.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.744,18.399,17.734,18.472,0.0,51
1999-07-24 22:45:00,5.3958,-20.826,121.3,20.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.405,18.508,17.88,18.508,0.0,51
1999-07-24 23:00:00,5.3872,-20.612,120.99,20.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.081,18.401,17.691,18.415,0.0,51
1999-07-24 23:15:00,5.3817,-20.541,120.86,19.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.726,17.377,16.959,17.452,0.0,51
1999-07-24 23:30:00,5.3876,-20.727,120.84,19.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.402,16.857,16.582,16.857,0.0,51
1999-07-24 23:45:00,5.3943,-20.51,120.87,20.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.183,17.831,17.177,17.767,0.0,51
