measured_on,ac_current__779,ac_power__773,ac_volts__778,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__772,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,system_id
1995-06-03 00:15:00,5.693,-19.97,122.8,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55,7.349999999999999,7.29,7.349999999999999,0.0,51
1995-06-03 00:30:00,5.702,-20.15,122.8,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34,6.685,6.239,6.698,0.0,51
1995-06-03 00:45:00,5.706,-20.16,122.9,9.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.04,6.216,6.198,6.198,0.0,51
1995-06-03 01:00:00,5.715,-19.87,123.0,9.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,7.15,6.447,6.602,0.0,51
1995-06-03 01:15:00,5.709,-19.88,123.0,9.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.59,7.36,7.3,7.33,0.0,51
1995-06-03 01:30:00,5.717,-19.84,123.1,9.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.45,8.21,7.33,8.349999999999998,0.0,51
1995-06-03 01:45:00,5.718,-20.44,123.1,9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.37,8.01,7.33,8.37,0.0,51
1995-06-03 02:00:00,5.718,-19.95,123.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31,7.86,7.32,7.63,0.0,51
1995-06-03 02:15:00,5.682,-20.3,122.3,9.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,8.0,7.32,7.599999999999999,0.0,51
1995-06-03 02:30:00,5.679,-19.79,122.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.06,8.349999999999998,7.59,8.29,0.0,51
1995-06-03 02:45:00,5.683,-20.03,122.4,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.01,8.4,8.38,8.4,0.0,51
1995-06-03 03:00:00,5.684,-19.34,122.3,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,8.439999999999998,8.4,8.4,0.0,51
1995-06-03 03:15:00,5.681,-19.58,122.2,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,8.4,8.4,8.4,0.0,51
1995-06-03 03:30:00,5.703,-19.73,122.7,9.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.88,8.4,8.0,8.4,0.0,51
