measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-02-14 01:04:00,,122.0,,,,,10
2019-02-14 02:03:00,,122.0,,,,,10
2019-02-14 02:04:00,,122.0,,,,,10
2019-02-14 02:06:00,,122.0,,,,,10
2019-02-14 02:07:00,,122.0,,,,,10
2019-02-14 03:45:00,,,,,0.0,,10
2019-02-14 07:20:00,,,,159.0,,,10
2019-02-14 07:29:00,,,,157.0,,,10
2019-02-14 08:29:00,,,,,,178.0,10
2019-02-14 08:40:00,,,,225.0,,,10
2019-02-14 08:49:00,,,,206.0,,,10
2019-02-14 08:52:00,,122.0,,,,,10
2019-02-14 08:53:00,,122.0,,,,143.0,10
2019-02-14 08:54:00,,122.0,,,,,10
2019-02-14 09:00:00,,,,233.0,,,10
2019-02-14 09:12:00,,,,223.0,,,10
2019-02-14 09:40:00,,,,,,334.0,10
2019-02-14 09:52:00,,,13.0,,,,10
2019-02-14 09:55:00,,,,,,293.0,10
2019-02-14 10:01:00,,,,230.0,,304.0,10
2019-02-14 10:12:00,252.0,,,,,,10
2019-02-14 10:33:00,227.0,,,,,,10
2019-02-14 10:56:00,249.0,,,,,,10
2019-02-14 11:11:00,,,,,382.0,,10
2019-02-14 11:21:00,235.0,,,232.0,,,10
2019-02-14 12:42:00,,,,,321.0,,10
2019-02-14 12:56:00,,,,,,313.0,10
2019-02-14 13:05:00,,,,,,267.0,10
2019-02-14 13:13:00,,,,,261.0,,10
2019-02-14 13:35:00,172.0,,,,,,10
2019-02-14 13:37:00,,,,,,185.0,10
2019-02-14 14:18:00,109.0,,,,,,10
2019-02-14 15:30:00,,,,,,98.0,10
2019-02-14 16:09:00,,,,218.0,,,10
2019-02-14 16:56:00,,122.0,,,,,10
2019-02-14 18:32:00,,122.0,,,,,10
2019-02-14 18:34:00,,122.0,,,,,10
2019-02-14 18:37:00,,122.0,,,,,10
2019-02-14 19:21:00,,121.0,,,,,10
2019-02-14 23:41:00,,122.0,,,,,10
2019-02-14 23:57:00,,122.0,,,,,10
